좋아하다|to like|음악을 좋아하다|to like music|좋아하는 사람|person I like
나다1|to come out|냄새가 나다|smell comes out|소리가 나다|sound comes out
권1|volume|책 한 권|one book volume|권수를 세다|to count volumes
같이|together|같이 가자|let's go together|같이 먹다|to eat together
어머니1|mother|어머니께 인사|greeting to mother|어머니가 오신다|mother is coming
반7|half|반 정도|about half|반으로 나누다|to divide in half
처음|beginning|처음 만나다|to meet for the first time|처음부터 끝까지|from beginning to end
눈1|eye|눈을 뜨다|to open eyes|예쁜 눈|pretty eyes
서점3|bookstore|큰 서점|large bookstore|서점에서 책을|book at bookstore
응1|yes|응, 알겠어|yes, I understand|응, 맞아|yes, that's right
다음1|next|다음 주|next week|다음에 만나자|let's meet next time
컴퓨터를|computer|컴퓨터를 켜다|to turn on computer|컴퓨터를 사다|to buy a computer
찾다|to find|책을 찾다|to find a book|길을 찾다|to find the way
누구|who|누구세요|who is it|누구를 만나다|to meet someone
모자8|hat|모자를 쓰다|to wear a hat|예쁜 모자|pretty hat
저희1|we/us|저희 집|our house|저희가 하겠습니다|we will do it
전8|before|전에 왔어요|came before|전 시간|previous time
할머니|grandmother|할머니 집|grandmother's house|할머니께 인사하다|to greet grandmother
정도11|degree/extent|이 정도면|to this extent|어느 정도|to some degree
곳1|place|좋은 곳|good place|이 곳|this place
수요일|Wednesday|수요일에 만나다|to meet on Wednesday|다음 수요일|next Wednesday
가장1|most|가장 좋다|the best|가장 중요하다|most important
여러|various|여러 사람|various people|여러 가지|various things
여기1|here|여기 있어요|it's here|여기서 만나다|to meet here
아직1|still/yet|아직 안 왔어요|haven't come yet|아직 일찍이다|it's still early
하나|one|하나 주세요|please give me one|하나씩|one by one
인분80|serving|삼 인분|three servings|한 인분|one serving
시작하다1|to start|공부를 시작하다|to start studying|시작할게요|I'll start
버리다1|to throw away|쓰레기를 버리다|to throw away trash|버리지 마세요|don't throw it away
의사2|doctor|의사 선생님|doctor|의사가 되다|to become a doctor
웃음|laughter|웃음소리|sound of laughter|웃음이 나다|to burst into laughter
위1|above/on|책상 위|on the desk|위에 놓다|to put on top
왔습니다|came|학교에 왔습니다|came to school|일찍 왔습니다|came early
계속4|continuously|계속 공부하다|to study continuously|계속해 주세요|please continue
운동2|exercise|운동을 하다|to exercise|운동장|playground
시6|city|우리 시|our city|큰 시|big city
넣다|to put in|가방에 넣다|to put in the bag|설탕을 넣다|to add sugar
퍼센트|percent|50 퍼센트|50 percent|몇 퍼센트|how many percent
가방1|bag|가방을 메다|to carry a bag|책가방|school bag
형1|older brother|형과 함께|with older brother|형이 왔다|older brother came
학교|school|학교에 가다|to go to school|우리 학교|our school
번4|number|몇 번|what number|3번 버스|bus number 3
상황2|situation|어려운 상황|difficult situation|상황을 파악하다|to grasp the situation
들다4|to hold|꽃을 들다|to hold flowers|손에 들다|to hold in hand
베트남|Vietnam|베트남 음식|Vietnamese food|베트남에서 왔다|came from Vietnam
잘하다|to be good at|공부를 잘하다|to be good at studying|노래를 잘하다|to sing well
바로2|right|바로 여기|right here|바로 그때|right then
탁구장|ping pong hall|탁구장에서 치다|to play at ping pong hall|학교 탁구장|school ping pong hall
경우3|case|이런 경우|in this case|특별한 경우|special case
어느1|which|어느 것|which one|어느 날|one day
의자3|chair|의자에 앉다|to sit on chair|편안한 의자|comfortable chair
그때|that time|그때 생각|thoughts of that time|그때까지|until that time
그래서|so|그래서 왔다|so I came|그래서 좋다|so it's good
무엇|what|무엇을 하다|what to do|무엇보다|more than anything
미국|America|미국에 가다|to go to America|미국 사람|American person
모든|all|모든 사람|all people|모든 것|everything
요리5|cooking|요리를 하다|to cook|한국 요리|Korean cooking
라|or|이것이나 저것|this or that|커피나 차|coffee or tea
돈1|money|돈을 벌다|to earn money|용돈|pocket money
학생회관|student center|학생회관에서 만나다|to meet at student center|우리 학생회관|our student center
음악1|music|음악을 듣다|to listen to music|클래식 음악|classical music
그런데|however|그런데 문제는|however the problem is|그런데 왜|however why
호선80|line|2호선|line 2|지하철 호선|subway line
아주1|very|아주 좋다|very good|아주 많이|very much
날1|day|어느 날|one day|좋은 날|good day
찜질방|jjimjilbang|찜질방에 가다|to go to jjimjilbang|찜질방에서 자다|to sleep at jjimjilbang
모습1|appearance|예쁜 모습|pretty appearance|모습을 보다|to see the appearance
모두1|all|모두 함께|all together|모두 끝났다|everything is finished
피자|pizza|피자를 먹다|to eat pizza|피자 주문하다|to order pizza
몇|how many|몇 개|how many|몇 시|what time
후8|after|한 시간 후|after one hour|식사 후|after a meal
콘서트|concert|콘서트 티켓|concert ticket|콘서트에 가다|to go to a concert
딱2|exactly|딱 맞다|to fit exactly|딱 좋다|just right
놓다1|to put|책상에 놓다|to put on the desk|바닥에 놓다|to put on the floor
쇼핑하다|to shop|쇼핑을 하다|to go shopping|온라인 쇼핑하다|to shop online
먼저|first|먼저 가다|to go first|먼저 해보다|to try first
아버지|father|우리 아버지|my father|아버지께서|father (honorific)
가수11|singer|유명한 가수|famous singer|가수가 되다|to become a singer
대통령|president|대통령 선거|presidential election|대통령이 되다|to become president
남자2|man|젊은 남자|young man|남자 친구|boyfriend
불다1|to blow|바람이 불다|wind blows|바람이 세게 불다|wind blows strongly
오2|oh|오 정말|oh really|오 그래요|oh I see
몸1|body|건강한 몸|healthy body|몸이 아프다|body hurts
초콜릿|chocolate|초콜릿을 먹다|to eat chocolate|초콜릿 케이크|chocolate cake
감사하다5|to be grateful|감사하게 생각하다|to think gratefully|감사한 마음|grateful heart
얼굴1|face|예쁜 얼굴|pretty face|얼굴을 씻다|to wash face
병4|illness|병에 걸리다|to get sick|병이 나다|to become ill
빨리|quickly|빨리 가다|to go quickly|빨리 와요|come quickly
말다3|to stop|비가 그치다|rain stops|말아 주세요|please stop
골프|golf|골프를 치다|to play golf|골프장에서|at the golf course
보내다|to send|편지를 보내다|to send a letter|시간을 보내다|to spend time
다르다1|to be different|완전히 다르다|completely different|다른 의견|different opinion
육교|overpass|육교를 건너다|to cross the overpass|육교 아래|under the overpass
막1|just now|막 도착했다|just arrived|막 시작했어요|just started
물1|water|바닷물|seawater|물을 마시다|to drink water
교통1|traffic|교통이 복잡하다|traffic is heavy|교통수단|means of transportation
나가다|to go out|밖으로 나가다|to go outside|집을 나가다|to leave home
만나다|to meet|친구를 만나다|to meet a friend|처음 만나다|to meet for the first time
아래1|below|책상 아래|under the desk|아래층에서|on the floor below
잡다1|to catch|손을 잡다|to hold hands|기회를 잡다|to seize an opportunity
내다2|to make|길을 내다|to make a road|소리를 내다|to make a sound
복습을|review|복습을 하다|to review|복습이 필요하다|need to review
보이다1|to be seen|잘 보이다|to be clearly visible|보이지 않다|not visible
쓰다1|to write|글씨를 쓰다|to write letters|편지를 쓰다|to write a letter
기다리다|to wait|버스를 기다리다|to wait for the bus|오래 기다리다|to wait long
굉장히|very|굉장히 좋다|very good|굉장히 빠르다|very fast
이것|this|이것은 뭐예요|what is this|이것을 주세요|please give me this
아르바이트하다|to work part-time|카페에서 아르바이트하다|to work part-time at a cafe|아르바이트를 구하다|to look for part-time work
지금3|now|지금 시간|current time|지금 당장|right now
이번1|this time|이번 주말|this weekend|이번에는|this time
책상1|desk|책상 위에|on the desk|책상을 정리하다|to organize the desk
안녕하다|to be peaceful|안녕한 하루|peaceful day|안녕히 가세요|go peacefully
길1|road|넓은 길|wide road|길을 건너다|to cross the road
내일|tomorrow|내일 만나요|see you tomorrow|내일은 바빠요|I'm busy tomorrow
중요하다2|to be important|중요한 일|important matter|중요하게 생각하다|to think importantly
생활|life|일상생활|daily life|생활비|living expenses
식당|restaurant|학교 식당|school cafeteria|식당에서 먹다|to eat at a restaurant
힘들다|to be difficult|힘든 일|difficult work|힘들게 살다|to live with difficulty
쓰다3|to take|약을 쓰다|to take medicine|감기약을 쓰다|to take cold medicine
노래를|||||
번째|ordinal marker|첫 번째|first|세 번째|third
사이1|between|친구 사이|between friends|그 사이에|in between
빵집|bakery|동네 빵집|neighborhood bakery|빵집에 가다|to go to the bakery
들어오다|to come in|집에 들어오다|to come into the house|교실로 들어오다|to come into the classroom
우리나라|our country|우리나라 문화|our country's culture|우리나라 음식|our country's food
수영2|swimming|수영을 하다|to swim|수영장에서 수영|swimming at the pool
얘기하다|to talk|친구와 얘기하다|to talk with friends|재미있게 얘기하다|to talk interestingly
앉다|to sit|의자에 앉다|to sit on a chair|바닥에 앉다|to sit on the floor
요일|day of the week|무슨 요일|what day|월요일부터 금요일|Monday to Friday
선생님|teacher|우리 선생님|our teacher|선생님께 인사|greeting the teacher
손1|hand|손을 씻다|to wash hands|손에 들다|to hold in hand
아침을|||||
아빠|dad|우리 아빠|my dad|아빠와 함께|together with dad
시10|o'clock|세 시|three o'clock|몇 시예요|what time is it
걷다2|to walk|천천히 걷다|to walk slowly|공원에서 걷다|to walk in the park
죽다1|to die|굶어 죽다|to starve to death|병으로 죽다|to die from illness
이야기|story|재미있는 이야기|interesting story|이야기를 하다|to tell a story
똑바로|straight|똑바로 서다|to stand straight|똑바로 가다|to go straight
부분1|part|일부분|part of it|중요한 부분|important part
사다|to buy|책을 사다|to buy a book|선물을 사다|to buy a gift
반갑다|to be glad|만나서 반갑다|glad to meet you|반가운 소식|good news
끝나다|to end|수업이 끝나다|class ends|영화가 끝나다|movie ends
서다1|to stand|줄을 서다|to stand in line|문 앞에 서다|to stand at the door
공부하다|to study|한국어를 공부하다|to study Korean|열심히 공부하다|to study hard
마지막|last|마지막 기회|last chance|마지막 날|last day
못4|cannot|못 가다|cannot go|못 하다|cannot do
일본|Japan|일본 여행|trip to Japan|일본 음식|Japanese food
떨어지다|to fall|사과가 떨어지다|apple falls|성적이 떨어지다|grades drop
읽다|to read|책을 읽다|to read a book|신문을 읽다|to read a newspaper
피곤하다|to be tired|너무 피곤하다|very tired|피곤한 하루|tiring day
예쁘다|to be pretty|예쁜 꽃|pretty flower|예쁘게 입다|to dress prettily
이제1|now|이제 시작해요|starting now|이제 알겠다|now I understand
쉽다|to be easy|쉬운 문제|easy problem|쉽게 말하다|to speak easily
줄1|line|한 줄로|in one line|줄을 서다|to stand in line
물론1|of course|물론이지|of course|물론 가능해요|of course it's possible
자주1|often|자주 만나다|to meet often|자주 가다|to go often
얘2|hey|얘 좀 봐|hey look at this|얘 들어봐|hey listen
동안1|during|한 시간 동안|for one hour|방학 동안|during vacation
시작되다1|to begin|수업이 시작되다|class begins|영화가 시작되다|movie starts
그녀|she|그녀의 이름|her name|그녀를 만나다|to meet her
일어나다|to get up|일찍 일어나다|to get up early|7시에 일어나다|to get up at 7
여권2|passport|여권을 보여주다|to show passport|여권 검사|passport inspection
머리1|head|머리가 아프다|head hurts|머리를 감다|to wash hair
시장4|market|전통 시장|traditional market|시장에 가다|to go to the market
심심하다1|to be bored|심심한 시간|boring time|심심해서 나갔다|went out because I was bored
꼭2|tightly|꼭 잡다|to hold tightly|꼭 안아주다|to hug tightly
무슨|what|무슨 일|what matter|무슨 뜻|what meaning
팝콘|popcorn|팝콘을 먹다|to eat popcorn|팝콘 한 봉지|a bag of popcorn
찍다2|to stamp|도장을 찍다|to stamp a seal|서류에 찍다|to stamp on documents
어렵다|to be difficult|어려운 문제|difficult problem|어렵게 생각하다|to think it's difficult
시작1|start|시작이 중요하다|the start is important|좋은 시작|good start
갖다1|to have|돈을 갖다|to have money|갖고 있다|to possess
힘1|strength|힘이 세다|to be strong|힘을 기르다|to build strength
호수7|lake|큰 호수|big lake|호수에서 낚시|fishing at the lake
끝1|end|영화의 끝|end of the movie|끝까지 보다|to watch until the end
나라1|country|우리 나라|our country|외국 나라|foreign country
열둘|twelve|열둘 개|twelve pieces|열둘 명|twelve people
이유4|reason|좋은 이유|good reason|이유를 묻다|to ask for a reason
부르다1|to call|이름을 부르다|to call a name|크게 부르다|to call loudly
영화관1|movie theater|영화관에 가다|to go to the movie theater|새로운 영화관|new movie theater
따르다1|to follow|뒤를 따르다|to follow behind|선생님을 따르다|to follow the teacher
자리1|seat|빈 자리|empty seat|자리를 찾다|to find a seat
교수6|professor|대학교 교수|university professor|교수님께 인사|greeting the professor
없이|without|돈 없이|without money|말 없이|without words
쪽5|direction|이쪽으로|in this direction|저쪽 방향|that direction
방학이|vacation|여름 방학이|summer vacation|방학이 시작되다|vacation begins
엄청|very|엄청 크다|very big|엄청 많다|very many
얘기|story|재미있는 얘기|interesting story|얘기를 하다|to tell a story
골프장|golf course|골프장에서 치다|to play at the golf course|골프장 예약|golf course reservation
고맙다1|to be thankful|정말 고마워요|really thank you|고마운 마음|grateful heart
학생|student|대학생|university student|학생증|student ID
재미있다|to be interesting|재미있는 영화|interesting movie|재미있게 놀다|to have fun
믿다|to believe|믿을 수 없어|can't believe it|친구를 믿다|to trust a friend
이름|name|이름이 뭐예요|what is your name|이름을 쓰다|to write one's name
더럽다|to be dirty|손이 더럽다|hands are dirty|더러운 옷|dirty clothes
첫|first|첫 번째|first time|첫 만남|first meeting
내리다1|to fall|눈이 내리다|snow is falling|비가 내려요|it's raining
삼십|thirty|삼십 분|thirty minutes|삼십 살|thirty years old
적3|time|그럴 적|at that time|어릴 적|when young
필요하다|to be necessary|돈이 필요해요|need money|필요한 물건|necessary items
꽃1|flower|예쁜 꽃|pretty flower|꽃을 심다|to plant flowers
어제1|yesterday|어제 만났어요|met yesterday|어제 일|yesterday's work
생기다|to happen|문제가 생기다|a problem occurs|기회가 생기다|an opportunity arises
사십|forty|사십 대|in one's forties|사십 년|forty years
원래1|originally|원래 계획|original plan|원래대로|as originally planned
사용하다3|to use|컴퓨터를 사용하다|to use a computer|사용법|how to use
돈을|||||
아까|a while ago|아까 봤어요|saw a while ago|아까 전|just before
남편1|husband|남편과 아내|husband and wife|남편 직업|husband's job
영어2|English|영어 공부|English study|영어를 배우다|to learn English
터1|site|건설 터|construction site|놀이터|playground
밖|outside|집 밖|outside the house|밖에 나가다|to go outside
병원2|hospital|병원에 가다|to go to the hospital|큰 병원|big hospital
자신1|oneself|자신을 믿다|to believe in oneself|자신의 꿈|one's dream
작다1|to be small|작은 집|small house|작게 만들다|to make small
유차자|||||
혼자1|alone|혼자 살다|to live alone|혼자만의 시간|time alone
타다2|to ride|버스를 타다|to ride the bus|지하철을 타다|to ride the subway
보통|ordinary|보통 사람|ordinary person|보통보다 크다|bigger than usual
최근|recent|최근 소식|recent news|최근에 만났어요|met recently
대학1|university|대학교 학생|university student|대학에 다니다|to attend university
올해|this year|올해 계획|this year's plan|올해는 특별해요|this year is special
탄성|||||
가운데|middle|길 가운데|middle of the road|가운데 자리|middle seat
프랑스|France|프랑스 여행|trip to France|프랑스 음식|French food
방법|method|좋은 방법|good method|공부 방법|study method
밤1|night|밤이 되다|night falls|밤에 만나다|to meet at night
출구1|exit|비상 출구|emergency exit|출구를 찾다|to find the exit
내용2|content|책의 내용|book content|내용을 확인하다|to check the content
높다|to be high|높은 산|high mountain|키가 높다|to be tall
칠판|blackboard|칠판에 쓰다|to write on the blackboard|칠판을 지우다|to erase the blackboard
요즘|these days|요즘 날씨|weather these days|요즘 바빠요|I'm busy these days
컴퓨터|computer|컴퓨터 게임|computer game|컴퓨터를 켜다|to turn on the computer
언제1|when|언제 올까요|when will you come|언제든지 좋아요|anytime is fine
쪽2|side|오른쪽으로|to the right side|이쪽으로 오세요|come this way
다니다|to attend|학교에 다니다|to attend school|회사에 다니다|to work at a company
여름1|summer|여름 방학|summer vacation|여름이 왔어요|summer has come
세계2|world|세계 여행|world travel|세계적으로 유명한|world-famous
얼마나|how much|얼마나 비싸요|how expensive|얼마나 좋아요|how good
가을1|autumn|가을 날씨|autumn weather|가을이 왔다|autumn has come
아무1|any|아무나|anyone|아무것도|anything
열다2|to open|문을 열다|to open a door|창문을 열다|to open a window
음식을|||||
웃다|to laugh|크게 웃다|to laugh loudly|함께 웃다|to laugh together
묻다3|to ask|길을 묻다|to ask for directions|시간을 묻다|to ask the time
겨울|winter|겨울 방학|winter vacation|추운 겨울|cold winter
당신2|you|당신의 이름|your name|당신이 좋아요|I like you
거기1|there|거기 있어요|it's there|거기서 만나요|meet there
그리다2|to draw|그림을 그리다|to draw a picture|선을 그리다|to draw a line
상태1|condition|건강 상태|health condition|좋은 상태|good condition
아들|son|큰 아들|eldest son|아들과 딸|son and daughter
불고기|bulgogi|불고기 정식|bulgogi set meal|맛있는 불고기|delicious bulgogi
말씀|words|좋은 말씀|good words|말씀해 주세요|please tell me
분8|minute|10시 20분|10:20|30분 후|30 minutes later
인형1|doll|예쁜 인형|pretty doll|인형 놀이|playing with dolls
역시1|as expected|역시 좋다|as expected, it's good|역시 그래|as I thought
곧1|soon|곧 도착해요|arriving soon|곧 시작해요|starting soon
할아버지|grandfather|친할아버지|paternal grandfather|할아버지댁|grandfather's house
지역3|region|수도권 지역|metropolitan region|농촌 지역|rural region
서로1|each other|서로 도와주다|to help each other|서로 사랑하다|to love each other
태권도|taekwondo|태권도 수업|taekwondo class|태권도를 배우다|to learn taekwondo
이후2|after|그 이후|after that|졸업 이후|after graduation
