잔3|cup|물 한 잔|a cup of water|커피 두 잔|two cups of coffee
생각하다|to think|열심히 생각하다|to think hard|생각해 보다|to think about it
살다1|to live|서울에 살다|to live in Seoul|혼자 살다|to live alone
게임|game|컴퓨터 게임|computer game|게임을 하다|to play a game
씨1|seed|씨를 심다|to plant seeds|꽃씨를 뿌리다|to sow flower seeds
저3|I|저는 학생이에요|I am a student|저도 가요|I'm going too
아니요|no|아니요, 괜찮아요|no, it's okay|아니요, 안 해요|no, I don't do it
야4|hey|야, 이리 와|hey, come here|야, 뭐 해?|hey, what are you doing?
못하다|cannot|못하겠어요|I can't do it|말을 못하다|cannot speak
드시다|to eat|식사를 드시다|to have a meal|많이 드세요|please eat a lot
앵커|anchor|뉴스 앵커|news anchor|앵커가 되다|to become an anchor
모르다|to not know|잘 모르겠어요|I don't know well|길을 모르다|to not know the way
스케이트장|skating rink|스케이트장에 가다|to go to the skating rink|실내 스케이트장|indoor skating rink
대하다2|to treat|친절하게 대하다|to treat kindly|손님을 대하다|to treat guests
속1|inside|속이 아프다|stomach hurts|속을 들여다보다|to look inside
한번|once|한번 해보다|to try once|한번 더|once more
등1|back|등이 아프다|back hurts|등을 맞대다|to put backs together
두1|two|두 개|two pieces|두 번|two times
프랑스말|French|프랑스말을 배우다|to learn French|프랑스말로 말하다|to speak in French
위하다1|to be for|건강을 위하다|for health|미래를 위하다|for the future
앞|front|앞에 서다|to stand in front|앞으로 가다|to go forward
연락하다2|to contact|전화로 연락하다|to contact by phone|나중에 연락하다|to contact later
못1|nail|못을 박다|to hammer a nail|벽에 못을 박다|to nail into the wall
어떤|what kind of|어떤 사람|what kind of person|어떤 음식|what kind of food
입다1|to wear|옷을 입다|to wear clothes|정장을 입다|to wear a suit
다시1|again|다시 해보다|to try again|다시 만나다|to meet again
잘2|well|잘 하다|to do well|잘 모르다|to not know well
삼계탕|ginseng chicken soup|삼계탕을 끓이다|to cook ginseng chicken soup|삼계탕을 먹다|to eat ginseng chicken soup
들어가다1|to go in|집에 들어가다|to go into the house|방에 들어가다|to enter the room
먹다2|to eat|밥을 먹다|to eat rice|과일을 먹다|to eat fruit
기자5|reporter|신문 기자|newspaper reporter|기자가 되다|to become a reporter
맞다1|to be correct|답이 맞다|the answer is correct|맞는 말|correct words
원1|won|천 원|one thousand won|만 원|ten thousand won
책1|book|책을 읽다|to read a book|새 책|new book
그거|that|그거 뭐야|what is that|그거 좋다|that's good
명3|people|한 명|one person|두 명|two people
생일2|birthday|생일 축하해|happy birthday|생일 파티|birthday party
예1|past|예나 지금이나|then and now|예부터|from the past
다른|different|다른 사람|different person|다른 방법|different method
여행하다1|to travel|해외여행하다|to travel abroad|가족여행하다|to travel with family
친구2|friend|좋은 친구|good friend|친구를 만나다|to meet a friend
이런1|such|이런 일|such a thing|이런 사람|such a person
식사하다2|to have a meal|점심식사하다|to have lunch|함께 식사하다|to dine together
안1|inside|집 안|inside the house|방 안|inside the room
여자2|woman|젊은 여자|young woman|여자 친구|girlfriend
추다2|to dance|춤을 추다|to dance|발레를 추다|to do ballet
조금1|a little|조금만|just a little|조금 더|a little more
개10|counter for items|사과 세 개|three apples|책 한 개|one book
만1|ten thousand|십만 원|one hundred thousand won|백만 명|one million people
맛있다|to be delicious|맛있는 음식|delicious food|맛있게 먹다|to eat deliciously
뒤1|back|집 뒤|behind the house|뒤에서|from behind
준비하다|to prepare|시험을 준비하다|to prepare for an exam|여행을 준비하다|to prepare for a trip
여러분|everyone|여러분 안녕하세요|hello everyone|여러분 감사합니다|thank you everyone
듣다1|to hear|소리를 듣다|to hear a sound|음악을 듣다|to listen to music
볼펜2|ballpoint pen|파란 볼펜|blue ballpoint pen|볼펜으로 쓰다|to write with a ballpoint pen
시간4|time|시간이 없다|to have no time|시간을 보내다|to spend time
다3|all|다 먹었어요|ate it all|다 왔어요|everyone came
공항2|airport|인천공항|Incheon Airport|공항에 가다|to go to the airport
어디1|where|어디에 가요|where are you going|어디서 왔어요|where did you come from
좀2|a little|좀 더|a little more|좀 기다려요|wait a little
샤워하다|to shower|샤워를 하다|to take a shower|뜨거운 샤워|hot shower
엄마|mom|우리 엄마|my mom|엄마한테 전화하다|to call mom
들다1|to enter|여관에 들다|to enter an inn|방에 들다|to enter a room
바꾸다|to change|옷을 바꾸다|to change clothes|계획을 바꾸다|to change plans
중4|among|그 중에서|among them|학생 중 한 명|one among the students
가지다|to have|돈을 가지다|to have money|생각을 가지다|to have an idea
향수4|perfume|향수를 뿌리다|to spray perfume|좋은 향수|good perfume
괜찮다|to be okay|괜찮은 사람|decent person|괜찮아요|it's okay
함께|together|함께 가다|to go together|함께 살다|to live together
언니|older sister|언니가 왔어요|older sister came|친한 언니|close older sister
소리1|sound|큰 소리|loud sound|소리를 내다|to make a sound
아이1|child|어린 아이|young child|아이가 울다|the child cries
세우다1|to build|집을 세우다|to build a house|계획을 세우다|to make a plan
마음1|heart|좋은 마음|good heart|마음이 아프다|heart hurts
너1|you|너는 누구야|who are you|너를 사랑해|I love you
전화를|phone call|전화를 걸다|to make a phone call|전화를 받다|to answer the phone
좋아하다|to like|음악을 좋아하다|to like music|좋아하는 사람|person I like
나다1|to come out|소리가 나다|sound comes out|냄새가 나다|smell comes out
권1|volume|책 한 권|one volume of book|소설 두 권|two volumes of novel
같이|together|같이 가자|let's go together|같이 먹다|to eat together
어머니1|mother|우리 어머니|my mother|어머니께 인사|greet mother
반7|half|시간 반|half an hour|반값|half price
처음|beginning|처음 만나다|to meet for the first time|처음부터|from the beginning
눈1|eye|큰 눈|big eyes|눈을 감다|to close eyes
서점3|bookstore|큰 서점|big bookstore|서점에서 사다|to buy at bookstore
응1|yes|응, 알겠어|yes, I understand|응, 맞아|yes, that's right
다음1|next|다음 주|next week|다음에 보자|see you next time
컴퓨터를|computer|컴퓨터를 켜다|to turn on computer|컴퓨터를 사다|to buy a computer
찾다|to find|길을 찾다|to find the way|친구를 찾다|to look for a friend
누구|who|누구세요|who is it|누구 것|whose thing
모자8|hat|모자를 쓰다|to wear a hat|예쁜 모자|pretty hat
저희1|we|저희 가족|our family|저희 회사|our company
전8|before|전 시간|previous time|전 학기|previous semester
할머니|grandmother|할머니 집|grandmother's house|할머니께 인사|greet grandmother
정도11|degree|이 정도면|to this degree|어느 정도|to some extent
곳1|place|좋은 곳|good place|조용한 곳|quiet place
수요일|Wednesday|수요일에 만나다|meet on Wednesday|수요일 오후|Wednesday afternoon
가장1|most|가장 좋다|to be the best|가장 중요한|most important
여러|various|여러 가지|various things|여러 사람|various people
여기1|here|여기 있어요|it's here|여기서 만나다|to meet here
아직1|still|아직 안 왔어요|hasn't come yet|아직 일찍|still early
하나|one|하나씩|one by one|하나만|just one
인분80|serving|삼 인분|three servings|한 인분|one serving
시작하다1|to start|일을 시작하다|to start work|시작해 보다|to try starting
버리다1|to throw away|쓰레기를 버리다|to throw away trash|버려 두다|to leave thrown away
의사2|doctor|의사 선생님|doctor|의사가 되다|to become a doctor
웃음|laughter|웃음소리|sound of laughter|웃음을 짓다|to smile
위1|above|책상 위|on the desk|위에서 아래로|from top to bottom
왔습니다|came|학교에 왔습니다|came to school|일찍 왔습니다|came early
계속4|continuously|계속 공부하다|to study continuously|계속해서|continuously
운동2|exercise|운동을 하다|to exercise|운동장에서|at the playground
시6|city|서울시|Seoul city|부산시|Busan city
넣다|to put in|가방에 넣다|to put in bag|설탕을 넣다|to add sugar
퍼센트|percent|오십 퍼센트|fifty percent|백 퍼센트|one hundred percent
가방1|bag|가방을 메다|to carry a bag|가방을 싸다|to pack a bag
형1|older brother|형이 왔다|older brother came|형과 함께|together with older brother
학교|school|학교에 가다|to go to school|학교 생활|school life
번4|number|몇 번|what number|3번 버스|bus number 3
상황2|situation|어려운 상황|difficult situation|상황을 파악하다|to grasp the situation
들다4|to hold|꽃을 들다|to hold flowers|손에 들다|to hold in hand
베트남|Vietnam|베트남 음식|Vietnamese food|베트남에 가다|to go to Vietnam
잘하다|to be good at|공부를 잘하다|to be good at studying|요리를 잘하다|to be good at cooking
바로2|right away|바로 가다|to go right away|바로 여기|right here
탁구장|ping pong hall|탁구장에서 치다|to play at ping pong hall|탁구장 예약|ping pong hall reservation
경우3|case|이런 경우|in this case|특별한 경우|special case
어느1|which|어느 것|which one|어느 날|which day
의자3|chair|의자에 앉다|to sit on a chair|편한 의자|comfortable chair
그때|that time|그때 만났어요|we met at that time|그때부터|from that time
그래서|so|그래서 왔어요|so I came|그래서 좋아요|so it's good
무엇|what|무엇을 하다|to do what|무엇이 좋아요|what is good
미국|America|미국에 가다|to go to America|미국 사람|American person
모든|all|모든 사람|all people|모든 것|everything
요리5|cooking|요리를 하다|to cook|한국 요리|Korean cooking
라|or|사과라 배|apples or pears|이거라 저거|this or that
돈1|money|돈을 벌다|to earn money|돈이 없다|to have no money
학생회관|student center|학생회관에서 만나다|to meet at student center|학생회관 식당|student center cafeteria
음악1|music|음악을 듣다|to listen to music|클래식 음악|classical music
그런데|but|그런데 비싸요|but it's expensive|그런데 왜|but why
호선80|line|1호선|line 1|지하철 호선|subway line
아주1|very|아주 좋다|very good|아주 많이|very much
날1|day|어느 날|one day|좋은 날|good day
찜질방|jjimjilbang|찜질방에 가다|to go to jjimjilbang|찜질방에서 자다|to sleep at jjimjilbang
모습1|appearance|예쁜 모습|pretty appearance|모습을 보다|to see the appearance
모두1|all|모두 다|all together|모두 왔어요|everyone came
피자|pizza|피자를 먹다|to eat pizza|피자 주문|pizza order
몇|how many|몇 개|how many|몇 시|what time
후8|after|한 시간 후|after one hour|식사 후|after meal
콘서트|concert|콘서트 티켓|concert ticket|콘서트를 보다|to watch a concert
딱2|exactly|딱 맞다|to fit exactly|딱 좋다|just right
놓다1|to put|책상에 놓다|to put on desk|여기에 놓다|to put here
쇼핑하다|to shop|쇼핑을 하다|to go shopping|온라인 쇼핑하다|to shop online
먼저|first|먼저 가다|to go first|먼저 해보다|to try first
아버지|father|우리 아버지|my father|아버지께서|father (honorific)
가수11|singer|유명한 가수|famous singer|가수가 되다|to become a singer
대통령|president|대통령 선거|presidential election|대통령이 되다|to become president
남자2|man|젊은 남자|young man|남자 친구|boyfriend
불다1|to blow|바람이 불다|wind blows|입으로 불다|to blow with mouth
오2|oh|오 정말|oh really|오 그래|oh I see
몸1|body|건강한 몸|healthy body|몸이 아프다|body hurts
초콜릿|chocolate|초콜릿 케이크|chocolate cake|초콜릿을 먹다|to eat chocolate
감사하다5|to be grateful|감사한 마음|grateful heart|감사하게 생각하다|to think gratefully
얼굴1|face|예쁜 얼굴|pretty face|얼굴을 씻다|to wash face
병4|illness|심한 병|serious illness|병에 걸리다|to get sick
빨리|quickly|빨리 가다|to go quickly|빨리 해|do it quickly
말다3|to stop|비가 그치지 말다|may the rain not stop|울지 말다|don't cry
골프|golf|골프를 치다|to play golf|골프장에서|at the golf course
보내다|to send|편지를 보내다|to send a letter|시간을 보내다|to spend time
다르다1|to be different|완전히 다르다|completely different|다른 방법|different method
육교|overpass|육교를 건너다|to cross the overpass|육교 아래|under the overpass
막1|just now|막 도착했다|just arrived|막 시작했어요|just started
물1|water|바닷물|seawater|물을 마시다|to drink water
교통1|traffic|교통이 복잡하다|traffic is heavy|교통수단|means of transportation
나가다|to go out|밖으로 나가다|to go outside|집에서 나가다|to leave home
만나다|to meet|친구를 만나다|to meet a friend|처음 만나다|to meet for the first time
아래1|below|책상 아래|under the desk|아래층에서|on the floor below
잡다1|to catch|버스를 잡다|to catch a bus|손을 잡다|to hold hands
내다2|to make|길을 내다|to make a road|소리를 내다|to make a sound
보이다1|to be seen|잘 보이다|to be clearly visible|멀리 보이다|to be visible from afar
쓰다1|to write|글씨를 쓰다|to write letters|편지를 쓰다|to write a letter
기다리다|to wait|버스를 기다리다|to wait for the bus|오래 기다리다|to wait for a long time
굉장히|very|굉장히 좋다|very good|굉장히 빠르다|very fast
이것|this|이것은 뭐예요|what is this|이것을 주세요|please give me this
아르바이트하다|to work part-time|카페에서 아르바이트하다|to work part-time at a cafe|아르바이트를 구하다|to look for part-time work
지금3|now|지금 몇 시예요|what time is it now|지금 바쁘다|busy right now
이번1|this time|이번 주말|this weekend|이번에는|this time
책상1|desk|책상 위에|on the desk|책상을 정리하다|to organize the desk
안녕하다|to be well|안녕하세요|hello|안녕하게 지내다|to live peacefully
길1|road|넓은 길|wide road|길을 건너다|to cross the road
복습을|review|복습을 하다|to do review|복습을 위해|for review
내일|tomorrow|내일 만나요|see you tomorrow|내일까지|by tomorrow
중요하다2|to be important|중요한 일|important matter|중요하게 생각하다|to think importantly
생활|life|일상 생활|daily life|생활비|living expenses
식당|restaurant|학교 식당|school cafeteria|식당에서 먹다|to eat at a restaurant
힘들다|to be difficult|힘든 일|difficult work|힘들어하다|to find it hard
쓰다3|to take|약을 쓰다|to take medicine|감기약을 쓰다|to take cold medicine
노래를|song|노래를 부르다|to sing a song|노래를 듣다|to listen to a song
번째|ordinal marker|첫 번째|first|두 번째|second
사이1|between|친구 사이|between friends|그 사이에|in between
빵집|bakery|동네 빵집|neighborhood bakery|빵집에서 사다|to buy at a bakery
들어오다|to come in|집에 들어오다|to come into the house|방에 들어오다|to come into the room
우리나라|our country|우리나라 음식|our country's food|우리나라 사람|people of our country
수영2|swimming|수영을 하다|to swim|수영 선수|swimming athlete
얘기하다|to talk|친구와 얘기하다|to talk with friends|재미있게 얘기하다|to talk interestingly
앉다|to sit|의자에 앉다|to sit on a chair|바닥에 앉다|to sit on the floor
요일|day of the week|무슨 요일|what day|월요일|Monday
선생님|teacher|우리 선생님|our teacher|선생님께 인사하다|to greet the teacher
손1|hand|손을 씻다|to wash hands|손을 들다|to raise one's hand
아침을|morning|아침을 먹다|to eat breakfast|아침을 준비하다|to prepare breakfast
아빠|dad|우리 아빠|my dad|아빠와 함께|together with dad
시10|o'clock|몇 시|what time|세 시|three o'clock
걷다2|to walk|천천히 걷다|to walk slowly|공원에서 걷다|to walk in the park
죽다1|to die|굶어 죽다|to starve to death|병으로 죽다|to die from illness
이야기|story|재미있는 이야기|interesting story|이야기를 하다|to tell a story
똑바로|straight|똑바로 서다|to stand straight|똑바로 보다|to look straight
부분1|part|일부분|part of|중요한 부분|important part
사다|to buy|책을 사다|to buy a book|선물을 사다|to buy a gift
반갑다|to be glad|반가운 소식|glad news|반갑게 인사하다|to greet warmly
끝나다|to end|수업이 끝나다|class ends|영화가 끝나다|movie ends
서다1|to stand|줄을 서다|to stand in line|일어서다|to stand up
공부하다|to study|한국어를 공부하다|to study Korean|열심히 공부하다|to study hard
마지막|last|마지막 기회|last chance|마지막으로|lastly
못4|cannot|못 가다|cannot go|못 하다|cannot do
일본|Japan|일본 여행|trip to Japan|일본어|Japanese language
떨어지다|to fall|잎이 떨어지다|leaves fall|시험에 떨어지다|to fail an exam
읽다|to read|책을 읽다|to read a book|신문을 읽다|to read a newspaper
피곤하다|to be tired|너무 피곤하다|to be very tired|피곤해 보이다|to look tired
예쁘다|to be pretty|예쁜 꽃|pretty flower|예쁘게 입다|to dress prettily
이제1|now|이제 시작이다|now it begins|이제 알겠다|now I understand
쉽다|to be easy|쉬운 문제|easy problem|쉽게 설명하다|to explain easily
줄1|line|한 줄|one line|줄을 서다|to stand in line
물론1|of course|물론이다|of course|물론 좋다|of course it's good
자주1|often|자주 만나다|to meet often|자주 가다|to go often
얘2|hey|얘, 들어봐|hey, listen|얘, 뭐해|hey, what are you doing
동안1|during|방학 동안|during vacation|한 시간 동안|for one hour
시작되다1|to begin|수업이 시작되다|class begins|영화가 시작되다|movie starts
그녀|she|그녀의 이름|her name|그녀를 만나다|to meet her
일어나다|to get up|아침에 일어나다|to get up in the morning|일찍 일어나다|to get up early
여권2|passport|여권을 보여주다|to show passport|여권이 필요하다|passport is needed
머리1|head|머리가 아프다|head hurts|머리를 감다|to wash hair
시장4|market|전통 시장|traditional market|시장에 가다|to go to the market
심심하다1|to be bored|심심한 시간|boring time|심심해서 나갔다|went out because I was bored
꼭2|tightly|꼭 안다|to hug tightly|꼭 잡다|to hold tightly
무슨|what|무슨 일|what matter|무슨 말|what words
팝콘|popcorn|팝콘을 먹다|to eat popcorn|달콤한 팝콘|sweet popcorn
찍다2|to stamp|도장을 찍다|to stamp a seal|서류에 찍다|to stamp on documents
어렵다|to be difficult|어려운 문제|difficult problem|어렵게 생각하다|to think it's difficult
시작1|beginning|시작이 중요하다|the beginning is important|좋은 시작|good start
갖다1|to have|돈을 갖다|to have money|시간을 갖다|to have time
힘1|strength|힘이 세다|to be strong|힘을 내다|to exert strength
호수7|lake|아름다운 호수|beautiful lake|호수에서 수영하다|to swim in the lake
끝1|end|영화의 끝|end of the movie|끝까지 보다|to watch until the end
나라1|country|우리 나라|our country|외국 나라|foreign country
열둘|twelve|열둘 개|twelve pieces|열둘 시|twelve o'clock
이유4|reason|좋은 이유|good reason|이유를 말하다|to state a reason
부르다1|to call|이름을 부르다|to call a name|크게 부르다|to call loudly
영화관1|movie theater|영화관에 가다|to go to the movie theater|새로운 영화관|new movie theater
따르다1|to follow|뒤를 따르다|to follow behind|선생님을 따르다|to follow the teacher
자리1|seat|좋은 자리|good seat|자리가 없다|there are no seats
교수6|professor|대학교 교수|university professor|교수님께 인사하다|to greet the professor
없이|without|돈 없이|without money|말 없이|without words
쪽5|direction|이쪽으로 오다|to come this way|저쪽을 보다|to look that way
방학이|vacation|여름 방학|summer vacation|방학이 시작되다|vacation begins
엄청|tremendously|엄청 크다|tremendously big|엄청 많다|tremendously many
얘기|story|재미있는 얘기|interesting story|얘기를 하다|to tell a story
골프장|golf course|골프장에 가다|to go to the golf course|골프장 예약|golf course reservation
고맙다1|to be thankful|고마운 마음|grateful heart|고맙다고 하다|to say thank you
학생|student|대학생|university student|학생증|student ID
재미있다|to be interesting|재미있는 영화|interesting movie|재미있게 놀다|to have fun
믿다|to believe|친구를 믿다|to trust a friend|말을 믿다|to believe words
이름|name|이름을 쓰다|to write a name|이름이 뭐예요|what is your name
더럽다|to be dirty|더러운 옷|dirty clothes|손이 더럽다|hands are dirty
첫|first|첫 번째|first time|첫 만남|first meeting
내리다1|to fall|눈이 내리다|snow falls|비가 내리다|rain falls
삼십|thirty|삼십 분|thirty minutes|삼십 살|thirty years old
적3|time|그럴 적에|at that time|어릴 적|childhood time
필요하다|to be necessary|필요한 물건|necessary items|도움이 필요하다|to need help
꽃1|flower|꽃을 피우다|to bloom flowers|예쁜 꽃|beautiful flower
어제1|yesterday|어제 밤|last night|어제 만났어요|met yesterday
생기다|to occur|문제가 생기다|a problem occurs|기회가 생기다|an opportunity arises
사십|forty|사십 대|in one's forties|사십 년|forty years
원래1|originally|원래 계획|original plan|원래대로|as originally planned
사용하다3|to use|컴퓨터를 사용하다|to use a computer|카드를 사용하다|to use a card
아까|a while ago|아까 전에|a while ago|아까 말했듯이|as I said earlier
남편1|husband|남편과 아내|husband and wife|남편을 만나다|to meet husband
영어2|English|영어 공부|English study|영어를 배우다|to learn English
터1|site|공사 터|construction site|집터|house site
밖|outside|밖에 나가다|to go outside|집 밖|outside the house
병원2|hospital|병원에 가다|to go to the hospital|종합병원|general hospital
자신1|oneself|자신을 믿다|to believe in oneself|자신의 꿈|one's own dream
작다1|to be small|작은 집|small house|키가 작다|to be short
혼자1|alone|혼자 살다|to live alone|혼자만의 시간|time alone
타다2|to ride|버스에 타다|to ride the bus|지하철을 타다|to take the subway
보통|ordinary|보통 사람|ordinary person|보통보다 크다|bigger than usual
최근|recently|최근 소식|recent news|최근에 만났다|met recently
대학1|university|대학에 가다|to go to university|대학 생활|university life
올해|this year|올해 계획|this year's plan|올해 졸업하다|to graduate this year
가운데|middle|길 가운데|middle of the road|친구들 가운데|among friends
프랑스|France|프랑스 여행|trip to France|프랑스 음식|French food
방법|method|좋은 방법|good method|공부 방법|study method
밤1|night|어두운 밤|dark night|밤에 자다|to sleep at night
출구1|exit|비상 출구|emergency exit|출구를 찾다|to find the exit
내용2|content|책의 내용|book content|내용을 정리하다|to organize the content
높다|to be high|산이 높다|the mountain is high|키가 높다|to be tall
칠판|blackboard|칠판에 쓰다|to write on the blackboard|칠판을 지우다|to erase the blackboard
요즘|these days|요즘 날씨|the weather these days|요즘 바쁘다|busy these days
컴퓨터|computer|컴퓨터 게임|computer game|컴퓨터를 켜다|to turn on the computer
언제1|when|언제 올까요|when will you come|언제든지 좋다|anytime is fine
쪽2|side|오른쪽으로|to the right side|이쪽으로 오세요|come this way
다니다|to attend|학교에 다니다|to attend school|회사에 다니다|to work at a company
여름1|summer|더운 여름|hot summer|여름 휴가|summer vacation
세계2|world|전 세계|the whole world|세계 여행|world travel
탄성|elasticity|탄성이 좋다|good elasticity|탄성을 잃다|to lose elasticity
얼마나|how much|얼마나 좋아|how good|얼마나 많이|how much
가을1|autumn|가을 날씨|autumn weather|가을이 오다|autumn comes
아무1|any|아무나|anyone|아무것도|anything
열다2|to open|문을 열다|to open the door|창문을 열다|to open the window
웃다|to laugh|크게 웃다|to laugh loudly|함께 웃다|to laugh together
묻다3|to ask|길을 묻다|to ask for directions|이름을 묻다|to ask someone's name
겨울|winter|겨울 방학|winter vacation|겨울이 춥다|winter is cold
당신2|you|당신의 이름|your name|당신을 사랑해|I love you
거기1|there|거기 있어요|it's there|거기서 만나요|let's meet there
그리다2|to draw|그림을 그리다|to draw a picture|선을 그리다|to draw a line
상태1|condition|건강 상태|health condition|좋은 상태|good condition
아들|son|큰 아들|eldest son|아들과 딸|son and daughter
불고기|bulgogi|불고기 정식|bulgogi set meal|불고기를 먹다|to eat bulgogi
말씀|words|좋은 말씀|good words|말씀해 주세요|please tell me
분8|minute|10시 20분|10:20|5분 후|after 5 minutes
인형1|doll|인형 놀이|playing with dolls|예쁜 인형|pretty doll
역시1|also|역시 좋다|also good|역시 그래|as expected
곧1|soon|곧 올게요|I'll come soon|곧 시작해요|it starts soon
할아버지|grandfather|할아버지 댁|grandfather's house|할아버지와 할머니|grandfather and grandmother
지역3|region|서울 지역|Seoul region|농촌 지역|rural region
서로1|each other|서로 도와주다|to help each other|서로 사랑하다|to love each other
