Index|순위|단어|품사|풀이|등급
320|581|살04|의|한 ~|A
321|586|음악01|명|音樂|A
322|589|아프다|형||A
323|590|적다02|형|경험이 ~|A
324|592|비01|명|~가 내리다|A
325|593|고향02|명|故鄕|A
326|594|놀라다|동||A
327|596|울다01|동|울음을 ~|A
328|599|은행02|명|銀行|A
329|600|지내다01|동||A
330|601|결혼|명|結婚|A
331|602|동생01|명||A
332|605|예06|감||A
333|606|오후02|명|午後|A
334|613|빠르다|형||A
335|615|아기01|명||A
336|616|아저씨|명||A
337|617|옛날|명||A
338|620|달05|의||A
339|622|참01|부|참으로|A
340|624|이곳|대||A
341|625|딸01|명||A
342|626|마지막|명||A
343|628|병원02|명|病院|A
344|632|경찰04|명|警察|A
345|634|저녁|명||A
346|636|그러면|부||A
347|638|넓다|형||A
348|639|시험03|명|試驗|A
349|640|잠01|명||A
350|647|건강03|명|健康|A
351|648|가깝다|형||A
352|649|건물03|명|建物|A
353|651|외국02|명|外國|A
354|652|밑01|명||A
355|653|어른01|명||A
356|657|팔다|동||A
357|660|열심히|부|熱心-|A
358|661|일하다|동||A
359|663|조금01|명||A
360|664|팀01|명|team|A
361|665|부모01|명|父母|A
362|669|올라가다|동||A
363|672|그날|명||A
364|674|자주01|부||A
365|679|담배|명||A
366|682|할아버지|명||A
367|684|태어나다|동||A
368|686|벌써|부||A
369|689|환자03|명|患者|A
370|697|재미있다|형||A
371|698|가르치다01|동||A
372|699|대화06|명|對話|A
373|701|올해|명||A
374|702|형01|명|兄|A
375|708|모두01|명||A
376|716|걸다02|동|옷을 ~|A
377|718|멀다02|형|갈 길이 ~|A
378|719|버스02|명|bus|A
379|722|잠시|부|暫時|A
380|728|사진07|명|寫眞|A
381|733|제일04|명|第一|A
382|735|아마01|부||A
383|736|얘기하다|동||A
384|738|조금01|부||A
385|747|다리01|명|신체의 일부|A
386|748|아무01|관||A
387|754|항상|부|恒常|A
388|755|해01|명||A
389|756|잃다|동||A
390|760|비슷하다02|형||A
391|763|달러|의|dollar|A
392|764|사랑하다|동||A
393|766|여름01|명||A
394|776|싫다01|형||A
395|785|그러니까|부||A
396|788|값|명||A
397|794|언제나|부||A
398|796|자동차|명|自動車|A
399|799|개월|의|個月|A
400|802|어린이01|명||A
401|807|공부하다|동|工夫-|A
402|810|닦다01|동||A
403|812|말씀|명||A
404|813|괜찮다|형||A
405|814|눈물01|명||A
406|817|아니01|부||A
407|825|주인01|명|主人|A
408|830|드리다01|보|도와 ~|A
409|834|반07|명|半|A
410|840|귀01|명||A
411|843|미터02|의|meter|A
412|845|어떠하다|형||A
413|850|배01|명|신체의 일부|A
414|851|아파트|명|apartment|A
415|852|가끔|부||A
416|854|술06|의|밥 한 ~|A
417|856|짧다|형||A
418|857|고맙다01|형||A
419|860|그곳|대||A
420|862|보다02|부|한층 더|A
421|868|바쁘다|형||A
422|873|나쁘다01|형||A
423|877|게임|명|game|A
424|884|잔03|명|盞|A
425|888|있다01|동||A
426|891|언제01|부||A
427|894|내려오다|동||A
428|902|손님|명||A
429|908|아무01|대||A
430|914|뉴스|명|news|A
431|919|수업04|명|授業|A
432|920|겨울|명||A
433|922|층02|명|層|A
434|925|장22|의|張. 종이 한 ~|A
435|928|식사03|명|食事|A
436|929|안다01|동||A
437|931|잊다01|동||A
438|933|반11|명|班|A
439|940|텔레비전|명|television|A
440|947|씻다|동||A
441|949|늦다|형||A
442|952|편지02|명|便紙|A
443|956|센티미터|의|centimeter|A
444|957|팔01|명|신체의 일부|A
445|965|설명|명|說明|A
446|969|세13|의|歲|A
447|971|티브이|명|TV|A
448|972|봄01|명||A
449|974|낮다|형||A
450|975|어깨01|명||A
451|977|부부03|명|夫婦|A
452|978|오래02|부||A
453|984|여행02|명|旅行|A
454|988|공01|명|축구~|A
455|991|오월01|명|五月|A
456|992|쉬다03|동|편안히 ~|A
457|996|과10|명|課|A
458|1000|오빠|명||A
459|1002|즐겁다|형||A
460|1006|사월02|명|四月|A
461|1007|싸우다|동||A
462|1008|언제01|대||A
463|1009|예쁘다|형||A
464|1018|나중01|명||A
465|1020|맛있다|형||A
466|1021|며칠|명||A
467|1040|작년|명|昨年|A
468|1041|내려가다|동||A
469|1046|쓰레기|명||A
470|1055|고기01|명||A
471|1060|가져오다|동||A
472|1068|남녀|명|男女|A
473|1074|준비|명|準備|A
474|1076|구월02|명|九月|A
475|1077|맑다01|형||A
476|1080|유월01|명|六月|A
477|1082|허리01|명||A
478|1089|새03|명|날짐승|A
479|1090|영어02|명|英語|A
480|1096|대답하다|동|對答-|A
481|1104|벗다|동||A
482|1107|준비하다|동|準備-|A
483|1109|돕다|동||A
484|1115|달05|명||A
485|1116|사장15|명|社長|A
486|1117|삼월|명|三月|A
487|1120|그렇지만|부||A
488|1124|키01|명|신장|A
489|1129|걱정|명||A
490|1130|결혼하다|동|結婚-|A
491|1140|누나01|명||A
492|1144|질문|명|質問|A
493|1151|근처|명|近處|A
494|1160|부모님|명|父母-|A
495|1163|계시다|동||A
496|1164|그02|감||A
497|1168|마리01|의||A
498|1171|비행기|명|飛行機|A
499|1178|뜨겁다|형||A
500|1184|낮|명||A
501|1186|일찍|부||A
502|1188|찍다02|동|서류에 도장을 ~|A
503|1189|가볍다|형||A
504|1193|오전02|명|午前|A
505|1195|가게|명||A
506|1203|약속|명|約束|A
507|1204|인사02|명|人事|A
508|1221|소금01|명||A
509|1224|자전거|명|自轉車|A
510|1229|그래03|불|그리하여|A
511|1230|목01|명||A
512|1239|피우다01|동||A
513|1249|교통01|명|交通|A
514|1258|거리01|명|길~|A
515|1263|불다01|동|바람이 ~|A
516|1267|한글01|명||A
517|1268|가을01|명||A
518|1270|내일|명|來日|A
519|1272|매일|부|每日|A
520|1273|손가락|명||A
521|1289|급04|명|級|A
522|1291|날씨01|명||A
523|1294|동물|명|動物|A
524|1295|의사12|명|醫師|A
525|1297|건강하다02|형|健康-|A
526|1300|여러분|대||A
527|1301|왜냐하면|부||A
528|1304|네02|관||A
529|1305|도착하다01|동|到着-|A
530|1306|병04|명|病|A
531|1312|따뜻하다|형||A
532|1317|축구04|명|蹴球|A
533|1322|밝다|형||A
534|1325|장소05|명|場所|A
535|1334|적다01|동|답을 ~|A
536|1335|코01|명||A
537|1337|고등학교|명|高等學校|A
538|1339|교실|명|敎室|A
539|1346|별01|명||A
540|1347|복잡하다|형|複雜-|A
541|1358|색03|명|色|A
542|1376|똑같다|형||A
543|1381|말씀하다|동||A
544|1392|보통|명|普通|A
545|1393|식당|명|食堂|A
546|1401|소개하다01|동|紹介-|A
547|1404|칠월|명|七月|A
548|1410|십이월|명|十二月|A
549|1414|컵|명|cup|A
550|1423|종이01|명||A
551|1432|계시다|보||A
552|1439|재미01|명||A
553|1443|떡01|명||A
554|1452|끝내다|동||A
555|1453|대답|명|對答|A
556|1454|시작01|명|始作|A
557|1456|일주일|명|一週日|A
558|1458|춤01|명||A
559|1460|드리다01|동|인사를 ~|A
560|1471|깨끗하다|형||A
561|1483|물어보다|동||A
562|1484|미안하다|형|未安-|A
563|1486|스트레스|명|stress|A
564|1488|인사01|명|人士|A
565|1491|과일01|명||A
566|1505|눈04|명|~이 내리다|A
567|1509|시월01|명|十月|A
568|1517|박물관|명|博物館|A
569|1522|어서01|부||A
570|1527|팔월|명|八月|A
571|1530|가방01|명|~을 메다|A
572|1544|호14|의|號|A
573|1551|해01|의||A
574|1563|그릇01|명||A
575|1569|개03|명|동물|A
576|1571|라디오|명|radio|A
577|1581|방학|명|放學|A
578|1598|남쪽|명|南-|A
579|1603|색깔|명|色-|A
580|1604|요리05|명|料理|A
581|1605|유명하다01|형|有名-|A
582|1611|외국인|명|外國人|A
583|1619|부인01|명|夫人|A
584|1626|뛰다02|동|빨리 나아가다|A
585|1627|숙제03|명|宿題|A
586|1632|우산01|명|雨傘|A
587|1643|지난달|명||A
588|1653|책상01|명|冊床|A
589|1654|춥다|형||A
590|1660|둘째|수||A
591|1662|무겁다|형||A
592|1663|바람01|의|눈이 오는 ~에|A
593|1670|침대02|명|寢臺|A
594|1672|권01|의|卷|A
595|1677|시계01|명|時計|A
596|1680|잎01|명||A
597|1683|천천히|부||A
598|1689|스포츠|명|sports|A
599|1692|저기01|대||A
600|1708|교회02|명|敎會|A
601|1714|화06|명|~를 내다|A
602|1725|일월01|명|一月|A
603|1728|첫째|수||A
604|1732|도서관|명|圖書館|A
605|1741|선물03|명|膳物|A
606|1743|아주머니|명||A
607|1744|위험|명|危險|A
608|1745|지하|명|地下|A
609|1755|지하철|명|地下鐵|A
610|1781|사무실|명|事務室|A
611|1783|이월01|명|二月|A
612|1784|일요일|명|日曜日|A
613|1795|쓰다02|동|모자를 ~|A
614|1812|강01|명|江|A
615|1819|비싸다|형||A
616|1822|왼쪽|명||A
617|1824|택시|명|taxi|A
618|1844|시원하다|형||A
619|1846|어디01|감||A
620|1852|뛰다01|동|심장이 ~|A
621|1859|않다|동||A
622|1862|잡지|명|雜誌|A
623|1867|댁01|명|宅|A
624|1868|반갑다|형||A
625|1876|다녀오다|동||A
626|1882|비디오|명|video|A
627|1885|이쪽02|대||A
628|1896|연습03|명|練習|A
629|1897|오른쪽|명||A
630|1901|지도03|명|地圖|A
631|1904|화장실|명|化粧室|A
632|1933|주말02|명|週末|A
633|1941|내년|명|來年|A
634|1944|대학생|명|大學生|A
635|1959|닫다02|동||A
636|1963|생일02|명|生日|A
637|1970|걸어가다|동||A
638|1974|백화점|명|百貨店|A
639|1976|병05|명|甁|A
640|1978|안녕하다|형|安寧-|A
641|1982|출발하다|동|出發-|A
642|1987|고양이|명||A
643|1996|중학교|명|中學校|A
644|1999|흰색|명|-色|A
645|2000|가수11|명|歌手|A
646|2027|약07|명|藥|A
647|2031|저쪽|대||A
648|2033|창문|명|窓門|A
649|2065|우유02|명|牛乳|A
650|2090|표04|명|票|A
651|2099|십일월|명|十一月|A
652|2109|거울01|명||A
653|2130|빵01|명||A
654|2138|어제01|부||A
655|2141|위험하다|형|危險-|A
656|2145|졸업하다|동|卒業-|A
657|2159|부엌|명||A
658|2179|북쪽|명|北-|A
659|2181|쇠고기|명||A
660|2183|주26|명|週|A
661|2184|카드|명|card|A
662|2192|단어|명|單語|A
663|2194|도와주다|동||A
664|2199|신발|명||A
665|2207|김치01|명||A
666|2230|날다01|동||A
667|2236|설탕|명|雪糖|A
668|2240|싸다05|형|집값이 ~|A
669|2252|어제01|명|어저께|A
670|2256|점심|명|點心|A
671|2273|칼01|명|베는 도구|A
672|2284|슬프다|형||A
673|2292|의자03|명|椅子|A
674|2298|카메라|명|camera|A
675|2327|토요일|명|土曜日|A
676|2329|경찰관|명|警察官|A
677|2331|극장|명|劇場|A
678|2390|오랜만|명||A
679|2410|백05|관|百|A
680|2419|아줌마|명||A
681|2426|추다02|동|춤을 ~|A
682|2427|켜다01|동|성냥을 ~|A
683|2433|공항02|명|空港|A
684|2434|군인|명|軍人|A
685|2447|아니요|감||A
686|2457|치마01|명||A
687|2460|호텔|명|hotel|A
688|2465|깎다|동||A
689|2466|다리02|명|교량|A
690|2484|청소06|명|淸掃|A
691|2491|걱정하다|동||A
692|2493|구름01|명||A
693|2495|끄다01|동|불을 ~|A
694|2520|계절01|명|季節|A
695|2534|운동장|명|運動場|A
696|2569|동쪽|명|東-|A
697|2582|잠깐|명||A
698|2585|주26|의|週|A
699|2603|요즈음|명||A
700|2606|잃어버리다|동||A
701|2607|잠깐|부||A
702|2610|조용하다01|형||A
703|2614|한복|명|韓服|A
704|2623|라면01|명|&일ramen|A
705|2627|바지01|명||A
706|2636|싫어하다|동||A
707|2639|테이블|명|table|A
708|2641|피곤하다|형|疲困-|A
709|2642|한국어|명|韓國語|A
710|2643|한자02|명|漢字|A
711|2657|시06|명|市|A
712|2659|안경03|명|眼鏡|A
713|2660|약속하다|동|約束-|A
714|2671|취미04|명|趣味|A
715|2678|덥다01|형||A
716|2679|둘째|관||A
717|2688|야구02|명|野球|A
718|2692|이03|명|신체|A
719|2705|구경01|명||A
720|2706|그분|대||A
721|2715|신다|동||A
722|2724|죄송하다|형|罪悚-|A
723|2726|크다01|동||A
724|2736|그럼02|감||A
725|2771|셋|수||A
726|2803|생선|명|生鮮|A
727|2812|지우다01|동|낙서를 ~|A
728|2834|셋째|수||A
729|2845|졸업|명|卒業|A
730|2857|닭|명||A
731|2861|맥주|명|麥酒|A
732|2887|교과서|명|敎科書|A
733|2893|돼지|명||A
734|2899|수영02|명|水泳|A
735|2905|잊어버리다|동||A
736|2919|기차01|명|汽車|A
737|2932|식탁|명|食卓|A
738|2950|공원03|명|公園|A
739|2970|안되다01|동|공부가 ~|A
740|2994|날짜01|명||A
741|3005|샌드위치|명|sandwich|A
742|3027|그쪽|대||A
743|3052|차09|명|茶|A
744|3064|검은색|명|-色|A
745|3081|여보세요|감||A
746|3090|천03|관|千|A
747|3102|거01|대|것|A
748|3152|서쪽|명|西-|A
749|3214|경찰서|명|警察署|A
750|3217|구두01|명||A
751|3237|사과05|명|沙果|A
752|3287|여학생|명|女學生|A
753|3311|냉장고|명|冷藏庫|A
754|3343|감기04|명|感氣|A
755|3389|결혼식|명|結婚式|A
756|3398|노래하다|동||A
757|3520|내일|부|來日|A
758|3630|늦다|동||A
759|3703|연필|명|鉛筆|A
760|3707|운전02|명|運轉|A
761|3743|몇|수||A
762|3754|불고기|명||A
763|3808|목욕|명|沐浴|A
764|3836|전화번호|명|電話番號|A
765|3847|감사하다05|형|感謝-|A
766|3865|만06|관|萬|A
767|3888|지갑03|명|紙匣|A
768|3894|친절하다|형|親切-|A
769|3924|먹다02|보|잊어 ~|A
770|3927|못하다|형||A
771|4015|저거01|대||A
772|4041|걸어오다01|동|집까지 ~|A
773|4059|모자08|명|帽子|A
774|4073|소파06|명|sofa|A
775|4078|스무|관||A
776|4087|역14|명|驛|A
777|4096|인사하다|동|人事-|A
778|4142|여권02|명|旅券|A
779|4143|열쇠|명||A
780|4145|오렌지|명|orange|A
781|4266|다03|명||A
782|4276|번호02|명|番號|A
783|4304|저것|대||A
784|4353|수박01|명|과일|A
785|4386|첫째|관||A
786|4402|과자02|명|菓子|A
787|4416|대학교|명|大學校|A
788|4418|돼지고기|명||A
789|4444|안녕히|부|安寧-|A
790|4461|전화하다02|동|電話-|A
791|4527|수건|명|手巾|A
792|4535|양복01|명|洋服|A
793|4547|잠자다|동||A
794|4550|젓가락|명||A
795|4572|피아노01|명|piano|A
796|4656|축하하다|동|祝賀-|A
797|4776|기숙사|명|寄宿舍|A
798|4802|산책|명|散策|A
799|4822|운동하다|동|運動-|A
800|4823|월요일|명|月曜日|A
801|4836|주소01|명|住所|A
802|4849|파티|명|party|A
803|4881|달다07|형|맛|A
804|4946|청소하다03|동|淸掃-|A
805|4966|감사하다05|동|感謝-|A
806|4996|등산|명|登山|A
807|5002|메뉴|명|menu|A
808|5023|셋째|관||A
809|5040|외국어|명|外國語|A
810|5048|자장면|명|&중Zhajiangmian|A
811|5053|중학생|명|中學生|A
812|5070|휴일|명|休日|A
813|5088|달력|명|-曆|A
814|5121|소풍02|명|逍風|A
815|5154|춤추다|동||A
816|5157|테니스|명|tennis|A
817|5179|공책01|명|空冊|A
818|5201|똑바로|부||A
819|5215|배03|명|열매|A
820|5229|서점03|명|書店|A
821|5248|양말01|명|洋襪|A
822|5293|초대하다02|동|招待-|A
823|5382|연습하다03|동|練習-|A
824|5452|경치02|명|景致|A
825|5491|발음01|명|發音|A
826|5538|재미없다|형||A
827|5553|주스|명|juice|A
828|5567|콜라|명|cola|A
829|5594|남학생|명|男學生|A
830|5777|식사하다02|동|食事-|A
831|5791|우체국|명|郵遞局|A
832|5860|고프다|형||A
833|5883|대사관|명|大使館|A
834|5905|배고프다|형||A
835|5923|삼06|수|三|A
836|5949|여행하다01|동|旅行-|A
837|5966|정류장|명|停留場|A
838|6050|맵다|형||A
839|6102|여동생|명|女同生|A
840|6108|오래간만|명||A
841|6132|점심시간|명|點心時間|A
842|6169|휴지02|명|休紙|A
843|6198|넷째|수||A
844|6321|태권도|명|跆拳道|A
845|6340|햄버거|명|hamburger|A
846|6352|감사08|명|感謝|A
847|6447|슈퍼마켓|명|supermarket|A
848|6608|비누|명||A
849|6621|세수04|명|洗手|A
850|6693|찌개01|명||A
851|6766|넥타이|명|necktie|A
852|6784|매일|명|每日|A
853|6854|월02|의|月|A
854|6878|잡수시다|동||A
855|6930|한국말|명|韓國-|A
856|6951|계란|명|鷄卵|A
857|6980|넷01|수||A
858|7071|에어컨|명|air conditioner|A
859|7129|초대06|명|招待|A
860|7270|사전22|명|辭典|A
861|7291|실례01|명|失禮|A
862|7294|안녕|감|安寧|A
863|7298|약국02|명|藥局|A
864|7371|지난주|명|-週|A
865|7438|간호사|명|看護師|A
866|7445|고등학생|명|高等學生|A
867|7476|다섯|수||A
868|7478|닭고기|명||A
869|7561|숟가락|명||A
870|7586|요일|명|曜日|A
871|7600|일05|수|一|A
872|7608|저04|대|멀리 있는 대상|A
873|7634|질문하다|동|質問-|A
874|7649|치약|명|齒藥|A
875|7714|금요일|명|金曜日|A
876|7720|김밥|명||A
877|7773|바나나|명|banana|A
878|7818|수요일|명|水曜日|A
879|7864|운전하다|동|運轉-|A
880|8031|노트02|명|note|A
881|8053|딸기|명||A
882|8235|초콜릿|명|chocolate|A
883|8264|피자|명|&이pizza|A
884|8329|노란색|명|-色|A
885|8336|달러|명|dollar|A
886|8359|만06|수|萬|A
887|8505|이분01|대||A
888|8589|칫솔|명|齒-|A
889|8603|포도06|명|葡萄|A
890|8672|공중전화|명|公衆電話|A
891|8757|배부르다|형||A
892|8795|샤워|명|shower|A
893|8809|세탁기|명|洗濯機|A
894|9061|그래서|불|그리하여서|A
895|9077|남동생|명|男-|A
896|9103|도착01|명|到着|A
897|9202|쇼핑|명|shopping|A
898|9214|스키|명|ski|A
899|9266|열03|수||A
900|9285|운동화|명|運動靴|A
901|9356|짜다03|형|음식이 ~|A
902|9369|초등학교|명|初等學校|A
903|9466|공휴일|명|公休日|A
904|9548|마흔|수||A
905|9583|볼펜02|명|ball pen|A
906|9605|빨간색|명|-色|A
907|9733|이09|수|二|A
908|10126|스물|수||A
909|10274|청바지|명|靑-|A
910|10334|핸드폰|명|hand phone|A
911|10353|휴지통|명|休紙桶|A
912|10452|넷째|관||A
913|10833|칠판|명|漆板|A
914|10839|크리스마스|명|Christmas|A
915|10999|구01|수|九|A
916|11099|목요일|명|木曜日|A
917|11421|지우개|명||A
918|11837|사11|수|四|A
919|11896|수영장|명|水泳場|A
920|12030|일본어|명|日本語|A
921|12246|갈비01|명||A
922|12580|서른|수||A
923|12669|아홉|수||A
924|12818|장미05|명|薔薇|A
925|12965|파란색|명|-色|A
926|13192|냉면|명|冷麵|A
927|13411|비빔밥|명||A
928|13584|여든|수||A
929|13695|일흔|수||A
930|13987|화요일|명|火曜日|A
931|14518|선물하다|동|膳物-|A
932|14611|아이스크림|명|ice-cream|A
933|14695|요리하다02|동|料理-|A
934|14947|칠01|수|七|A
935|15360|다섯째|수||A
936|15475|맛없다|형||A
937|15575|백05|수|百|A
938|15648|사십|수|四十|A
