Index|Word|Definition|Frequency|Example|Translation|Word In Sentence Form
W210067|너희|you|8|너희들 뭐 해?|What are you guys doing?|너희들
W210068|다니다|to attend or go|8|대학교에 다녀요.|I attend university.|다녀요
W210069|거실|living room|8|거실에서 쉬고 있어요.|I'm resting in the living room.|거실
W210070|보내다|to spend time|8|주말을 집에서 보냈어요.|I spent the weekend at home.|보냈어요
W210071|간장|soy sauce|8|간장을 조금 넣으세요.|Please add a little soy sauce.|간장
W210072|곧|soon|8|곧 도착할 거예요.|I'll arrive soon.|곧
W210073|식탁|table|8|식탁을 정리했어요.|I cleaned the table.|식탁
W210074|잃어버리다|to lose|8|열쇠를 잃어버렸어요.|I lost my keys.|잃어버렸어요
W210075|쓰레기|trash|8|쓰레기를 버려 주세요.|Please throw away the trash.|쓰레기
W210076|들어주다|to do (a favor)|8|부탁을 들어줄게요.|I'll do you a favor.|들어줄게요
W210077|생수|spring water|8|생수를 마셔 봤어요.|I tried drinking spring water.|생수
W210078|선배|upperclassman or senior|8|선배님께 인사했어요.|I greeted my senior.|선배님께
W210079|관심|interest|8|한국 문화에 관심이 있어요.|I'm interested in Korean culture.|관심
W210080|기대하다|to anticipate|8|내일이 기대돼요.|I'm looking forward to tomorrow.|기대돼요
W210081|끓이다|to boil|8|물을 끓이고 있어요.|I'm boiling water.|끓이고
W210082|벗다|to take off|8|신발을 벗어 주세요.|Please take off your shoes.|벗어
W210083|어리다|to be young|8|아직 어려서 모르겠어요.|I don't know because I'm still young.|어려서
W210084|어울리다|to fit|8|그 색깔이 잘 어울려요.|That color suits you well.|어울려요
W210085|이불|blanket|8|이불을 덮고 자세요.|Sleep with the blanket on.|이불
W210086|들다|to join|8|동아리에 들었어요.|I joined a club.|들었어요
W210087|북쪽|North|8|북쪽으로 가세요.|Please go north.|북쪽
W210088|오래되다|to be a long time|8|집이 오래됐어요.|The house is old.|오래됐어요
W210089|위치|where|8|위치를 알려 주세요.|Please tell me the location.|위치
W210090|욕실|bathroom|8|욕실을 청소했어요.|I cleaned the bathroom.|욕실
W210091|택배|package|8|택배가 왔어요.|A package came.|택배
W210092|후|after|8|식사 후에 만나요.|Let's meet after the meal.|후
W210093|제품|product|8|새 제품이 나왔어요.|A new product came out.|제품
W210094|저|excuse me|8|저, 실례합니다.|Excuse me.|저
W210095|강아지|puppy|8|강아지가 귀여워요.|The puppy is cute.|강아지
W210096|정리하다|to arrange or organize|8|방을 정리해야겠어요.|I should organize my room.|정리해야겠어요
W210097|반찬|side dish|8|반찬이 맛있어요.|The side dishes are delicious.|반찬
W210098|냄새|smell or odor|8|좋은 냄새가 나요.|It smells good.|냄새
W210099|기대|anticipation or expectation|8|기대가 커요.|My expectations are high.|기대
W210100|전혀|entirely or not at all|8|전혀 모르겠어요.|I don't know at all.|전혀
W210101|갑자기|suddenly or unexpectedly|8|갑자기 비가 왔어요.|It suddenly rained.|갑자기
W210102|부탁을 하다|to ask a favor or make a request|8|부탁을 하고 싶어요.|I want to ask a favor.|부탁을
W210103|벽|wall|8|벽에 그림을 걸었어요.|I hung a picture on the wall.|벽
W210104|스트레스|stress|8|스트레스를 받고 있어요.|I'm under stress.|스트레스
W210105|꺼내다|to take out|8|가방에서 책을 꺼냈어요.|I took a book out of my bag.|꺼냈어요
W210106|미리|in advance|8|미리 준비해 주세요.|Please prepare in advance.|미리
W210107|파|green onion|8|파를 썰어 주세요.|Please cut the green onion.|파
W210108|저기|excuse me|8|저기, 질문이 있어요.|Excuse me, I have a question.|저기
W210109|저기요|excuse me|8|저기요, 도와주세요.|Excuse me, please help me.|저기요
W210110|즐겁다|to be fun or be happy|8|파티가 즐거웠어요.|The party was fun.|즐거웠어요
W210111|드디어|finally|8|드디어 끝났어요.|It's finally finished.|드디어
W210112|씹다|to chew|8|천천히 씹어서 드세요.|Please chew slowly.|씹어서
W210113|소개|introduction|8|자기소개를 해 주세요.|Please introduce yourself.|소개
W210114|다녀오다|to go and return|8|여행을 다녀왔어요.|I went on a trip and came back.|다녀왔어요
W210115|초대하다|to invite|8|파티에 초대했어요.|I invited you to the party.|초대했어요
W210116|섞다|to mix or blend|8|재료를 잘 섞으세요.|Please mix the ingredients well.|섞으세요
W210117|여러분|all of you; ladies and gentlemen|8|여러분 안녕하세요.|Hello everyone.|여러분
W210118|걸다|to hang|8|옷을 걸어 놨어요.|I hung up the clothes.|걸어
W210119|제목|title|8|책 제목이 뭐예요?|What's the book title?|제목
W210120|분위기|atmosphere|8|분위기가 좋네요.|The atmosphere is nice.|분위기
W210121|생기다|to come into being or happen|8|문제가 생겼어요.|A problem arose.|생겼어요
W210122|이모|aunt on the mother's side|8|이모를 만났어요.|I met my aunt.|이모
W210123|자|okay|8|자, 시작해 볼까요?|Okay, shall we start?|자
W210124|편리하다|to be convenient|8|지하철이 편리해요.|The subway is convenient.|편리해요
W210125|퇴근하다|to leave one's office or get off from work|8|몇 시에 퇴근하세요?|What time do you get off work?|퇴근하세요
W210126|비슷하다|to be similar|8|취미가 비슷해요.|Our hobbies are similar.|비슷해요
W210127|특히|especially|8|특히 김치를 좋아해요.|I especially like kimchi.|특히
W210128|메뉴|menu|8|메뉴를 보여 주세요.|Please show me the menu.|메뉴
W210129|양파|onion|8|양파를 썰고 있어요.|I'm cutting onions.|양파
W210130|실수|mistake|8|실수를 했어요.|I made a mistake.|실수
W210131|의미|meaning|8|의미를 모르겠어요.|I don't understand the meaning.|의미
W210132|앞으로|in the future|8|앞으로 열심히 할게요.|I'll work hard in the future.|앞으로
W210133|현관|entrance|8|현관에서 기다리세요.|Please wait at the entrance.|현관
W210134|글|text|8|글을 잘 쓰네요.|You write well.|글
W210135|밝다|to be bright|8|방이 밝아요.|The room is bright.|밝아요
W210136|모으다|to gather|8|친구들을 모았어요.|I gathered my friends.|모았어요
W210137|달걀|egg|8|달걀을 삶았어요.|I boiled eggs.|달걀
W210138|수건|towel|8|수건을 가져다 주세요.|Please bring me a towel.|수건
W210139|똑똑하다|to be smart|8|아이가 똑똑해요.|The child is smart.|똑똑해요
W210140|문화|culture|8|한국 문화를 배우고 있어요.|I'm learning Korean culture.|문화
W210141|모양|appearance or form|8|모양이 예뻐요.|The shape is pretty.|모양
W210142|휴지|toilet paper or tissue|8|휴지를 사야겠어요.|I should buy toilet paper.|휴지
W210143|직접|directly or personally|8|직접 만들었어요.|I made it myself.|직접
W210144|저희|we|8|저희가 도와드릴게요.|We will help you.|저희
W210145|급하다|to be urgent|8|급한 일이 있어요.|I have an urgent matter.|급한
W210146|비교하다|to compare|8|두 제품을 비교해 봤어요.|I compared two products.|비교해
W210147|돼지고기|pork|8|돼지고기를 구웠어요.|I grilled pork.|돼지고기
W210148|모습|appearance|8|예쁜 모습이에요.|It's a pretty appearance.|모습
W210149|모이다|to gather|8|친구들이 모였어요.|Friends gathered.|모였어요
W210150|연습|practice|8|연습을 많이 해야겠어요.|I should practice a lot.|연습
W210151|첫째|first|8|첫째로 인사하겠습니다.|First, I'll greet you.|첫째로
W210152|첫|first|8|첫 인상이 좋았어요.|The first impression was good.|첫
W210153|열심히|diligently|8|열심히 공부하고 있어요.|I'm studying diligently.|열심히
W210154|깎다|to cut|8|머리를 깎았어요.|I got a haircut.|깎았어요
W210155|착하다|to be good-natured or nice|8|성격이 착해요.|He has a nice personality.|착해요
W210156|설탕|sugar|8|설탕을 넣어 주세요.|Please add sugar.|설탕
W210157|싸다|to pack|8|도시락을 쌌어요.|I packed a lunch.|쌌어요
W210158|마트|market|8|마트에서 장을 봤어요.|I went grocery shopping at the mart.|마트
W210159|올리다|to place on top of something|8|접시에 음식을 올렸어요.|I put food on the plate.|올렸어요
W210160|앱|application (app)|8|새 앱을 깔았어요.|I downloaded a new app.|앱
W210161|적다|to write|8|메모를 적었어요.|I wrote a memo.|적었어요
W210162|사귀다|to make friends|8|새 친구를 사귀었어요.|I made a new friend.|사귀었어요
W210163|축하|celebration or congratulations|8|생일 축하해요!|Happy birthday!|축하해요
W210164|냄비|pot|8|냄비에 물을 끓이세요.|Boil water in the pot.|냄비
W210165|발표|presentation|8|내일 발표가 있어요.|I have a presentation tomorrow.|발표
W210166|일주일|one week|8|일주일 동안 여행했어요.|I traveled for one week.|일주일
W210167|감자|potato|8|감자를 삶고 있어요.|I'm boiling potatoes.|감자
W210168|잡다|to grasp or catch|8|버스를 잡았어요.|I caught the bus.|잡았어요
W210169|종류|variety or kind|8|여러 종류가 있어요.|There are various kinds.|종류
W210170|신선하다|to be fresh|8|야채가 신선해요.|The vegetables are fresh.|신선해요
W210171|자연|nature|8|자연이 아름다워요.|Nature is beautiful.|자연
W210172|면|noodles|8|면을 삶았어요.|I boiled noodles.|면
W210173|벌써|already|8|벌써 끝났어요?|Is it already finished?|벌써
W210174|중에서|from among|8|이 중에서 골라 주세요.|Please choose from these.|중에서
W210175|유명하다|to be famous|8|유명한 가수예요.|He's a famous singer.|유명한
W210176|별로|not much|8|별로 맛있지 않아요.|It's not very delicious.|별로
W210177|방문하다|to visit|8|친구 집을 방문했어요.|I visited my friend's house.|방문했어요
W210178|아침밥|breakfast|8|아침밥을 먹었어요.|I ate breakfast.|아침밥
W210179|기쁘다|to be joyful|8|소식을 듣고 기뻤어요.|I was happy to hear the news.|기뻤어요
W210180|부탁|request or favor|8|부탁이 하나 있어요.|I have one favor to ask.|부탁
W210181|닭고기|chicken|8|닭고기를 볶았어요.|I stir-fried chicken.|닭고기
W210182|부탁하다|to ask a favor or make a request|8|도움을 부탁했어요.|I asked for help.|부탁했어요
W210183|특별하다|to be special|8|특별한 날이에요.|It's a special day.|특별한
W210184|설명|explanation|8|설명을 들었어요.|I heard the explanation.|설명
W210185|씻다|to wash or cleanse|8|손을 씻어 주세요.|Please wash your hands.|씻어
W210186|상품|merchandise or goods|8|새 상품이 나왔어요.|New products came out.|상품
W210187|마늘|garlic|8|마늘을 다졌어요.|I minced garlic.|마늘
W210188|음료|drink|8|시원한 음료를 마셨어요.|I drank a cold beverage.|음료
W210189|담다|to put in|8|그릇에 음식을 담았어요.|I put food in the bowl.|담았어요
W210190|따로|separately|8|따로 만나요.|Let's meet separately.|따로
W210191|세|age or years|8|나이가 몇 세예요?|How old are you?|세
W210192|동네|neighborhood|8|우리 동네가 조용해요.|Our neighborhood is quiet.|동네
W210193|마음에 들다|to like|8|새 집이 마음에 들어요.|I like the new house.|마음에
W210194|귀엽다|to be cute|8|아기가 귀여워요.|The baby is cute.|귀여워요
W210195|세 번째|third|8|세 번째 시도예요.|It's the third attempt.|세
W210196|이사하다|to move|8|다음 달에 이사해요.|I'm moving next month.|이사해요
W210197|둘째|second|8|둘째로 말씀드리겠습니다.|Second, I'll tell you.|둘째로
W210198|지내다|to spend one's time|8|어떻게 지내세요?|How are you doing?|지내세요
W210199|빌려주다|to lend|8|책을 빌려줄게요.|I'll lend you a book.|빌려줄게요
W210200|끓다|to boil|8|물이 끓고 있어요.|Water is boiling.|끓고
W210201|선택하다|to choose|8|메뉴를 선택해 주세요.|Please choose a menu.|선택해
W210202|뛰다|to run or jump|8|공원에서 뛰었어요.|I ran in the park.|뛰었어요
W210203|볶다|to fry or roast|8|야채를 볶았어요.|I stir-fried vegetables.|볶았어요
W210204|빌딩|building|8|높은 빌딩이 많아요.|There are many tall buildings.|빌딩
W210205|모임|meeting or gathering|8|친구 모임이 있어요.|I have a friend gathering.|모임
W210206|어둡다|to be dark|8|밤이 어두워요.|The night is dark.|어두워요
W210207|세상|world|8|세상이 넓어요.|The world is wide.|세상
W210208|지키다|to keep|8|약속을 지켜 주세요.|Please keep your promise.|지켜
W210209|성격|personality|8|성격이 좋아요.|He has a good personality.|성격
W210210|새로|newly|8|새로 이사왔어요.|I moved here recently.|새로
W210211|찍다|to dip|8|소스에 찍어서 드세요.|Please dip it in the sauce.|찍어서
W210212|쌀|rice|8|쌀을 씻었어요.|I washed the rice.|쌀
W210213|화가 나다|to be angry|8|친구한테 화가 났어요.|I got angry at my friend.|화가
W210214|만지다|to touch|8|뜨거우니까 만지지 마세요.|Don't touch it because it's hot.|만지지
W210215|점|point|8|좋은 점이 많아요.|There are many good points.|점
W210216|어깨|shoulder|8|어깨가 아파요.|My shoulder hurts.|어깨
W210217|안경|glasses|8|안경을 썼어요.|I wore glasses.|안경
W210218|손님|customer|8|손님이 오셨어요.|A customer came.|손님
W210219|셋째|third|8|셋째 아이예요.|It's the third child.|셋째
W210220|주변|the surroundings|8|주변이 조용해요.|The surroundings are quiet.|주변
W210221|빌려주다|to borrow|8|돈을 빌려줄게요.|I'll lend you money.|빌려줄게요
W210222|저|well|8|저... 질문이 있어요.|Well... I have a question.|저
W210223|국|soup or broth|8|국이 맛있어요.|The soup is delicious.|국
W210224|채소|vegetables|8|채소를 많이 드세요.|Please eat lots of vegetables.|채소
W210225|잊어버리다|to forget|8|이름을 잊어버렸어요.|I forgot the name.|잊어버렸어요
W210226|에어컨|air conditioner|8|에어컨을 켰어요.|I turned on the air conditioner.|에어컨
W210227|별로|not really|8|별로 재미없어요.|It's not really fun.|별로
W210228|다들|everyone|8|다들 안녕하세요.|Hello everyone.|다들
W210229|건물|building|8|새 건물이 예뻐요.|The new building is pretty.|건물
W210230|끼다|to put on|8|반지를 끼고 있어요.|I'm wearing a ring.|끼고
W210231|색깔|color|8|무슨 색깔을 좋아해요?|What color do you like?|색깔
W210232|흰색|white|8|흰색 옷을 입었어요.|I wore white clothes.|흰색
W210233|알아보다|to search or look into|8|가격을 알아봤어요.|I looked into the price.|알아봤어요
W210234|별|star|8|별이 많이 보여요.|Many stars are visible.|별
W210235|찾아보다|to search or look into|8|정보를 찾아봤어요.|I looked up information.|찾아봤어요
W210236|빨갛다|to be red|8|사과가 빨개요.|The apple is red.|빨개요
W210237|두 번째|second|8|두 번째 기회예요.|It's the second chance.|두
W210238|당근|carrot|8|당근을 썰었어요.|I cut carrots.|당근
W210239|접시|plate|8|접시를 씻었어요.|I washed the plates.|접시
W210240|삶다|to boil|8|계란을 삶았어요.|I boiled eggs.|삶았어요
W210241|걱정하다|to worry|8|너무 걱정하지 마세요.|Don't worry too much.|걱정하지
W210242|기름|oil|8|기름을 조금 넣으세요.|Please add a little oil.|기름
W210243|버섯|mushroom|8|버섯을 볶았어요.|I stir-fried mushrooms.|버섯
W210244|짐|goods or luggage|8|짐을 쌌어요.|I packed my luggage.|짐
W210245|상품|products|8|좋은 상품이 많아요.|There are many good products.|상품
W210246|잊다|to forget|8|약속을 잊었어요.|I forgot the appointment.|잊었어요
W210247|급하다|to be in a hurry|8|급해서 뛰어왔어요.|I ran because I was in a hurry.|급해서
W210248|설명하다|to explain|8|자세히 설명해 주세요.|Please explain in detail.|설명해
W210249|재료|ingredient|8|요리 재료를 샀어요.|I bought cooking ingredients.|재료
W210250|소고기|beef|8|소고기를 구웠어요.|I grilled beef.|소고기
W210251|그대로|as it is|8|그대로 두세요.|Leave it as it is.|그대로
W210252|선배|senior or upperclassman|8|선배님이 도와주셨어요.|My senior helped me.|선배님
W210253|저렇다|to be like that|8|저렇게 하면 안 돼요.|You shouldn't do it like that.|저렇게
W210254|무릎|knee|8|무릎이 아파요.|My knee hurts.|무릎
W210255|라면|ramen|8|라면을 끓였어요.|I cooked ramen.|라면
W210256|위치|position|8|좋은 위치에 있어요.|It's in a good position.|위치
W210257|졸업하다|to graduate|8|대학교를 졸업했어요.|I graduated from university.|졸업했어요
W210258|월급|salary or paycheck|8|월급을 받았어요.|I received my salary.|월급
W210259|목소리|voice|8|목소리가 좋아요.|You have a nice voice.|목소리
W210260|사이|between|8|우리 사이가 좋아요.|We have a good relationship.|사이
W210261|목이 마르다|to be thirsty|8|목이 말라서 물을 마셨어요.|I drank water because I was thirsty.|목이
W210262|뿌리다|to sprinkle|7|소금을 뿌렸어요.|I sprinkled salt.|뿌렸어요
W210263|자세히|in detail|7|자세히 설명해 주세요.|Please explain in detail.|자세히
W210264|파랗다|to be blue|7|하늘이 파래요.|The sky is blue.|파래요
W210265|푸르다|to be blue (nature)|7|바다가 푸르러요.|The sea is blue.|푸르러요
W210266|김치볶음밥|kimchi fried rice|7|김치볶음밥을 만들었어요.|I made kimchi fried rice.|김치볶음밥
W210267|베란다|veranda|7|베란다에서 쉬고 있어요.|I'm resting on the veranda.|베란다
W210268|비누|soap|7|비누로 손을 씻으세요.|Please wash your hands with soap.|비누
W210269|성함|name|7|성함이 어떻게 되세요?|What is your name?|성함
W210270|안내하다|to guide|7|길을 안내해 드릴게요.|I'll guide you the way.|안내해
W210271|비비다|to mix|7|비빔밥을 비벼서 드세요.|Please mix and eat the bibimbap.|비벼서
W210272|부탁이 있다|to have a request|7|부탁이 하나 있어요.|I have one request.|부탁이
W210273|볶음밥|fried rice|7|볶음밥이 맛있어요.|The fried rice is delicious.|볶음밥
W210274|지루하다|to be boring or tedious|7|영화가 지루했어요.|The movie was boring.|지루했어요
W210275|취소|cancellation|7|예약을 취소했어요.|I cancelled the reservation.|취소
W210276|만두|steamed bun or dumpling|7|만두를 쪘어요.|I steamed dumplings.|만두
W210277|넘다|to go over or exceed|7|시간이 넘었어요.|Time is over.|넘었어요
W210278|찬물|cold water|7|찬물을 마셨어요.|I drank cold water.|찬물
W210279|경치|scenery|7|경치가 아름다워요.|The scenery is beautiful.|경치
W210280|덮다|to put|7|뚜껑을 덮으세요.|Please put on the lid.|덮으세요
W210281|싱싱하다|to be fresh|7|생선이 싱싱해요.|The fish is fresh.|싱싱해요
W210282|갈색|brown|7|갈색 가방을 샀어요.|I bought a brown bag.|갈색
W210283|메다|to carry|7|가방을 메고 가세요.|Please carry the bag.|메고
W210284|까맣다|to be black|7|머리가 까매요.|The hair is black.|까매요
W210285|글쎄요|well let me see|7|글쎄요, 잘 모르겠어요.|Well, I'm not sure.|글쎄요
W210286|조카|niece|7|조카가 놀러 왔어요.|My niece came to visit.|조카
W210287|연예인|entertainer|7|유명한 연예인을 만났어요.|I met a famous entertainer.|연예인
W210288|육수|meat stock|7|육수를 끓이고 있어요.|I'm boiling meat stock.|육수
W210289|갈아입다|to change clothes|7|옷을 갈아입었어요.|I changed clothes.|갈아입었어요
W210290|안경을 끼다|to wear glasses|7|안경을 끼고 책을 읽어요.|I wear glasses and read books.|안경을
W210291|해산물|seafood|7|해산물을 좋아해요.|I like seafood.|해산물
W210292|부장|head of a department or director|7|부장님께 보고했어요.|I reported to the director.|부장님께
W210293|뵙다|to meet (honorific form)|7|선생님을 뵈었어요.|I met the teacher.|뵈었어요
W210294|미역|seaweed|7|미역국을 끓였어요.|I made seaweed soup.|미역
W210295|부치다|to fry or griddle|7|전을 부쳤어요.|I made pancakes.|부쳤어요
W210296|쓰레기통|trash can|7|쓰레기통에 버려 주세요.|Please throw it in the trash can.|쓰레기통
W210297|고모|aunt on the father's side|7|고모를 만났어요.|I met my aunt.|고모
W210298|치약|toothpaste|7|치약을 샀어요.|I bought toothpaste.|치약
W210299|메모|memo|7|메모를 적었어요.|I wrote a memo.|메모
W210300|페스티벌|festival|7|음악 페스티벌에 갔어요.|I went to a music festival.|페스티벌
W210301|멋있다|to be good-looking|7|정말 멋있어요.|You're really cool.|멋있어요
W210302|매장|store|7|새 매장이 열렸어요.|A new store opened.|매장
W210303|실례하다|excuse me|7|실례합니다만 질문이 있어요.|Excuse me, but I have a question.|실례합니다만
W210304|프라이팬|fry pan|7|프라이팬에 달걀을 볶았어요.|I scrambled eggs in the fry pan.|프라이팬
W210305|찌다|to steam|7|만두를 찔게요.|I'll steam the dumplings.|찔게요
W210306|불편하다|to be inconvenient or uncomfortable|7|의자가 불편해요.|The chair is uncomfortable.|불편해요
W210307|프라이드치킨|fried chicken|7|프라이드치킨을 주문했어요.|I ordered fried chicken.|프라이드치킨
W210308|엘리베이터|elevator|7|엘리베이터를 탔어요.|I took the elevator.|엘리베이터
W210309|간|saltiness|7|간이 맞나요?|Is the saltiness right?|간
W210310|동창|schoolmate|7|옛 동창을 만났어요.|I met an old schoolmate.|동창
W210311|친척|relative|7|친척들이 모였어요.|Relatives gathered.|친척들
W210312|토마토|tomato|7|토마토를 썰었어요.|I sliced tomatoes.|토마토
W210313|디자인|design|7|디자인이 예뻐요.|The design is pretty.|디자인
W210314|특별히|especially|7|특별히 좋아하는 음식이에요.|It's food I especially like.|특별히
W210315|세째|third|7|세째 줄에 앉으세요.|Please sit in the third row.|세째
W210316|샌들|sandals|7|여름에 샌들을 신어요.|I wear sandals in summer.|샌들
W210317|학기|semester|7|새 학기가 시작됐어요.|The new semester started.|학기
W210318|외할머니|grandmother of one's mother's side|7|외할머니 댁에 갔어요.|I went to my maternal grandmother's house.|외할머니
W210319|트럭|truck|7|트럭이 지나갔어요.|A truck passed by.|트럭
W210320|일기|journal|7|매일 일기를 써요.|I write a diary every day.|일기
W210321|계약하다|to make a contract|7|아파트 계약을 했어요.|I made an apartment contract.|계약을
W210322|인터넷 쇼핑|internet shopping|7|인터넷 쇼핑을 했어요.|I did internet shopping.|인터넷
W210323|그리다|to miss or long for|7|고향이 그리워요.|I miss my hometown.|그리워요
W210324|내내|(all) through or throughout|7|하루 내내 비가 왔어요.|It rained all day long.|내내
W210325|졸다|to doze|7|수업 시간에 졸았어요.|I dozed during class.|졸았어요
W210326|연휴|consecutive holidays|7|연휴에 여행을 갈 거예요.|I'll travel during the consecutive holidays.|연휴
W210327|도시락|packed lunch|7|도시락을 싸 왔어요.|I brought a packed lunch.|도시락
W210328|튀기다|to deep fry|7|치킨을 튀겼어요.|I deep-fried chicken.|튀겼어요
W210329|그만두다|to quit|7|회사를 그만뒀어요.|I quit the company.|그만뒀어요
W210330|앨범|album|7|새 앨범이 나왔어요.|A new album came out.|앨범
W210331|허리|waist|7|허리가 아파요.|My waist hurts.|허리
W210332|식초|vinegar|7|식초를 넣어 주세요.|Please add vinegar.|식초
W210333|노랗다|to be yellow|7|바나나가 노래요.|The banana is yellow.|노래요
W210334|베스트|best|7|베스트를 입었어요.|I wore a vest.|베스트
W210335|그립다|to miss or long for|7|친구가 그리워요.|I miss my friend.|그리워요
W210336|에스엔에스|social networking service (SNS)|7|에스엔에스에 사진을 올렸어요.|I posted a photo on SNS.|에스엔에스
W210337|썰다|to cut or chop|7|야채를 썰었어요.|I chopped vegetables.|썰었어요
W210338|부럽다|to be envious|7|친구가 부러워요.|I envy my friend.|부러워요
W210339|무료|free of charge|7|무료로 받았어요.|I got it for free.|무료
W210340|사이즈|size|7|사이즈가 작아요.|The size is small.|사이즈
W210341|및|and|7|과일 및 야채를 샀어요.|I bought fruits and vegetables.|및
