Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 문법 20과 2항 3단어|오르다|올라|오릅니다|오른다|오르면|to go up|350|계단을 오르다가 숨이 찼어요.|I got out of breath while going up the stairs.
2급 읽이 7과 1항 16단어|모양|||||Appearance, form or shape|358|구름의 모양이 동물 같아 보여요.|The shape of the clouds looks like animals.
2급 읽이 9과 1항 3단어|선배|||||upperclassman or senior|359|대학교 선배에게 조언을 구했어요.|I asked my university senior for advice.
2급 문법 8과 8항 1단어|선배|||||senior|359|회사 선배가 점심을 사 주셨어요.|My senior at work bought me lunch.
2급 문법 10과 8항 5단어|전하다|전해|전합니다|전한다|전하면|to deliver or hand over|360|어머니의 안부를 친구에게 전했어요.|I delivered my mother's regards to my friend.
2급 읽이 9과 1항 4단어|전혀|||||entirely or not at all|364|그 영화는 전혀 재미있지 않았어요.|That movie was not interesting at all.
2급 읽이 1과 2항 21단어|관심|||||interest|366|환경 문제에 관심이 많아요.|I have a lot of interest in environmental issues.
2급 읽이 1과 1항 17단어|걱정|||||worry|367|시험 결과가 걱정이 돼요.|I'm worried about the exam results.
2급 문법 16과 1항 4단어|나다|나|납니다|난다|나면|to have|373|감기에 걸려서 열이 나요.|I have a fever because I caught a cold.
2급 읽이 7과 2항 13단어|의미|||||meaning|380|이 단어의 의미를 모르겠어요.|I don't know the meaning of this word.
2급 읽이 1과 2항 12단어|교수|||||professor|384|교수님께서 흥미로운 강의를 해 주셨어요.|The professor gave an interesting lecture.
2급 읽이 19과 1항 1단어|주변|||||nearby, the surroundings|392|학교 주변에 맛있는 식당이 많아요.|There are many delicious restaurants nearby the school.
2급 문법 10과 2항 3단어|설명하다|설명해|설명합니다|설명한다|설명하면|to explain|394|복잡한 문제를 쉽게 설명해 주세요.|Please explain the complex problem in an easy way.
2급 읽이 19과 1항 9단어|이용하다|이용해|이용합니다|이용한다|이용하면|to use|400|대중교통을 이용해서 학교에 다녀요.|I go to school using public transportation.
2급 읽이 3과 2항 2단어|행복하다|행복해|행복합니다|행복하다|행복하면|to be happy|401|가족과 함께 있을 때 행복해요.|I'm happy when I'm with my family.
2급 읽이 9과 1항 8단어|벌써|||||already|402|벌써 한 시간이 지났네요.|An hour has already passed.
2급 문법 2과 2항 4단어|도와주다|도와줘|도와줍니다|도와준다|도와주면|to help|404|무거운 짐을 들어서 도와줬어요.|I helped by carrying the heavy luggage.
2급 읽이 17과 1항 11단어|이상하다|이상해|이상합니다|이상하다|이상하면|to be strange|405|오늘 날씨가 이상해서 우산을 가져갔어요.|The weather is strange today so I brought an umbrella.
2급 문법 14과 2항 10단어|싸우다|싸워|싸웁니다|싸운다|싸우면|to fight|406|형제끼리 싸우지 말고 사이좋게 지내세요.|Don't fight between siblings and get along well.
2급 읽이 15과 2항 13단어|거리 1|||||distance|408|집에서 학교까지의 거리가 가까워요.|The distance from home to school is close.
2급 문법 3과 3항 1단어|거리 2|||||road or street|408|이 거리에는 카페가 많이 있어요.|There are many cafes on this street.
2급 읽이 1과 1항 12단어|곧|||||soon|410|곧 버스가 올 것 같아요.|I think the bus will come soon.
2급 문법 11과 2항 1단어|기사 1|||||driver|415|택시 기사님이 친절하게 설명해 주셨어요.|The taxi driver kindly explained to me.
2급 읽이 14과 1항 9단어|기사 2|||||news or article|415|신문에서 흥미로운 기사를 읽었어요.|I read an interesting article in the newspaper.
2급 읽이 3과 2항 16단어|냄새|||||smell or odor|416|맛있는 음식 냄새가 나서 배가 고파졌어요.|I got hungry because of the smell of delicious food.
2급 읽이 15과 1항 1단어|기회|||||opportunity|417|외국어를 배울 기회가 생겼어요.|I got an opportunity to learn a foreign language.
2급 문법 15과 1항 16단어|초|||||the beginning|419|영화 초부터 끝까지 재미있었어요.|The movie was interesting from the beginning to the end.
2급 문법 4과 9항 10단어|걸다|걸어|겁니다|건다|걸면|to hang|421|옷장에 코트를 걸어 놓았어요.|I hung the coat in the closet.
2급 읽이 12과 2항 15단어|편|||||counting word for movies, poems, or musicals|422|오늘 영화 두 편을 연속으로 봤어요.|I watched two movies in a row today.
2급 읽이 4과 1항 14단어|알아보다|알아봐|알아봅니다|알아본다|알아보면|to search or look into|429|새 아파트를 알아보러 부동산에 갔어요.|I went to a real estate office to look into a new apartment.
2급 문법 19과 2항 4단어|옛날|||||ancient times, long ago|436|옛날에는 편지로 소식을 전했어요.|In ancient times, people delivered news by letter.
2급 문법 2과 3항 11단어|입|||||mouth|439|뜨거운 음식을 먹어서 입이 아파요.|My mouth hurts because I ate hot food.
2급 읽이 13과 1항 7단어|뽑다|뽑아|뽑습니다|뽑는다|뽑으면|to pull out|444|은행에서 돈을 뽑으려고 갔어요.|I went to the bank to pull out money.
2급 읽이 17과 1항 13단어|즐기다|즐겨|즐깁니다|즐긴다|즐기면|to enjoy or have a good time|445|친구들과 함께 파티를 즐겼어요.|I enjoyed the party with my friends.
2급 문법 12과 1항 1단어|자꾸|||||frequently|455|자꾸 같은 실수를 반복하고 있어요.|I'm frequently repeating the same mistake.
2급 읽이 18과 2항 7단어|관계|||||relationship|458|좋은 관계를 유지하는 것이 중요해요.|It's important to maintain good relationships.
2급 문법 12과 2항 5단어|결과|||||result|459|열심히 공부한 결과 좋은 성적을 받았어요.|As a result of studying hard, I got good grades.
2급 문법 17과 2항 18단어|키우다|키워|키웁니다|키운다|키우면|to bring up or raise|461|강아지를 키우는 것이 쉽지 않아요.|Raising a puppy is not easy.
2급 읽이 1과 2항 24단어|이해하다|이해해|이해합니다|이해한다|이해하면|to understand|466|선생님의 설명을 이해할 수 있었어요.|I was able to understand the teacher's explanation.
2급 읽이 15과 1항 4단어|분위기|||||atmosphere|469|카페의 분위기가 아늑하고 좋아요.|The atmosphere of the cafe is cozy and nice.
2급 문법 9과 2항 4단어|지나다|지나|지납니다|지난다|지나면|to pass|470|시간이 너무 빨리 지나가는 것 같아요.|It seems like time passes by too quickly.
2급 문법 15과 1항 18단어|꺼내다|꺼내|꺼냅니다|꺼낸다|꺼내면|to take out or bring up|483|가방에서 열쇠를 꺼내려고 했어요.|I tried to take out the keys from my bag.
2급 읽이 16과 1항 4단어|환자|||||patient|489|병원에 환자가 많이 와서 기다렸어요.|Many patients came to the hospital so I waited.
2급 읽이 16과 1항 11단어|검사|||||exam|495|건강 검사를 받으러 병원에 갔어요.|I went to the hospital to receive a health exam.
2급 읽이 11과 2항 18단어|돌리다|돌려|돌립니다|돌린다|돌리면|to turn around|497|문 손잡이를 돌려서 문을 열었어요.|I turned the door handle and opened the door.
2급 읽이 1과 2항 14단어|멋있다|멋있어|멋있습니다|멋있다|멋있으면|to be fashionable, cool or gorgeous|498|새로 산 옷이 정말 멋있어요.|The newly bought clothes are really cool.
2급 읽이 7과 1항 8단어|어울리다|어울려|어울립니다|어울린다|어울리면|to match with or go together|499|그 색깔이 당신에게 잘 어울려요.|That color matches you well.
2급 문법 14과 2항 1단어|방금|||||just now|507|방금 친구에게서 전화가 왔어요.|I just received a call from my friend.
2급 읽이 4과 1항 13단어|잊다|잊어|잊습니다|잊는다|잊으면|to forget|509|중요한 약속을 잊어버릴 뻔했어요.|I almost forgot an important appointment.
2급 읽이 20과 2항 13단어|짜증나다|짜증나|짜증납니다|짜증난다|짜증나면|to be irritated|512.424780405127|교통이 막혀서 짜증이 나요.|I'm irritated because the traffic is jammed.
2급 문법 17과 2항 2단어|치다|쳐|칩니다|친다|치면|to play (the piano)|513|어렸을 때 피아노를 치는 것을 좋아했어요.|I liked playing the piano when I was young.
2급 읽이 20과 2항 12단어|방송|||||broadcasting|515|저녁 뉴스 방송을 보는 습관이 있어요.|I have a habit of watching the evening news broadcast.
2급 읽이 4과 2항 7단어|새로|||||newly|515.009138849564|새로 이사한 집이 마음에 들어요.|I like the newly moved house.
2급 읽이 19과 2항 14단어|마을|||||village|519|할머니께서 사시는 마을에 놀러 갔어요.|I went to visit the village where my grandmother lives.
2급 문법 9과 2항 5단어|그래|||||yes|522.503819665872|친구가 도와달라고 해서 그래라고 했어요.|My friend asked for help so I said yes.
2급 문법 1과 2항 4단어|점점|||||eventually|524|한국어가 점점 늘고 있는 것 같아요.|It seems like my Korean is gradually improving.
2급 문법 17과 1항 3단어|아무리|||||no matter how|525|아무리 바빠도 건강을 챙겨야 해요.|No matter how busy you are, you need to take care of your health.
2급 읽이 1과 1항 21단어|일기|||||journal|528.823341592215|매일 일기를 쓰는 습관을 만들고 싶어요.|I want to develop a habit of writing a journal every day.
2급 읽이 19과 2항 2단어|단체 관광|||||group tour|529.190927161835|단체 관광으로 제주도에 다녀왔어요.|I went to Jeju Island on a group tour.
2급 읽이 6과 1항 8단어|손님|||||customer|531|식당에 손님이 많아서 기다려야 했어요.|There were many customers at the restaurant so we had to wait.
2급 문법 13과 2항 11단어|우편번호|||||zip code|538.46462292131|택배를 보낼 때 우편번호를 정확히 써야 해요.|You need to write the zip code correctly when sending a package.
2급 문법 19과 2항 11단어|자유여행|||||free traveling|541.84854158666|이번에는 자유여행으로 유럽에 가고 싶어요.|This time I want to go to Europe on a free travel trip.
2급 문법 20과 2항 18단어|왜냐하면|||||because|544|늦었어요. 왜냐하면 버스가 오지 않았거든요.|I was late because the bus didn't come.
2급 문법 11과 1항 9단어|노약자석|||||seats for the elderly|545.637251925655|지하철에서 노약자석에 앉으면 안 돼요.|You shouldn't sit in the seats for the elderly on the subway.
2급 읽이 19과 1항 3단어|여행 기간|||||travel period|545.799456420355|여행 기간이 짧아서 아쉬웠어요.|The travel period was short so it was disappointing.
2급 읽이 11과 2항 16단어|주차료|||||parking fee|547.955959918909|백화점 주차료가 너무 비싸서 놀랐어요.|I was surprised because the department store parking fee was too expensive.
2급 읽이 16과 1항 17단어|콧물이 나다|콧물이 나|콧물이 납니다|콧물이 난다|콧물이 나면|to have a runny nose|549.926495994441|감기에 걸려서 콧물이 나요.|I have a runny nose because I caught a cold.
2급 읽이 1과 2항 4단어|천문우주학|||||astronomy|550.908058299683|어릴 때부터 천문우주학에 관심이 많았어요.|I've been interested in astronomy since I was young.
2급 문법 17과 1항 13단어|만화영화|||||animated film|553.623889223672|주말에 아이들과 만화영화를 봤어요.|I watched an animated film with the children on the weekend.
2급 읽이 5과 1항 31단어|프라이드치킨|||||fried chicken|554.915496031754|친구들과 프라이드치킨을 시켜서 먹었어요.|I ordered fried chicken with my friends and ate it.
2급 읽이 4과 1항 4단어|싸다 1|싸|쌉니다|싼다|싸면|to pack|555|여행갈 때 옷을 가방에 싸야 해요.|You need to pack clothes in your bag when traveling.
2급 문법 4과 3항 8단어|싸다 2|싸|쌉니다|싼다|싸면|to be cheap|555|이 가게 물건이 다른 곳보다 싸요.|The items in this store are cheaper than other places.
2급 읽이 14과 1항 11단어|위험하다|위험해|위험합니다|위험하다|위험하면|to be dangerous|561|혼자 밤늦게 다니는 것은 위험해요.|Walking alone late at night is dangerous.
2급 문법 13과 1항 17단어|(돈을) 찾다|(돈을) 찾아|(돈을) 찾습니다|(돈을) 찾는다|(돈을) 찾으면|to withdraw (money)|562.174478895031|은행에서 돈을 찾으려고 갔어요.|I went to the bank to withdraw money.
2급 문법 7과 9항 16단어|저렇다|저래|저렇습니다|저렇다|저러면|to be like that|563|날씨가 저렇다면 우산을 가져가야겠어요.|If the weather is like that, I should bring an umbrella.
2급 읽이 5과 2항 1단어|면|||||noodles|566|점심으로 면을 끓여서 먹었어요.|I boiled noodles and ate them for lunch.
2급 읽이 10과 1항 14단어|적다|적어|적습니다|적는다|적으면|to write|568|중요한 내용을 공책에 적어 뒀어요.|I wrote down important content in my notebook.
2급 읽이 19과 1항 4단어|-박 -일|||||_days and _ nights|570.346147404052|제주도에 2박 3일로 여행을 갔어요.|I went on a 2 nights 3 days trip to Jeju Island.
2급 읽이 13과 1항 13단어|인터넷 전문은행|||||Internet-only bank|572.218322544359|인터넷 전문은행을 이용하면 편리해요.|It's convenient to use an Internet-only bank.
2급 읽이 11과 2항 13단어|기억에 남다|기억에 남아|기억에 남습니다|기억에 남는다|기억에 남으면|to remain in one's memory|574.939801241271|첫 해외여행이 아직도 기억에 남아요.|My first overseas trip still remains in my memory.
2급 문법 12과 1항 10단어|대답하다|대답해|대답합니다|대답한다|대답하면|to reply or answer|576|선생님 질문에 정확히 대답했어요.|I answered the teacher's question accurately.
2급 읽이 1과 1항 8단어|즐겁다|즐거워|즐겁습니다|즐겁다|즐거우면|to be happy, enjoyable or fun|577|친구들과 보낸 시간이 정말 즐거웠어요.|The time spent with friends was really enjoyable.
2급 읽이 10과 2항 8단어|체크카드|||||debit card|578.687406494282|현금 대신 체크카드로 계산했어요.|I paid with a debit card instead of cash.
2급 읽이 15과 1항 11단어|성함|||||name|579.440335859545|성함이 어떻게 되세요?|What is your name?
2급 읽이 2과 1항 12단어|교육학|||||educational studies|582.086590002291|대학교에서 교육학을 전공하고 있어요.|I'm majoring in educational studies at university.
2급 읽이 10과 1항 1단어|부탁을 하다|부탁을 해|부탁을 합니다|부탁을 한다|부탁을 하면|to ask a favor or make a request|582.461110665463|친구에게 숙제 도움을 부탁했어요.|I asked my friend for help with homework.
2급 읽이 4과 1항 18단어|밝다|밝아|밝습니다|밝다|밝으면|to be bright|583|이 방은 창문이 커서 밝아요.|This room is bright because the windows are large.
2급 읽이 1과 2항 25단어|생기다|생겨|생깁니다|생긴다|생기면|to come into being|595|새로운 친구가 생겨서 기뻐요.|I'm happy because I made a new friend.
2급 문법 11과 1항 2단어|을지로입구역|||||Euljiro-ipgu Station|595.070413430221|을지로입구역에서 친구를 만났어요.|I met my friend at Euljiro-ipgu Station.
2급 읽이 2과 1항 10단어|안경을 끼다|안경을 껴|안경을 낍니다|안경을 낀다|안경을 끼면|to wear glasses|595.35186982248|책을 읽을 때 안경을 껴야 해요.|I need to wear glasses when reading books.
2급 문법 18과 2항 10단어|매달|||||every month|595.913263852708|매달 용돈을 받아서 저축하고 있어요.|I receive allowance every month and am saving it.
2급 읽이 13과 1항 1단어|현금 자동 인출기|||||automatic teller machine (ATM)|597.801450989209|현금 자동 인출기에서 돈을 뽑았어요.|I withdrew money from the ATM.
2급 문법 16과 2항 2단어|다치다|다쳐|다칩니다|다친다|다치면|to get hurt or injured|599|운동하다가 다쳐서 병원에 갔어요.|I got injured while exercising so I went to the hospital.
2급 문법 1과 2항 2단어|오랜만이다|오랜만이야|오랜만입니다|오랜만이다|오랜만이면|long time no see|600.958345574327|친구를 만나니까 정말 오랜만이에요.|It's really been a long time since I met my friend.
2급 읽이 12과 1항 13단어|천천히|||||slowly|602|길이 미끄러우니까 천천히 걸으세요.|The road is slippery so please walk slowly.
2급 읽이 3과 2항 15단어|와이키키 해변|||||Waikiki beach|602.854346041568|하와이 여행에서 와이키키 해변에 갔어요.|I went to Waikiki beach during my Hawaii trip.
2급 읽이 16과 2항 13단어|평소|||||usually|606|평소보다 일찍 일어났어요.|I woke up earlier than usual.
2급 읽이 10과 1항 4단어|부탁을 들어주다|부탁을 들어줘|부탁을 들어줍니다|부탁을 들어준다|부탁을 들어주면|to do a favor or fulfill a request|606.430481770076|친구의 부탁을 들어줘서 고마웠어요.|I was grateful to fulfill my friend's request.
2급 읽이 10과 2항 18단어|지나가다|지나가|지나갑니다|지나간다|지나가면|to go past|607|버스 정류장을 지나가서 돌아와야 했어요.|I had to come back because I went past the bus stop.
