Index|Korean|English|Frequency
2급 문법 3과 9항 4단어|불안하다|to be anxious|1025
2급 문법 20과 1항 5단어|기온|temperature|1035
2급 읽이 9과 1항 23단어|씻다|to wash or cleanse|1040
2급 문법 19과 1항 16단어|전망|view|1049
2급 읽이 12과 1항 10단어|점|point|1052
2급 읽이 5과 2항 10단어|실수|mistake|1053
2급 읽이 1과 1항 6단어|지내다|to spend one's time|1054
2급 읽이 8과 2항 8단어|급하다|to be in a hurry|1058
2급 문법 14과 2항 7단어|남기다|to leave|1066
2급 문법 20과 1항 19단어|태풍|typhoon|1069
2급 읽이 1과 1항 11단어|건강하다|to be healthy|1070
2급 읽이 14과 2항 8단어|기쁘다|to be joyful|1077
2급 읽이 14과 2항 2단어|출발하다|to depart|1090
2급 읽이 6과 1항 10단어|방문하다|to visit|1096
2급 읽이 5과 1항 13단어|소스|sauce|1108
2급 문법 8과 9항 8단어|앨범|album|1132
2급 읽이 6과 2항 12단어|비교하다|to compare|1133
2급 문법 10과 3항 3단어|벗다|to take off|1135
2급 읽이 5과 1항 30단어|메뉴|menu|1137
2급 읽이 5과 1항 27단어|대구|Daegu|1139
2급 문법 5과 9항 17단어|굽다|to grill|1140
2급 읽이 9과 1항 21단어|이틀|two days|1143
2급 읽이 1과 2항 22단어|자세히|in detail|1145
2급 문법 2과 3항 3단어|발|foot|1148
2급 문법 12과 2항 6단어|기간|time period|1149
2급 읽이 5과 2항 23단어|재료|ingredient|1150
2급 문법 13과 2항 14단어|높이|height|1158
2급 문법 12과 2항 7단어|홈페이지|homepage|1159
2급 문법 13과 2항 18단어|낮다|to be low or short|1171
2급 문법 15과 1항 1단어|팀장|manager|1175
2급 문법 13과 1항 11단어|부부|husband and wife|1197
2급 문법 16과 2항 19단어|점수|score|1203
2급 읽이 20과 2항 15단어|창문|window|1206
2급 문법 12과 1항 8단어|버튼|button|1211
2급 문법 6과 8항 5단어|상품|products|1212
2급 문법 18과 1항 2단어|쌓다|to accumulate or gain|1224
2급 읽이 5과 2항 12단어|섞다|to mix|1227
2급 문법 10과 3항 8단어|줄다|to decrease or be reduced|1233
2급 문법 11과 1항 26단어|열리다|to be opened|1234
2급 읽이 1과 1항 18단어|글|text|1246
2급 읽이 3과 1항 7단어|유명하다|to be famous|1247
2급 문법 3과 8항 5단어|오래되다|to be a long time|1250
2급 읽이 7과 2항 1단어|사이즈|size|1251
2급 문법 11과 1항 4단어|반대|opposite|1255
2급 문법 2과 3항 12단어|허리|waist|1275
2급 읽이 5과 1항 15단어|무료|free of charge|1303
2급 문법 18과 1항 4단어|학원|academy|1307
2급 읽이 5과 2항 19단어|끓이다|to boil|1308
2급 문법 1과 3항 11단어|그만두다|to quit|1310
2급 문법 13과 2항 2단어|상자|box|1335
2급 읽이 10과 1항 10단어|사이|between|1347
2급 문법 13과 2항 10단어|무게|weight|1357
2급 문법 10과 2항 1단어|부탁|request or favor|1360
2급 읽이 13과 1항 14단어|앱|application|1374
2급 문법 8과 8항 4단어|부인|wife|1378
2급 문법 12과 1항 3단어|연습하다|to practice|1394
2급 읽이 7과 2항 9단어|빨갛다|to be red|1396
2급 문법 5과 3항 7단어|스트레스|stress|1399
2급 읽이 10과 2항 5단어|자|okay|1411
2급 읽이 12과 1항 11단어|문장|sentence|1422
2급 문법 17과 2항 12단어|물고기|fish|1442
2급 읽이 5과 1항 23단어|소금|salt|1490
2급 읽이 5과 1항 4단어|뿌리다|to sprinkle|1493
2급 읽이 1과 2항 7단어|고등학교|senior high school|1497
2급 읽이 17과 2항 9단어|모으다|to collect|1500
2급 읽이 19과 2항 15단어|편안하다|to be comfortable|1502
2급 문법 14과 1항 4단어|고치다|to repair or fix|1511
2급 문법 15과 2항 5단어|지난번|last time|1514
2급 읽이 18과 1항 11단어|도전하다|to challenge|1531
2급 읽이 10과 2항 15단어|뵙다|to meet (used when meeting people above you)|1537
2급 읽이 2과 1항 1단어|잘생기다|to be good-looking|1539
2급 문법 20과 1항 12단어|그치다|to stop|1543
2급 읽이 15과 2항 1단어|주문하다|to order|1549
2급 읽이 17과 1항 2단어|공포|horror|1557
2급 읽이 7과 2항 4단어|화려하다|to be ornate or gorgeous|1560
2급 읽이 1과 2항 15단어|소개|introduction|1562
2급 문법 5과 8항 7단어|간|saltiness|1571
2급 문법 12과 1항 9단어|끝내다|to end or finish|1589
2급 문법 20과 1항 8단어|습관|habit|1590
2급 읽이 14과 1항 10단어|청소년|adolescents or teenagers|1599
2급 읽이 5과 2항 11단어|잃어버리다|to lose|1605
2급 문법 11과 1항 21단어|깨다|to wake up|1607
2급 읽이 7과 2항 16단어|단순하다|to be simple|1618
2급 문법 19과 1항 4단어|시설|facility|1621
2급 읽이 3과 2항 7단어|풍경|scenery|1625
2급 문법 9과 9항 15단어|세다|to count|1630
2급 읽이 1과 2항 19단어|학습|learning or study|1631
2급 읽이 16과 1항 2단어|붓다|to swell up|1651
2급 읽이 16과 1항 15단어|차다|to be cold|1665
2급 문법 3과 9항 2단어|부끄럽다|to feel shameful or embarrassed|1673
2급 읽이 1과 1항 10단어|익숙하다|to be used to|1685
2급 읽이 16과 1항 10단어|넘어지다|to fall down|1704
2급 읽이 3과 2항 14단어|물론|of course or undoubtedly|1723
2급 문법 17과 1항 12단어|달리다|to run|1725
2급 문법 16과 1항 11단어|푹|completely or entirely|1731
2급 문법 2과 8항 5단어|공무원|public service worker|1738
2급 문법 7과 8항 4단어|주머니|pocket|1742
2급 문법 20과 1항 21단어|끼다|to gather or envelop|1764
2급 문법 1과 3항 8단어|직장|job|1766
2급 문법 18과 2항 12단어|중학교|middle school|1773
2급 문법 11과 1항 25단어|서다|to stand|1775
2급 문법 12과 2항 1단어|신청하다|to apply|1787
2급 문법 18과 2항 9단어|매년|every year|1788
2급 읽이 5과 1항 32단어|콘서트|concert|1822
2급 문법 20과 1항 17단어|최고|highest|1835
2급 문법 10과 9항 1단어|부장|head of a department or director|1846
2급 읽이 10과 2항 17단어|신청|registration|1849
2급 문법 5과 9항 21단어|꽂다|to stick (in/into)|1860
2급 문법 14과 1항 7단어|동영상|video file|1873
2급 문법 7과 2항 1단어|특별히|especially|1885
2급 문법 18과 1항 9단어|바깥|outside|1888
2급 읽이 9과 1항 11단어|무척|very or extremely|1892
2급 읽이 3과 2항 4단어|외롭다|to be lonely|1931
2급 문법 14과 2항 5단어|데려오다|to bring someone|1937
2급 읽이 4과 2항 9단어|동네|neighborhood|1938
2급 읽이 20과 1항 7단어|불다|to blow|1947
2급 문법 8과 9항 2단어|떡|rice cake|1962
2급 문법 7과 3항 14단어|만지다|to touch|1977
2급 읽이 5과 1항 11단어|양념|seasoning|1991
2급 읽이 8과 1항 7단어|환영하다|to welcome|1995
2급 읽이 3과 2항 3단어|부럽다|to be envious|1996
2급 문법 6과 8항 2단어|매장|store|2012
2급 읽이 2과 2항 14단어|장난감|toy|2014
2급 읽이 17과 1항 6단어|액션|action|2025
2급 읽이 5과 2항 18단어|마늘|garlic|2027
2급 읽이 4과 1항 8단어|트럭|truck|2041
2급 읽이 15과 2항 5단어|판|counting word for a whole pizza|2075
2급 문법 16과 1항 26단어|젓다|to stir|2078
2급 읽이 10과 2항 13단어|서류|document|2080
2급 읽이 1과 1항 13단어|연휴|consecutive holidays|2090
2급 문법 14과 1항 1단어|이전|before|2116
2급 문법 8과 9항 14단어|씹다|to chew|2123
2급 문법 15과 2항 3단어|현금|cash|2130
2급 읽이 2과 1항 3단어|똑똑하다|to be smart|2139
2급 문법 17과 2항 13단어|새|bird|2143
2급 문법 11과 2항 11단어|주차장|parking lot|2157
2급 문법 1과 3항 9단어|사귀다|to make friends|2166
2급 읽이 5과 1항 3단어|설탕|sugar|2179
2급 문법 15과 1항 8단어|날짜|date|2187
2급 문법 5과 3항 12단어|깎다|to cut|2191
2급 읽이 9과 1항 13단어|학기|semester|2192
2급 문법 10과 3항 2단어|당기다|to pull|2198
2급 읽이 1과 2항 20단어|아시아|Asia|2214
2급 읽이 5과 2항 21단어|햄|ham|2217
2급 문법 17과 2항 5단어|기타|guitar|2243
2급 문법 20과 1항 14단어|안개|mist or fog|2267
2급 읽이 4과 1항 7단어|별로|not much|2277
2급 문법 6과 9항 6단어|반지|ring|2284
2급 읽이 9과 1항 15단어|사흘|four days|2292
2급 읽이 5과 1항 14단어|음료|drink|2306
2급 문법 20과 2항 9단어|실내|indoors|2308
2급 문법 10과 3항 7단어|접다|to fold|2319
2급 읽이 7과 1항 2단어|흰색|white|2326
2급 읽이 5과 1항 9단어|채소|vegetables|2342
2급 문법 16과 2항 17단어|줄이다|to reduce|2350
2급 읽이 1과 1항 20단어|잊어버리다|to forget|2354
2급 문법 20과 2항 4단어|햇빛|sunlight or sunshine|2360
2급 읽이 7과 2항 11단어|마트|mart|2368
2급 읽이 17과 2항 11단어|소파|sofa|2383
2급 문법 14과 1항 9단어|계산하다|to calculate|2385
2급 읽이 5과 2항 27단어|양파|onion|2412
2급 문법 13과 1항 12단어|순서|order or sequence|2429
2급 읽이 3과 1항 12단어|남쪽|the south|2445
2급 읽이 5과 2항 28단어|달걀|egg|2446
2급 읽이 5과 2항 6단어|썰다|to cut or chop|2450
2급 읽이 3과 1항 2단어|섬|island|2467
2급 읽이 1과 2항 6단어|별|star|2473
2급 문법 18과 1항 6단어|겉|surface|2480
2급 문법 18과 2항 11단어|유치원|Kindergarten|2483
2급 문법 17과 2항 15단어|오토바이|motorcycle|2493
2급 읽이 5과 2항 5단어|접시|plate|2500
2급 읽이 6과 2항 15단어|회원|member|2511
2급 읽이 3과 2항 11단어|서쪽|the west|2512
2급 문법 7과 3항 12단어|떠들다|to chatter|2535
2급 읽이 10과 2항 10단어|글쎄요|well, let me see|2539
2급 문법 13과 2항 15단어|봉투|envelope|2542
2급 문법 7과 2항 5단어|갈아입다|to change clothes|2548
2급 문법 7과 8항 5단어|월급|salary or paycheck|2573
2급 읽이 6과 1항 14단어|택배|package|2576
2급 읽이 10과 1항 7단어|그대로|as it is|2594
2급 문법 10과 2항 5단어|빌려주다|to borrow|2599
2급 읽이 3과 1항 6단어|북쪽|the north|2629
2급 읽이 17과 1항 14단어|세|years old|2639
2급 읽이 17과 2항 12단어|밴드|band|2644
2급 읽이 6과 1항 13단어|도시락|packed lunch|2658
2급 문법 16과 1항 19단어|긋다|to draw a line|2668
2급 문법 2과 2항 5단어|연예인|entertainer|2702
2급 문법 13과 2항 5단어|올려놓다|to place on top of something|2703
2급 문법 6과 3항 14단어|토마토|tomato|2706
2급 읽이 14과 1항 12단어|글씨|letter or writing|2718
2급 읽이 4과 2항 1단어|거실|living room|2726
2급 읽이 5과 2항 3단어|볶다|to stir-fry|2731
2급 문법 12과 1항 11단어|마치다|to end or finish|2739
2급 문법 17과 2항 1단어|피아노|piano|2758
2급 문법 14과 1항 5단어|검색하다|to search|2771
2급 읽이 3과 1항 15단어|동쪽|the east|2776
2급 문법 12과 1항 4단어|외우다|to memorize|2809
2급 문법 18과 1항 14단어|연기하다|to postpone|2825
2급 문법 10과 3항 5단어|밀다|to push|2881
2급 읽이 5과 1항 20단어|소고기|beef|2884
2급 문법 13과 2항 9단어|길이|length|2901
2급 문법 12과 1항 14단어|질문하다|to ask a question|2924
2급 읽이 5과 2항 25단어|버섯|mushroom|2947
2급 문법 10과 3항 9단어|펴다|to unfold or spread|2977
2급 읽이 3과 2항 6단어|신선하다|to be fresh|2979
2급 읽이 4과 2항 2단어|부엌|kitchen|2984
2급 읽이 19과 1항 18단어|해변|seashore or beach|2999
2급 읽이 10과 2항 16단어|퇴근하다|to leave one's office or get off from work|3001
2급 문법 4과 9항 4단어|식탁|table|3006
2급 문법 17과 2항 9단어|연극|play|3015
2급 읽이 18과 1항 2단어|취소하다|to cancel|3028
2급 읽이 6과 2항 4단어|장갑|gloves|3047
2급 읽이 9과 2항 10단어|취소|cancellation|3049
2급 읽이 4과 1항 11단어|에어컨|air conditioner|3071
2급 읽이 13과 1항 3단어|계좌|account|3091
2급 읽이 3과 2항 1단어|그립다|to miss or long for|3117
2급 읽이 11과 2항 3단어|주차|parking|3123
2급 문법 6과 9항 3단어|목걸이|necklace|3142
2급 읽이 7과 1항 15단어|베스트|best|3162
2급 읽이 16과 2항 19단어|알|pill|3165
2급 읽이 11과 2항 8단어|퇴근|leave one's office or get off of work|3184
2급 읽이 8과 1항 8단어|초대하다|to invite|3190
2급 읽이 7과 2항 8단어|하얗다|to be white|3192
2급 읽이 2과 2항 16단어|대전|Daejeon|3227
2급 읽이 1과 2항 8단어|졸업하다|to graduate|3239
2급 문법 11과 1항 16단어|요금|rate or fee|3245
2급 읽이 15과 2항 15단어|파스타|pasta|3249
2급 문법 14과 1항 11단어|통화하다|to speak over the phone|3278
2급 읽이 5과 2항 33단어|끓다|to boil|3296
2급 읽이 8과 2항 10단어|샐러드|salad|3298
2급 읽이 2과 2항 1단어|조카|nephew or niece|3333
2급 읽이 2과 1항 6단어|착하다|to be good-natured or nice|3347
2급 문법 11과 1항 13단어|손잡이|doorknob|3358
2급 읽이 4과 1항 10단어|싣다|to load up|3375
2급 읽이 8과 1항 1단어|동아리|student club|3393
2급 읽이 7과 2항 12단어|갈색|brown|3432
2급 읽이 17과 2항 13단어|악기|musical instrument|3440
2급 문법 12과 1항 15단어|출석하다|to attend or be present|3452
2급 읽이 7과 2항 6단어|까맣다|to be black|3485
2급 문법 16과 1항 25단어|잇다|to join or connect|3516
2급 읽이 9과 2항 15단어|일주일|one week|3538
2급 읽이 19과 2항 8단어|전주|Jeonju|3553
2급 문법 12과 2항 9단어|등록|registration|3558
2급 읽이 3과 1항 1단어|빌딩|building|3569
2급 읽이 19과 2항 5단어|가이드|tour guide|3625
2급 읽이 6과 2항 11단어|상가|shopping mall|3627
2급 읽이 5과 1항 7단어|비비다|to mix|3635
2급 읽이 10과 2항 1단어|실례하다|excuse me|3655
2급 읽이 1과 2항 26단어|유학|study abroad|3693
2급 문법 13과 1항 3단어|우선|first|3696
2급 읽이 5과 2항 20단어|돼지고기|pork|3710
2급 읽이 2과 2항 12단어|친척|relative|3722
2급 문법 8과 9항 11단어|휴지|toilet paper or tissue|3740
2급 읽이 8과 1항 10단어|보라색|purple|3747
2급 문법 19과 1항 7단어|객실|guestroom|3750
2급 읽이 2과 1항 14단어|지루하다|to be boring or tedious|3755
2급 읽이 5과 2항 4단어|냄비|pot|3790
2급 읽이 5과 2항 8단어|덜다|to put|3795
2급 문법 6과 3항 8단어|배추|Chinese cabbage|3801
2급 문법 2과 9항 1단어|고모|aunt on the father's side|3812
2급 문법 5과 9항 1단어|감자|potato|3818
2급 읽이 5과 1항 24단어|반찬|side dish|3820
2급 문법 13과 1항 9단어|도장|seal or stamp|3841
2급 읽이 7과 1항 10단어|회색|gray|3856
2급 읽이 16과 2항 14단어|도움|help|3887
2급 읽이 3과 1항 18단어|네덜란드|Netherlands|3938
2급 읽이 7과 2항 10단어|사실|fact|3965
2급 문법 6과 3항 15단어|포스터|poster|3973
2급 문법 16과 2항 11단어|몸무게|person's weight|3977
2급 문법 15과 1항 11단어|연락처|contact information|3989
2급 읽이 5과 1항 21단어|국|soup or broth|3993
2급 읽이 5과 2항 31단어|참기름|sesame oil|4010
2급 문법 14과 1항 10단어|녹음하다|to record|4012
2급 읽이 5과 1항 1단어|고추장|Gochujang (red pepper paste)|4019
2급 문법 15과 1항 12단어|연말|end of the year|4032
2급 읽이 5과 2항 2단어|삶다|to boil|4061
2급 읽이 1과 1항 2단어|방송국|broadcasting station|4065
2급 읽이 9과 1항 18단어|모이다|to gather|4069
2급 읽이 8과 1항 9단어|서두르다|to hurry|4089
2급 문법 13과 1항 8단어|비밀번호|password|4099
2급 문법 20과 2항 14단어|쓸다|to sweep|4105
2급 읽이 7과 2항 15단어|무늬|pattern|4135
2급 문법 16과 1항 6단어|기침|cough|4146
2급 읽이 5과 2항 32단어|후추|black pepper|4157
2급 읽이 9과 1항 20단어|열흘|ten days|4176
2급 문법 15과 2항 8단어|외출|going out|4177
2급 문법 2과 8항 4단어|시청|city hall|4196
2급 읽이 3과 1항 3단어|시골|countryside|4210
2급 읽이 20과 2항 6단어|선글라스|sunglasses|4274
2급 읽이 11과 2항 6단어|체육관|gym|4278
2급 읽이 1과 1항 22단어|메모|memo|4283
2급 문법 9과 8항 7단어|섭섭하다|to be sad or disappointed|4287
2급 문법 13과 1항 2단어|통장|bankbook|4338
2급 문법 17과 2항 6단어|동전|copper coin|4346
2급 읽이 5과 2항 30단어|다지다|to mince|4376
2급 문법 9과 9항 1단어|나흘|four days|4379
2급 읽이 14과 2항 7단어|깜빡하다|to forget|4402
2급 읽이 16과 2항 12단어|입원|admittance to the hospital|4440
2급 문법 4과 8항 4단어|욕실|bathroom|4447
2급 문법 5과 9항 10단어|쓰레기통|trash can|4525
2급 문법 1과 3항 6단어|출판사|publishing company|4541
2급 읽이 9과 1항 19단어|인턴|intern or internship|4548
2급 문법 4과 8항 5단어|세탁기|washing machine|4586
2급 문법 4과 9항 8단어|옷장|closet|4599
2급 읽이 15과 1항 15단어|뷔페|buffet|4602
2급 문법 5과 3항 2단어|된장|doenjang (fermented soybean paste)|4624
2급 읽이 10과 1항 5단어|입국|entry into a country or immigration|4629
2급 문법 16과 1항 10단어|소화|digestion|4649
2급 읽이 1과 2항 10단어|전공|major|4650
2급 문법 20과 2항 16단어|졸리다|to become sleepy|4720
2급 읽이 4과 2항 8단어|편리하다|to be convenient|4780
2급 읽이 1과 1항 3단어|항공사|airline company|4790
2급 문법 19과 2항 3단어|유물|relic|4794
2급 문법 11과 1항 8단어|광화문|Gwanghwamun|4830
2급 읽이 4과 1항 3단어|짐|goods or luggage|4848
2급 읽이 4과 2항 3단어|현관|entrance|4897
2급 읽이 3과 1항 4단어|해산물|seafood|4905
2급 문법 5과 9항 20단어|튀기다|to deep fry|4920
2급 문법 13과 2항 3단어|포장하다|to wrap|4925
2급 읽이 1과 2항 23단어|입학하다|to enter a school|4930
2급 문법 5과 2항 3단어|명절|holiday|4942
2급 문법 5과 9항 27단어|찌다|to steam|4951
2급 문법 2과 3항 5단어|이마|forehead|4962
2급 문법 14과 2항 9단어|답장|answer or reply|4968
2급 문법 17과 1항 9단어|록|rock|4971
2급 읽이 11과 2항 14단어|건너편|opposite side|4988
2급 문법 14과 2항 2단어|함께|with|5008
2급 읽이 4과 1항 5단어|계약하다|to make a contract|5014
2급 읽이 8과 1항 4단어|모임|meeting or gathering|5033
2급 읽이 10과 2항 9단어|신분증|identification card|5050
2급 읽이 17과 2항 16단어|책장|bookshelf|5060
2급 읽이 8과 2항 5단어|샴페인|champagne|5116
2급 읽이 10과 2항 11단어|연장하다|to extend or prolong|5148
2급 읽이 12과 2항 1단어|등록하다|to register|5149
2급 읽이 7과 1항 5단어|원피스|one-piece dress|5154
2급 문법 6과 8항 1단어|할인|discount|5193
2급 문법 16과 1항 15단어|사고|accident|5198
2급 읽이 3과 1항 8단어|관광지|tourist destination|5215
2급 읽이 6과 2항 9단어|쿠폰|coupon|5218
2급 읽이 5과 2항 35단어|부치다|to fry or griddle|5229
2급 읽이 5과 2항 26단어|당근|carrot|5235
2급 읽이 5과 1항 28단어|페스티벌|festival|5246
2급 읽이 16과 2항 8단어|종합|comprehensive|5283
2급 읽이 15과 2항 2단어|배달하다|to deliver|5301
2급 문법 6과 2항 1단어|비누|soap|5332
2급 문법 7과 3항 5단어|청바지|blue jeans|5404
2급 읽이 12과 2항 11단어|외국어|foreign language|5408
2급 읽이 5과 1항 2단어|식초|vinegar|5490
2급 읽이 4과 2항 10단어|미용실|hair salon|5526
2급 문법 6과 9항 4단어|배낭|backpack|5600
2급 문법 3과 3항 7단어|서해|West Sea|5615
2급 읽이 7과 1항 4단어|분홍색|pink|5634
2급 읽이 9과 1항 17단어|서른|thirty|5649
2급 문법 20과 1항 10단어|춘천|Chuncheon|5654
2급 읽이 3과 1항 13단어|노르웨이|Norway|5683
2급 읽이 3과 2항 9단어|하와이|Hawaii|5685
2급 문법 16과 2항 13단어|선풍기|electric fan|5695
2급 읽이 2과 1항 9단어|뚱뚱하다|to be fat|5712
2급 문법 19과 1항 13단어|여행지|one's destination in travel|5726
2급 문법 11과 2항 2단어|경복궁|Gyeongbok Palace|5776
2급 읽이 7과 1항 1단어|양복|a suit|5894
2급 읽이 9과 1항 16단어|닷새|five days|5924
2급 읽이 13과 1항 11단어|환율|exchange rate|5960
2급 문법 4과 3항 6단어|주유소|gas station|6005
2급 문법 20과 1항 18단어|최저|lowest|6089
2급 읽이 20과 1항 9단어|비구름|rain cloud|6126
2급 읽이 13과 1항 8단어|서명|signature|6140
2급 읽이 20과 1항 22단어|외출하다|to go out|6141
2급 읽이 8과 2항 7단어|화분|flowerpot|6190
2급 문법 11과 1항 17단어|종로|Jongno|6234
2급 문법 17과 2항 7단어|만화책|comic book|6252
2급 읽이 20과 1항 17단어|평년|common year|6315
2급 문법 11과 1항 3단어|홍대|Hongdae|6325
2급 읽이 6과 2항 14단어|클릭|click|6397
2급 문법 8과 9항 13단어|졸다|to doze|6420
2급 읽이 17과 1항 1단어|코미디|comedy|6435
2급 문법 8과 3항 2단어|동창|schoolmate|6472
2급 문법 17과 2항 11단어|드럼|drum|6546
2급 읽이 2과 2항 6단어|외할머니|grandmother on the mother's side|6633
2급 읽이 2과 2항 7단어|외삼촌|uncle (brother of one's mother)|6649
2급 읽이 5과 1항 8단어|닭고기|chicken|6662
2급 문법 11과 1항 11단어|벨|bell|6685
2급 읽이 13과 2항 8단어|우편|mail service|6728
2급 읽이 18과 1항 10단어|게으르다|to be lazy|6783
2급 문법 19과 1항 8단어|기념품|souvenir|6807
2급 문법 1과 8항 1단어|대학원|graduate school|6824
2급 문법 15과 2항 4단어|결제하다|to make a payment|6851
2급 읽이 6과 2항 8단어|빙수|shaved ice with syrup|6952
2급 문법 20과 2항 10단어|집안일|household matters|6958
2급 문법 16과 1항 1단어|열|fever|6984
2급 문법 6과 9항 2단어|귀걸이|earring|7021
2급 문법 19과 2항 2단어|볼거리|things to see|7067
2급 읽이 5과 2항 7단어|프라이팬|frypan|7082
2급 문법 16과 1항 7단어|콧물|nose runnings or drippings|7095
2급 문법 15과 1항 17단어|평일|weekday|7114
2급 문법 6과 3항 3단어|칫솔|toothbrush|7127
2급 문법 19과 2항 1단어|해외여행|overseas trip|7160
2급 문법 15과 1항 19단어|비다|to be empty|7172
2급 읽이 4과 1항 1단어|이사하다|to move|7251
2급 읽이 1과 2항 1단어|의학|medical science|7344
2급 읽이 6과 1항 5단어|치약|toothpaste|7384
2급 읽이 3과 1항 19단어|속초|Sokcho|7401
2급 문법 1과 8항 3단어|전공하다|to major in|7430
2급 문법 7과 2항 2단어|반바지|shorts|7433
2급 문법 3과 3항 10단어|한라산|Halla Mountain|7483
2급 문법 5과 8항 3단어|기름|oil|7491
2급 문법 11과 1항 24단어|대다|to put or apply|7493
2급 문법 6과 3항 4단어|포도|grapes|7556
2급 문법 16과 1항 12단어|땀|sweat|7576
2급 문법 20과 2항 11단어|환기|ventilation|7583
2급 문법 19과 1항 15단어|왕복|roundtrip|7670
2급 읽이 4과 2항 4단어|베란다|veranda|7683
2급 문법 13과 2항 6단어|항공편|by airmail|7716
2급 읽이 4과 1항 12단어|원룸|studio apartment|7726
2급 읽이 5과 2항 29단어|시금치|spinach|7761
2급 읽이 10과 1항 13단어|동양|Oriental|7826
2급 읽이 7과 1항 14단어|로션|lotion|7901
2급 문법 20과 2항 7단어|장화|boots|7950
2급 문법 19과 2항 10단어|수학여행|school trip|7956
2급 읽이 7과 1항 12단어|립스틱|lipstick|7967
2급 문법 7과 3항 10단어|조끼|vest|7990
2급 읽이 19과 2항 13단어|야경|night view|8010
2급 읽이 3과 2항 17단어|서핑|surfing|8011
2급 읽이 4과 2항 11단어|찜질방|jjimjilbang (Korean dry sauna)|8042
2급 읽이 6과 1항 4단어|생수|spring water|8045
2급 문법 11과 2항 16단어|주차하다|to park|8060
2급 읽이 5과 2항 22단어|잡채|japchae (clear noodles stir-fried with beef and vegetables)|8071
2급 문법 13과 1항 4단어|서명하다|to sign one's name|8186
2급 읽이 6과 1항 7단어|라면|ramen|8199
2급 읽이 20과 1항 8단어|목도리|scarf|8250
2급 읽이 19과 1항 13단어|체크인|check-in|8275
2급 읽이 7과 1항 6단어|하늘색|sky-blue|8319
2급 읽이 14과 2항 5단어|서울역|Seoul Station|8342
2급 문법 11과 2항 4단어|밀리다|to be backed up|8359
2급 읽이 3과 1항 10단어|하노이|Hanoi|8406
2급 문법 11과 2항 3단어|출퇴근|enter and leave one's office|8411
2급 읽이 2과 1항 8단어|어리다|to be young|8434
2급 읽이 3과 1항 20단어|동해|East Sea|8462
2급 문법 18과 2항 5단어|출국하다|to depart from a country|8464
2급 문법 6과 9항 7단어|수영복|swimsuit|8504
2급 읽이 5과 1항 25단어|깍두기|Kkakdugi (diced radish kimchi)|8544
2급 읽이 18과 2항 9단어|증권사|securities company|8623
2급 문법 13과 2항 16단어|우표|stamp|8680
2급 문법 20과 1항 13단어|습하다|to be humid|8708
2급 문법 3과 3항 9단어|온천|hot spring or spa|8709
2급 문법 12과 2항 10단어|등록금|registration fee|8722
2급 문법 9과 3항 6단어|연세|age in honorific form|8755
2급 읽이 8과 2항 4단어|찻잔|tea set or teacup|8762
2급 문법 17과 2항 17단어|매다|to tie up|8784
2급 읽이 5과 2항 24단어|당면|clear noodles|8851
2급 문법 17과 2항 4단어|낚시하다|to fish|8863
2급 문법 3과 3항 6단어|롤러코스터|roller coaster|8871
2급 읽이 8과 2항 16단어|빈손|empty-handed|8962
2급 읽이 2과 2항 3단어|이모부|uncle (husband of one's mother's sister)|8966
2급 읽이 7과 2항 7단어|파랗다|to be blue|8979
2급 읽이 3과 1항 17단어|케이블카|cable car|8991
2급 읽이 2과 1항 2단어|날씬하다|to be slim|9005
2급 문법 16과 2항 7단어|치료비|medical fee|9100
2급 문법 19과 1항 18단어|일정|itinerary|9157
2급 문법 7과 9항 12단어|노랗다|to be yellow|9163
2급 읽이 12과 1항 14단어|마다|each|9174
2급 문법 1과 3항 4단어|신문사|newspaper publishing company|9208
2급 문법 6과 9항 15단어|메다|to carry|9236
2급 문법 14과 2항 4단어|바비큐|barbeque|9252
2급 읽이 11과 2항 12단어|내비게이션|navigation|9276
2급 읽이 19과 2항 7단어|국립|National|9279
2급 문법 12과 1항 13단어|지각하다|to be tardy or late|9303
2급 문법 11과 1항 10단어|단말기|card reader|9308
2급 문법 7과 3항 4단어|점퍼|jacket|9351
2급 읽이 13과 1항 12단어|원화|the Korean won|9385
2급 문법 3과 2항 2단어|남해|Southern Sea|9427
2급 문법 11과 1항 14단어|승강장|platform|9435
2급 문법 12과 2항 8단어|교환|exchange|9462
2급 읽이 5과 1항 17단어|파|green onion|9473
2급 읽이 15과 2항 17단어|장바구니|shopping cart|9506
2급 읽이 1과 2항 2단어|경제학|economics|9519
2급 문법 17과 2항 16단어|팩스|fax|9555
2급 읽이 8과 1항 13단어|초대장|invitation card|9583
2급 문법 9과 9항 2단어|마흔|forty|9620
2급 읽이 17과 1항 9단어|로맨틱하다|to be romantic|9710
2급 읽이 9과 2항 6단어|축하|celebration or congratulations|9731
2급 읽이 2과 1항 5단어|아나운서|newscaster|9739
2급 문법 15과 1항 7단어|공휴일|legal holiday|9835
2급 읽이 8과 2항 9단어|갈비찜|galbi-jjim|9921
2급 읽이 8과 2항 14단어|두루마리|roll of paper|9972
2급 문법 15과 1항 13단어|연초|beginning of the year|10039
2급 읽이 4과 2항 12단어|세탁소|laundry or dry cleaner's|10055
2급 문법 19과 1항 14단어|예절|courtesy or manners|10066
2급 읽이 1과 1항 19단어|편지|letter|10141
2급 문법 17과 2항 8단어|볼링|bowling|10224
