Index|Korean|English
2급 읽이 1과 2항 25단어|생기다|to come into being
2급 읽이 1과 2항 26단어|유학|study abroad
2급 읽이 2과 1항 1단어|잘생기다|to be good-looking
2급 읽이 2과 1항 2단어|날씬하다|to be slim
2급 읽이 2과 1항 3단어|똑똑하다|to be smart
2급 읽이 2과 1항 4단어|목소리가 좋다|to have a good voice
2급 읽이 2과 1항 5단어|아나운서|newscaster
2급 읽이 2과 1항 6단어|착하다|to be good-natured or nice
2급 읽이 2과 1항 7단어|귀엽다|to be cute
2급 읽이 2과 1항 8단어|어리다|to be young
2급 읽이 2과 1항 9단어|뚱뚱하다|to be fat
2급 읽이 2과 1항 10단어|안경을 끼다|to wear glasses
2급 읽이 2과 1항 11단어|성격이 좋다|to have a good personality
2급 읽이 2과 1항 12단어|교육학|educational studies
2급 읽이 2과 1항 13단어|경주|Gyeongju
2급 읽이 2과 1항 14단어|지루하다|to be boring or tedious
2급 읽이 2과 1항 15단어|성격이 밝다|to have a bright personality
2급 읽이 2과 2항 1단어|조카|nephew or niece
2급 읽이 2과 2항 2단어|외숙모|aunt (wife of one's mother's brother)
2급 읽이 2과 2항 3단어|이모부|uncle (husband of one's mother's sister)
2급 읽이 2과 2항 4단어|큰어머니|aunt (wife of one's father's older brother)
2급 읽이 2과 2항 5단어|삼촌|uncle (brother of one's father)
2급 읽이 2과 2항 6단어|외할머니|grandmother on the mother's side
2급 읽이 2과 2항 7단어|외삼촌|uncle (brother of one's mother)
2급 읽이 2과 2항 8단어|이모|aunt (sister of one's mother)
2급 읽이 2과 2항 9단어|외할아버지|grandfather on the mother's side
2급 읽이 2과 2항 10단어|생신|birthday in honorific form
2급 읽이 2과 2항 11단어|큰아버지|uncle (older brother of one's father)
2급 읽이 2과 2항 12단어|친척|relative
2급 읽이 2과 2항 13단어|돌잔치|baby's first year birthday party
2급 읽이 2과 2항 14단어|장난감|toy
2급 읽이 2과 2항 15단어|태어나다|to be born
2급 읽이 2과 2항 16단어|대전|Daejeon
2급 읽이 2과 2항 17단어|고모부|uncle (husband of one's father's sister)
2급 읽이 2과 2항 18단어|작은어머니|aunt (wife of one's father's younger brother)
2급 읽이 3과 1항 1단어|빌딩|building
2급 읽이 3과 1항 2단어|섬|island
2급 읽이 3과 1항 3단어|시골|countryside
2급 읽이 3과 1항 4단어|해산물|seafood
2급 읽이 3과 1항 5단어|도시|city
2급 읽이 3과 1항 6단어|북쪽|the north
2급 읽이 3과 1항 7단어|유명하다|to be famous
2급 읽이 3과 1항 8단어|관광지|tourist destination
2급 읽이 3과 1항 9단어|위치|position
2급 읽이 3과 1항 10단어|하노이|Hanoi
2급 읽이 3과 1항 11단어|호찌민|Ho Chi Minh
2급 읽이 3과 1항 12단어|남쪽|the south
2급 읽이 3과 1항 13단어|노르웨이|Norway
2급 읽이 3과 1항 14단어|오슬로|Oslo
2급 읽이 3과 1항 15단어|동쪽|the east
2급 읽이 3과 1항 16단어|구경거리|tourist attraction
2급 읽이 3과 1항 17단어|케이블카|cable car
2급 읽이 3과 1항 18단어|네덜란드|Netherlands
2급 읽이 3과 1항 19단어|속초|Sokcho
2급 읽이 3과 1항 20단어|동해|East Sea
2급 읽이 3과 1항 21단어|푸르다|to be blue
2급 읽이 3과 2항 1단어|그립다|to miss or long for
2급 읽이 3과 2항 2단어|행복하다|to be happy
2급 읽이 3과 2항 3단어|부럽다|to be envious
2급 읽이 3과 2항 4단어|외롭다|to be lonely
2급 읽이 3과 2항 5단어|이렇게|like this
2급 읽이 3과 2항 6단어|신선하다|to be fresh
2급 읽이 3과 2항 7단어|풍경|scenery
2급 읽이 3과 2항 8단어|해운대|Haeundae
2급 읽이 3과 2항 9단어|하와이|Hawaii
2급 읽이 3과 2항 10단어|캘리포니아|California
2급 읽이 3과 2항 11단어|서쪽|the west
2급 읽이 3과 2항 12단어|호놀룰루|Honolulu
2급 읽이 3과 2항 13단어|세계|world
2급 읽이 3과 2항 14단어|물론|of course or undoubtedly
2급 읽이 3과 2항 15단어|와이키키 해변|Waikiki beach
2급 읽이 3과 2항 16단어|냄새|smell or odor
2급 읽이 3과 2항 17단어|서핑|surfing
2급 읽이 3과 2항 18단어|특별하다|to be special
2급 읽이 4과 1항 1단어|이사하다|to move
2급 읽이 4과 1항 2단어|이삿짐센터|moving company
2급 읽이 4과 1항 3단어|짐|goods or luggage
2급 읽이 4과 1항 4단어|싸다|to pack
2급 읽이 4과 1항 5단어|계약하다|to make a contract
2급 읽이 4과 1항 6단어|불편하다|to be inconvenient or uncomfortable
2급 읽이 4과 1항 7단어|별로|not much
2급 읽이 4과 1항 8단어|트럭|truck
2급 읽이 4과 1항 9단어|하숙집|boardinghouse
2급 읽이 4과 1항 10단어|싣다|to load up
2급 읽이 4과 1항 11단어|에어컨|air conditioner
2급 읽이 4과 1항 12단어|원룸|studio apartment
2급 읽이 4과 1항 13단어|잊다|to forget
2급 읽이 4과 1항 14단어|알아보다|to search or look into
2급 읽이 4과 1항 15단어|마음에 들다|to like
2급 읽이 4과 1항 16단어|관리비|management expenses or utilities
2급 읽이 4과 1항 17단어|어둡다|to be dark
2급 읽이 4과 1항 18단어|밝다|to be bright
2급 읽이 4과 1항 19단어|중요하다|to be important
2급 읽이 4과 2항 1단어|거실|living room
2급 읽이 4과 2항 2단어|부엌|kitchen
2급 읽이 4과 2항 3단어|현관|entrance
2급 읽이 4과 2항 4단어|베란다|veranda
2급 읽이 4과 2항 5단어|정리하다|to arrange or organize
2급 읽이 4과 2항 6단어|나중에|later
2급 읽이 4과 2항 7단어|새로|newly
2급 읽이 4과 2항 8단어|편리하다|to be convenient
2급 읽이 4과 2항 9단어|동네|neighborhood
2급 읽이 4과 2항 10단어|미용실|hair salon
2급 읽이 4과 2항 11단어|찜질방|jjimjilbang (Korean dry sauna)
2급 읽이 4과 2항 12단어|세탁소|laundry or dry cleaner's
2급 읽이 4과 2항 13단어|건물|building
2급 읽이 4과 2항 14단어|사용하다|to use
2급 읽이 4과 2항 15단어|룸메이트|roommate
2급 읽이 5과 1항 1단어|고추장|Gochujang (red pepper paste)
2급 읽이 5과 1항 2단어|식초|vinegar
2급 읽이 5과 1항 3단어|설탕|sugar
2급 읽이 5과 1항 4단어|뿌리다|to sprinkle
2급 읽이 5과 1항 5단어|넣다|to add or put in
2급 읽이 5과 1항 6단어|찍다|to dip
2급 읽이 5과 1항 7단어|비비다|to mix
2급 읽이 5과 1항 8단어|닭고기|chicken
2급 읽이 5과 1항 9단어|채소|vegetables
2급 읽이 5과 1항 10단어|만두|steamed bun or dumpling
2급 읽이 5과 1항 11단어|양념|seasoning
2급 읽이 5과 1항 12단어|직접|directly or personally
2급 읽이 5과 1항 13단어|소스|sauce
2급 읽이 5과 1항 14단어|음료|drink
2급 읽이 5과 1항 15단어|무료|free of charge
2급 읽이 5과 1항 16단어|파전|Pajeon (green onion pan-fried in batter)
2급 읽이 5과 1항 17단어|파|green onion
2급 읽이 5과 1항 18단어|중에서|from among
2급 읽이 5과 1항 19단어|설렁탕|Seolleongtang (beef and rice soup)
2급 읽이 5과 1항 20단어|소고기|beef
2급 읽이 5과 1항 21단어|국|soup or broth
2급 읽이 5과 1항 22단어|말다|to put into soup or mix with
2급 읽이 5과 1항 23단어|소금|salt
2급 읽이 5과 1항 24단어|반찬|side dish
2급 읽이 5과 1항 25단어|깍두기|Kkakdugi (diced radish kimchi)
2급 읽이 5과 1항 26단어|치맥|chicken and beer
2급 읽이 5과 1항 27단어|대구|Daegu
2급 읽이 5과 1항 28단어|페스티벌|festival
2급 읽이 5과 1항 29단어|선택하다|to choose
2급 읽이 5과 1항 30단어|메뉴|menu
2급 읽이 5과 1항 31단어|프라이드치킨|fried chicken
2급 읽이 5과 1항 32단어|콘서트|concert
2급 읽이 5과 2항 1단어|면|noodles
2급 읽이 5과 2항 2단어|삶다|to boil
2급 읽이 5과 2항 3단어|볶다|to stir-fry
2급 읽이 5과 2항 4단어|냄비|pot
2급 읽이 5과 2항 5단어|접시|plate
2급 읽이 5과 2항 6단어|썰다|to cut or chop
2급 읽이 5과 2항 7단어|프라이팬|frypan
2급 읽이 5과 2항 8단어|덜다|to put
2급 읽이 5과 2항 9단어|따로|separately
2급 읽이 5과 2항 10단어|실수|mistake
2급 읽이 5과 2항 11단어|잃어버리다|to lose
2급 읽이 5과 2항 12단어|섞다|to mix
2급 읽이 5과 2항 13단어|삼계탕|samgyetang (ginseng chicken broth)
2급 읽이 5과 2항 14단어|인삼|ginseng
2급 읽이 5과 2항 15단어|대추|jujube
2급 읽이 5과 2항 16단어|방법|method
2급 읽이 5과 2항 17단어|두부|tofu
2급 읽이 5과 2항 18단어|마늘|garlic
2급 읽이 5과 2항 19단어|끓이다|to boil
2급 읽이 5과 2항 20단어|돼지고기|pork
2급 읽이 5과 2항 21단어|햄|ham
2급 읽이 5과 2항 22단어|잡채|japchae (clear noodles stir-fried with beef and vegetables)
2급 읽이 5과 2항 23단어|재료|ingredient
2급 읽이 5과 2항 24단어|당면|clear noodles
2급 읽이 5과 2항 25단어|버섯|mushroom
2급 읽이 5과 2항 26단어|당근|carrot
2급 읽이 5과 2항 27단어|양파|onion
2급 읽이 5과 2항 28단어|달걀|egg
2급 읽이 5과 2항 29단어|시금치|spinach
2급 읽이 5과 2항 30단어|다지다|to mince
2급 읽이 5과 2항 31단어|참기름|sesame oil
2급 읽이 5과 2항 32단어|후추|black pepper
2급 읽이 5과 2항 33단어|끓다|to boil
2급 읽이 5과 2항 34단어|꺼내다|to take out
2급 읽이 5과 2항 35단어|부치다|to fry or griddle
2급 읽이 5과 2항 36단어|담다|to put in
2급 읽이 6과 1항 1단어|식료품|groceries
2급 읽이 6과 1항 2단어|생활용품|living products
2급 읽이 6과 1항 3단어|냉동식품|frozen food
2급 읽이 6과 1항 4단어|생수|spring water
2급 읽이 6과 1항 5단어|치약|toothpaste
2급 읽이 6과 1항 6단어|이불|blanket
2급 읽이 6과 1항 7단어|라면|ramen
2급 읽이 6과 1항 8단어|손님|customer
2급 읽이 6과 1항 9단어|여러분|all of you; ladies and gentlemen
2급 읽이 6과 1항 10단어|방문하다|to visit
2급 읽이 6과 1항 11단어|장을 보다|to go grocery shopping
2급 읽이 6과 1항 12단어|특히|especially
2급 읽이 6과 1항 13단어|도시락|packed lunch
2급 읽이 6과 1항 14단어|택배|package
2급 읽이 6과 2항 1단어|패션잡화|fashion goods
2급 읽이 6과 2항 2단어|가전제품|electric home appliances
2급 읽이 6과 2항 3단어|스포츠용품|sporting goods
2급 읽이 6과 2항 4단어|장갑|gloves
2급 읽이 6과 2항 5단어|축구화|soccer shoes
2급 읽이 6과 2항 6단어|식당가|food court
2급 읽이 6과 2항 7단어|인터넷쇼핑|internet shopping
2급 읽이 6과 2항 8단어|빙수|shaved ice with syrup
2급 읽이 6과 2항 9단어|쿠폰|coupon
2급 읽이 6과 2항 10단어|고속터미널|express bus terminal
2급 읽이 6과 2항 11단어|상가|shopping mall
2급 읽이 6과 2항 12단어|비교하다|to compare
2급 읽이 6과 2항 13단어|생필품|daily necessity
2급 읽이 6과 2항 14단어|클릭|click
2급 읽이 6과 2항 15단어|회원|member
2급 읽이 7과 1항 1단어|양복|a suit
2급 읽이 7과 1항 2단어|흰색|white
2급 읽이 7과 1항 3단어|블라우스|blouse
2급 읽이 7과 1항 4단어|분홍색|pink
2급 읽이 7과 1항 5단어|원피스|one-piece dress
2급 읽이 7과 1항 6단어|하늘색|sky-blue
2급 읽이 7과 1항 7단어|운동복|sportswear
2급 읽이 7과 1항 8단어|어울리다|to match with or go together
2급 읽이 7과 1항 9단어|에스엔에스(SNS)|social networking service
2급 읽이 7과 1항 10단어|회색|gray
2급 읽이 7과 1항 11단어|디자인|design
2급 읽이 7과 1항 12단어|립스틱|lipstick
2급 읽이 7과 1항 13단어|유행이다|to be in fashion or popular
2급 읽이 7과 1항 14단어|로션|lotion
2급 읽이 7과 1항 15단어|베스트|best
2급 읽이 7과 1항 16단어|모양|appearance or form
2급 읽이 7과 1항 17단어|매우|very or excessively
2급 읽이 7과 2항 1단어|사이즈|size
2급 읽이 7과 2항 2단어|비슷하다|to be similar
2급 읽이 7과 2항 3단어|맞다|to fit
2급 읽이 7과 2항 4단어|화려하다|to be ornate or gorgeous
2급 읽이 7과 2항 5단어|쇼핑백|shopping bag
2급 읽이 7과 2항 6단어|까맣다|to be black
2급 읽이 7과 2항 7단어|파랗다|to be blue
2급 읽이 7과 2항 8단어|하얗다|to be white
2급 읽이 7과 2항 9단어|빨갛다|to be red
2급 읽이 7과 2항 10단어|사실|fact
2급 읽이 7과 2항 11단어|마트|mart
2급 읽이 7과 2항 12단어|갈색|brown
2급 읽이 7과 2항 13단어|의미|meaning
2급 읽이 7과 2항 14단어|홈쇼핑|home shopping
2급 읽이 7과 2항 15단어|무늬|pattern
2급 읽이 7과 2항 16단어|단순하다|to be simple
2급 읽이 7과 2항 17단어|올리다|to place on top of something
2급 읽이 7과 2항 18단어|체크무늬|checkered pattern
2급 읽이 7과 2항 19단어|넘다|to go over or exceed
2급 읽이 8과 1항 1단어|동아리|student club
2급 읽이 8과 1항 2단어|동창회|alumni association
2급 읽이 8과 1항 3단어|동호회|workplace club
2급 읽이 8과 1항 4단어|모임|meeting or gathering
2급 읽이 8과 1항 5단어|송별회|farewell party
2급 읽이 8과 1항 6단어|환영회|reception
2급 읽이 8과 1항 7단어|환영하다|to welcome
2급 읽이 8과 1항 8단어|초대하다|to invite
2급 읽이 8과 1항 9단어|서두르다|to hurry
2급 읽이 8과 1항 10단어|보라색|purple
2급 읽이 8과 1항 11단어|뒤풀이|afterparty
2급 읽이 8과 1항 12단어|맛집|popular local restaurant
2급 읽이 8과 1항 13단어|초대장|invitation card
2급 읽이 8과 1항 14단어|미리|in advance
2급 읽이 8과 1항 15단어|다들|everyone
2급 읽이 8과 2항 1단어|집들이|housewarming party
2급 읽이 8과 2항 2단어|와인|wine
2급 읽이 8과 2항 3단어|병문안|visiting someone who is sick
2급 읽이 8과 2항 4단어|찻잔|tea set or teacup
2급 읽이 8과 2항 5단어|샴페인|champagne
2급 읽이 8과 2항 6단어|디지털카메라|digital camera
2급 읽이 8과 2항 7단어|화분|flowerpot
2급 읽이 8과 2항 8단어|급하다|to be in a hurry
2급 읽이 8과 2항 9단어|갈비찜|galbi-jjim
2급 읽이 8과 2항 10단어|샐러드|salad
2급 읽이 8과 2항 11단어|끝|end
2급 읽이 8과 2항 12단어|디퓨저|diffuser
2급 읽이 8과 2항 13단어|벽시계|wall clock
2급 읽이 8과 2항 14단어|두루마리|roll of paper
2급 읽이 8과 2항 15단어|향초|scented candle
2급 읽이 8과 2항 16단어|빈손|empty-handed
2급 읽이 9과 1항 1단어|아/야|(used after a name when being called)
2급 읽이 9과 1항 2단어|저희|we
2급 읽이 9과 1항 3단어|선배|upperclassman or senior
2급 읽이 9과 1항 4단어|전혀|entirely or not at all
2급 읽이 9과 1항 5단어|앞으로|from now on or in the future
2급 읽이 9과 1항 6단어|바로|immediately
2급 읽이 9과 1항 7단어|너희|you
2급 읽이 9과 1항 8단어|벌써|already
2급 읽이 9과 1항 9단어|그래|yes or okay
2급 읽이 9과 1항 10단어|이가/가|(placed after a name used as a subject of a sentence)
2급 읽이 9과 1항 11단어|무척|very or extremely
2급 읽이 9과 1항 12단어|드디어|finally
2급 읽이 9과 1항 13단어|학기|semester
2급 읽이 9과 1항 14단어|원하다|to want
2급 읽이 9과 1항 15단어|사흘|four days
2급 읽이 9과 1항 16단어|닷새|five days
2급 읽이 9과 1항 17단어|서른|thirty
2급 읽이 9과 1항 18단어|모이다|to gather
2급 읽이 9과 1항 19단어|인턴|intern or internship
2급 읽이 9과 1항 20단어|열흘|ten days
2급 읽이 9과 1항 21단어|이틀|two days
2급 읽이 9과 1항 22단어|살|years or age
2급 읽이 9과 1항 23단어|씻다|to wash or cleanse
2급 읽이 9과 2항 1단어|사흘|three days
2급 읽이 9과 2항 2단어|닷새|five days
2급 읽이 9과 2항 3단어|서른|thirty
2급 읽이 9과 2항 4단어|씻다|to wash
2급 읽이 9과 2항 5단어|연습|practice
2급 읽이 9과 2항 6단어|축하|celebration or congratulations
2급 읽이 9과 2항 7단어|열흘|ten days
2급 읽이 9과 2항 8단어|이틀|two days
2급 읽이 9과 2항 9단어|살|years old
2급 읽이 9과 2항 10단어|취소|cancellation
2급 읽이 9과 2항 11단어|지키다|to keep
2급 읽이 9과 2항 12단어|갑자기|suddenly or unexpectedly
2급 읽이 9과 2항 13단어|어쩔 수 없다|there is nothing one can do about something
2급 읽이 9과 2항 14단어|몸|body
2급 읽이 9과 2항 15단어|일주일|one week
2급 읽이 9과 2항 16단어|금방|soon or at once
2급 읽이 10과 1항 1단어|부탁을 하다|to ask a favor or make a request
2급 읽이 10과 1항 2단어|부탁이 있다|to have a request
2급 읽이 10과 1항 3단어|부탁을 받다|be asked a favor or receive a request
2급 읽이 10과 1항 4단어|부탁을 들어주다|to do a favor or fulfill a request
2급 읽이 10과 1항 5단어|입국|entry into a country or immigration
2급 읽이 10과 1항 6단어|고장 나다|to break
2급 읽이 10과 1항 7단어|그대로|as it is
2급 읽이 10과 1항 8단어|문화|culture
2급 읽이 10과 1항 9단어|설명|explanation
2급 읽이 10과 1항 10단어|사이|between
2급 읽이 10과 1항 11단어|걱정하다|to worry
2급 읽이 10과 1항 12단어|서비스센터|service center
2급 읽이 10과 1항 13단어|동양|Oriental
2급 읽이 10과 1항 14단어|적다|to write
2급 읽이 10과 2항 1단어|실례하다|excuse me
2급 읽이 10과 2항 2단어|저기|excuse me
2급 읽이 10과 2항 3단어|음|um
2급 읽이 10과 2항 4단어|어|uh
2급 읽이 10과 2항 5단어|자|okay
2급 읽이 10과 2항 6단어|아|ah
2급 읽이 10과 2항 7단어|저|well
2급 읽이 10과 2항 8단어|체크카드|debit card
2급 읽이 10과 2항 9단어|신분증|identification card
2급 읽이 10과 2항 10단어|글쎄요|well, let me see
2급 읽이 10과 2항 11단어|연장하다|to extend or prolong
2급 읽이 10과 2항 12단어|출입국관리사무소|Immigration Office
2급 읽이 10과 2항 13단어|서류|document
2급 읽이 10과 2항 14단어|재학증명서|certificate of student registration
2급 읽이 10과 2항 15단어|뵙다|to meet (used when meeting people above you)
2급 읽이 10과 2항 16단어|퇴근하다|to leave one's office or get off from work
2급 읽이 10과 2항 17단어|신청|registration
2급 읽이 10과 2항 18단어|지나가다|to go past
2급 읽이 10과 2항 19단어|음성안내기|voice guide
2급 문법 11과 1항 1단어|이태원역|Itaewon Station
2급 문법 11과 1항 2단어|을지로입구역|Euljiro-ipgu Station
2급 문법 11과 1항 3단어|홍대|Hongdae
2급 문법 11과 1항 4단어|반대|opposite
2급 문법 11과 1항 5단어|쪽|direction
2급 문법 11과 1항 6단어|노선도|route map
2급 문법 11과 1항 7단어|교통카드|transportation card
2급 문법 11과 1항 8단어|광화문|Gwanghwamun
2급 문법 11과 1항 9단어|노약자석|seats for the elderly
2급 문법 11과 1항 10단어|단말기|card reader
2급 문법 11과 1항 11단어|벨|bell
2급 문법 11과 1항 12단어|스크린도어|screen door
2급 문법 11과 1항 13단어|손잡이|doorknob
2급 문법 11과 1항 14단어|승강장|platform
2급 문법 11과 1항 15단어|여의도역|Yeouido Station
2급 문법 11과 1항 16단어|요금|rate or fee
2급 문법 11과 1항 17단어|종로|Jongno
2급 문법 11과 1항 18단어|줄|line
2급 문법 11과 1항 19단어|홍대입구역|Hongdae-ipgu Station
2급 문법 11과 1항 20단어|안전선|safety line
2급 문법 11과 1항 21단어|깨다|to wake up
2급 문법 11과 1항 22단어|내다|to pay
2급 문법 11과 1항 23단어|누르다|to press or push
2급 문법 11과 1항 24단어|대다|to put or apply
2급 문법 11과 1항 25단어|서다|to stand
2급 문법 11과 1항 26단어|열리다|to be opened
2급 문법 11과 2항 1단어|기사|driver
2급 문법 11과 2항 2단어|경복궁|Gyeongbok Palace
2급 문법 11과 2항 3단어|출퇴근|enter and leave one's office
2급 문법 11과 2항 4단어|밀리다|to be backed up
2급 문법 11과 2항 5단어|삼거리|three-way intersection
2급 문법 11과 2항 6단어|좌회전하다|to make a left turn
2급 문법 11과 2항 7단어|세우다|to stop
2급 문법 11과 2항 8단어|광장시장|Gwangjang market
2급 문법 11과 2항 9단어|우회전|right turn
2급 문법 11과 2항 10단어|좌회전|left turn
2급 문법 11과 2항 11단어|주차장|parking lot
2급 문법 11과 2항 12단어|막히다|to be stuck
2급 문법 11과 2항 13단어|유턴|U-turn
2급 문법 11과 2항 14단어|주차금지|no parking
2급 문법 11과 2항 15단어|직진|straight ahead
2급 문법 11과 2항 16단어|주차하다|to park
2급 문법 12과 1항 1단어|자꾸|frequently
2급 문법 12과 1항 2단어|잊어버리다|to forget
2급 문법 12과 1항 3단어|연습하다|to practice
2급 문법 12과 1항 4단어|외우다|to memorize
2급 문법 12과 1항 5단어|사용하다|to use
2급 문법 12과 1항 6단어|메모|memo
2급 문법 12과 1항 7단어|기억하다|to remember
2급 문법 12과 1항 8단어|버튼|button
2급 문법 12과 1항 9단어|끝내다|to end or finish
2급 문법 12과 1항 10단어|대답하다|to reply or answer
2급 문법 12과 1항 11단어|마치다|to end or finish
2급 문법 12과 1항 12단어|발표하다|to announce or make a presentation
2급 문법 12과 1항 13단어|지각하다|to be tardy or late
2급 문법 12과 1항 14단어|질문하다|to ask a question
2급 문법 12과 1항 15단어|출석하다|to attend or be present
2급 문법 12과 2항 1단어|신청하다|to apply
2급 문법 12과 2항 2단어|직접|in person or directly
2급 문법 12과 2항 3단어|신청서|application or registration form
2급 문법 12과 2항 4단어|내다|to turn in
2급 문법 12과 2항 5단어|결과|result
2급 문법 12과 2항 6단어|기간|time period
2급 문법 12과 2항 7단어|홈페이지|homepage
2급 문법 12과 2항 8단어|교환|exchange
2급 문법 12과 2항 9단어|등록|registration
2급 문법 12과 2항 10단어|등록금|registration fee
2급 문법 12과 2항 11단어|시간표|time schedule
2급 문법 12과 2항 12단어|취소|cancellation
2급 문법 12과 2항 13단어|휴학|temporary absence from school
2급 문법 13과 1항 1단어|체크카드|debit card
2급 문법 13과 1항 2단어|통장|bankbook
2급 문법 13과 1항 3단어|우선|first
2급 문법 13과 1항 4단어|서명하다|to sign one's name
2급 문법 13과 1항 5단어|잠시|a little while or moment
2급 문법 13과 1항 6단어|계좌번호|account number
2급 문법 13과 1항 7단어|공과금|utility bill
2급 문법 13과 1항 8단어|비밀번호|password
2급 문법 13과 1항 9단어|도장|seal or stamp
2급 문법 13과 1항 10단어|번호표|number ticket
2급 문법 13과 1항 11단어|부부|husband and wife
2급 문법 13과 1항 12단어|순서|order or sequence
2급 문법 13과 1항 13단어|저금|savings or deposit
2급 문법 13과 1항 14단어|현금자동인출기|automatic teller machine (ATM)
2급 문법 13과 1항 15단어|환전|exchange of money
2급 문법 13과 1항 16단어|씻다|to wash or cleanse
2급 문법 13과 1항 17단어|(돈을) 찾다|to withdraw (money)
2급 문법 13과 2항 1단어|소포|package or parcel
2급 문법 13과 2항 2단어|상자|box
2급 문법 13과 2항 3단어|포장하다|to wrap
2급 문법 13과 2항 4단어|저울|scale
2급 문법 13과 2항 5단어|올려놓다|to place on top of something
2급 문법 13과 2항 6단어|항공편|by airmail
2급 문법 13과 2항 7단어|배편|by ship
2급 문법 13과 2항 8단어|국제특급|Express Mail Service
2급 문법 13과 2항 9단어|길이|length
2급 문법 13과 2항 10단어|무게|weight
2급 문법 13과 2항 11단어|우편번호|zip code
2급 문법 13과 2항 12단어|크기|size
2급 문법 13과 2항 13단어|부치다|to send or ship
2급 문법 13과 2항 14단어|높이|height
2급 문법 13과 2항 15단어|봉투|envelope
2급 문법 13과 2항 16단어|우표|stamp
2급 문법 13과 2항 17단어|택배|package
2급 문법 13과 2항 18단어|낮다|to be low or short
2급 문법 13과 2항 19단어|높다|to be high or tall
2급 문법 14과 1항 1단어|이전|before
2급 문법 14과 1항 2단어|고장나다|to break down or be broken
2급 문법 14과 1항 3단어|서비스센터|service center
2급 문법 14과 1항 4단어|고치다|to repair or fix
2급 문법 14과 1항 5단어|검색하다|to search
2급 문법 14과 1항 6단어|속도|speed
2급 문법 14과 1항 7단어|동영상|video file
2급 문법 14과 1항 8단어|위치|position
2급 문법 14과 1항 9단어|계산하다|to calculate
2급 문법 14과 1항 10단어|녹음하다|to record
2급 문법 14과 1항 11단어|통화하다|to speak over the phone
2급 문법 14과 2항 1단어|방금|just now
2급 문법 14과 2항 2단어|함께|with
2급 문법 14과 2항 3단어|캠핑장|camping site
2급 문법 14과 2항 4단어|바비큐|barbeque
2급 문법 14과 2항 5단어|데려오다|to bring someone
2급 문법 14과 2항 6단어|농구공|basketball
2급 문법 14과 2항 7단어|남기다|to leave
2급 문법 14과 2항 8단어|지우다|to erase
2급 문법 14과 2항 9단어|답장|answer or reply
2급 문법 14과 2항 10단어|싸우다|to fight
2급 문법 14과 2항 11단어|확인하다|to confirm
2급 문법 14과 2항 12단어|가까이|near or nearby
2급 문법 14과 2항 13단어|따로|separately
2급 문법 14과 2항 14단어|멀리|far away
2급 문법 15과 1항 1단어|팀장|manager
2급 문법 15과 1항 2단어|서비스|service
2급 문법 15과 1항 3단어|중요하다|to be important
2급 문법 15과 1항 4단어|메뉴|menu
2급 문법 15과 1항 5단어|선택|selection or choice
2급 문법 15과 1항 6단어|남다|to remain
