Lesson and Index|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2A|Korean Sentence 2B|English Sentence 2A|English Sentence 2B
Lesson 13-3|-을걸요/ㄹ걸요|Used when making a guess about something that hasn't happened or something unsure about.|유키 씨는 바빠서 못 올걸요.|I don't think Yuki will be able to come because she's busy.|가: 레오 씨 전화번호를 아는 사람이 있어요?|나: 아마 주앙 씨가 알걸요.|A: Is there anyone who knows Leo's phone number?|B: Juang probably knows it.
Lesson 13-4|-거나 하면|Used to express that when a situation takes place, another situation will follow, or to make requests.|비가 오거나 눈이 내리거나 하면 무서워서 운전을 할 수 없어요.|If it rains or snows, I can't drive because I get scared.|가: 에릭 씨는 미국에 잘 도착했을까요?|나: 문제가 생겼거나 하면 전화를 했겠지요. 걱정하지 마세요.|A: Do you think Eric arrived safely in the U.S.?|B: If something had happened, he would have called. Don't worry.
Lesson 14-1|-느라고|Used to express that the preceding clause is the purpose or cause of the following clause, often with negative results.|주말에 아르바이트를 하느라고 쉬지 못했어요.|I was working my part-time job over the weekend, so I couldn't rest.|가: 어제 왜 학교에 안 왔어요?|나: 병원에 가느라고 못 왔어요.|A: Why weren't you at school yesterday?|B: I had to go to the hospital, so I couldn't make it to school.
Lesson 14-2|-는단/ㄴ단/단 말이에요?|Used to ask a question to confirm what was said, expressing disbelief or amazement.|올가 씨가 한국말을 잘한단 말이에요?|You're saying that Olga is good at Korean?|가: 제 동생은 5살인데 이번에 피아노 연주회를 해요.|나: 동생이 피아노를 그렇게 잘 친단 말이에요?|A: My younger sibling is 5 years old, but he will be putting on a piano performance this time.|B: You mean to say that your younger brother is that good at piano?
Lesson 14-3|-어다가/아다가/여다가|Used to state that an action is taken at one location and with its results, another action is taken elsewhere.|고향에 갈 때 어머니께 화장품을 사다가 드렸더니 아주 좋아하셨어요.|When I went back home, I bought cosmetics and gave it to my mom, and she loved it.|가: 배고프지? 우리 김밥이라도 사다가 먹을까?|나: 그래. 떡볶이도 사다가 먹자.|A: Are you hungry? How about we buy some gimbap to eat?|B: All right. Let's also buy some tteokbokki to eat.
Lesson 14-4|-다니요?|Used to express disbelief or amazement at something someone has said, or to negate their statement.|미선 씨가 김치를 싫어하다니요? 잘 먹던데요.|What do you mean Miseon doesn't like kimchi? She ate it really well.|가: 일요일 파티에 왜 안 왔어요?|나: 파티에 안 가다니요? 그날 제가 앞에 나가서 노래도 불렀잖아요.|A: Why didn't you come to the party on Sunday?|B: What do you mean, not go? I was sitting at the front and even sang a song that day.
Lesson 15-1|-는/은/ㄴ 걸 보니|Used to make a speculation based on something seen or observed.|누리가 계속 전화를 안 받는 걸 보니 오늘 정말 바쁜가 봐요.|Seeing that she is not answering the phone, she must be really busy today.|가: 우리 뭐 먹을까? 어느 식당이 유명한지 잘 모르겠네.|나: 사람들이 길게 줄을 선 걸 보니 저 식당 음식이 맛있나 봐. 우리도 저기에 가자.|A: What should we eat? I don't know which restaurant is famous.|B: Seeing as though there's a long line of people, that restaurant must have good food. Let's go there.
Lesson 15-2|-기만 하면 되다|Used to state that something ends when a final action is taken.|명절 선물은 다 준비했으니까 이제 보내기만 하면 됩니다.|I've already prepared the holiday gift, so all I need to do is send it.|가: 찌개 끓일 재료는 다 준비해 놓았니?|나: 네, 재료를 썰어서 냄비에 담고 양념도 넣었어요. 이제 끓이기만 하면 돼요.|A: Have you prepared all the ingredients to cook the stew?|B: Yes. I've chopped up the ingredients, placed them in a pot, and I've even added the seasoning. All that's left is to bring it to a boil.
Lesson 15-3|-곤 하다|Used to state that a repetitive action was taken during a set period of time.|주말에 할 일이 없으면 혼자 영화를 보러 가곤 해요.|I go to watch movies by myself when I have nothing to do on the weekends.|가: 우리 오늘 점심은 신촌역 앞에 있는 행복식당에서 먹을까?|나: 좋아. 대학생 때 거기에서 자주 먹곤 했는데. 그때가 생각난다.|A: Why don't we eat at Haengbok restaurant near Sinchon Station for lunch tomorrow?|B: Sure. I used to eat there often in college. I remember those days.
Lesson 15-4|-건 -건|Used to emphasize the following clause regardless of the situation, comparing two relative concepts.|잘하건 못하건 끝까지 하는 게 중요하지요.|Whether you're good at it or not, it's important that you keep at it until the end.|가: 저는 이번 달 모임에 가지 못할 것 같은데 회비를 안 내도 되겠지요?|나: 모임에 가건 안 가건 회비는 꼭 내야 한대요.|A: I don't think I'll be able to make it to this month's meeting. I don't have to pay the membership fee, right?|B: Whether you go to the meeting or not, you need to pay the membership fee.
Lesson 16-1|-는 사이에|Used to state that while an action was taking place, another action took place.|제가 잠깐 마트에 다녀오는 사이에 도둑이 집에 있던 돈을 가지고 갔어요.|While I was at the store, a thief came into the house and stole all my money.|가: 어떻게 강아지를 잃어버리셨어요?|나: 제가 공원에서 이웃을 만나서 잠깐 이야기하는 사이에 강아지가 없어졌어요.|A: How did you lose your puppy?|B: I met a neighbor in the park and while we were sharing a short conversation, my puppy disappeared.
Lesson 16-2|-는/은/ㄴ 척하다|Used to pretend to do something not actually done or state something untrue.|비밀을 알고 있으면서도 모르는 척했어요.|I knew the secret, but pretended as though I didn't.|가: 왜 엄마한테 혼났어요?|나: 공부하는 척하면서 만화책을 봤거든요.|A: Why did you get in trouble by your mom?|B: Because I pretended to be studying while reading a comic book.
Lesson 16-3|-지 그래요?|Used to make a proposal or recommendation.|안느 씨, 그렇게 아프면 약이라도 먹지 그래요?|Anne, why don't you take some medicine if you're that sick?|가: 동아리 모임 장소를 정해야 하는데 쉽지 않네요.|나: 교회 앞에 새로 생긴 '미소'에서 하지 그래요? 넓은 방이 있어요.|A: I'm trying to decide on a location for our club meeting, but it's not easy.|B: How about that newly opened place "Miso" in front of the church? It has some large rooms.
Lesson 16-4|-거든|Used to make requests, give instructions, or make promises given certain conditions are met.|동아리 행사가 끝나거든 모두 모임 장소로 오세요.|Once the club activity ends, come to the meeting location.|가: 엄마, 너무 걱정하지 마세요. 가서 열심히 할게요.|나: 그래, 공항에 도착하거든 바로 전화부터 해라.|A: Mom, don't worry so much. I'll go and do my best.|B: All right. Once you arrive at the airport, give me a call.
Lesson 17-1|-을지/ㄹ지 모르겠다|Used when unsure about a judgment that has been made.|동생이 이 선물을 좋아할지 모르겠어요.|I'm not sure if my younger sibling will like this gift.|가: 영수 씨, 우리 1시간 일찍 출발했으니까 회의 시간에 늦지는 않겠죠?|나: 글쎄요. 길이 많이 막혀서 제시간에 도착할지 모르겠네요.|A: Yeongsu, we left an hour early, so we probably won't be late to the meeting, right?|B: I don't know. I'm not sure we'll arrive on time since there's so much traffic.
Lesson 17-2|-고 해서|Used to show the preceding clause is one of many reasons for the following content.|어제는 비도 오고 해서 하루종일 집에만 있었어요.|It rained yesterday, so I just stayed at home all day.|가: 왜 '우정 커피숍'에 자주 가요?|나: 분위기도 좋고 해서 자주 가요.|A: Why do you go so often to "Friendship Coffee Shop"?|B: The atmosphere is nice so I go there often.
Lesson 17-3|-지|Used to express regret over what someone else did not do that was opposite to what was wanted.|내가 전에 이야기했을 때 병원에 가지.|You should've gone to the hospital when I told you to.|가: 어제 '너와 함께'라는 영화를 봤는데 진짜 재미있었어.|나: 보고 싶었던 영화인데 나도 좀 데리고 가지.|A: I watched the movie "With you" yesterday and it was so fun.|B: I wanted to watch it, too. You should've taken me with you.
Lesson 17-4|-을/ㄹ 텐데요|Used to strongly emphasize speculation, expressing concern, regret, or making proposals.|승환 씨는 독서를 좋아하니까 책을 선물하면 좋아할 텐데요.|Seunghwan likes to read, so it'd be nice to give him a book as a gift.|가: 미영 씨에게도 내일 같이 등산을 하자고 말해볼까요?|나: 미영 씨는 보통 주말에 부모님 댁에 가니까 시간이 안 될 텐데요.|A: Should we ask Miyeong if she wants to go hiking tomorrow?|B: Miyeong probably won't have time since she usually goes to see her parents on the weekends.
Lesson 18-1|-는다고/ㄴ다고/다고 해서|Used when an action is taken based on information heard or seen.|성적이 좋으면 장학금을 준다고 해서 열심히 공부하고 있어요.|I heard that scholarships will be given for good grades, so I'm studying hard.|가: 이번 휴가 때는 어디로 여행을 갈 거예요?|나: 경주에 역사 유적이 많다고 해서 경주에 갈까 해요.|A: Where are you going to do during the vacation?|B: I heard that there are many historical sites in Gyeongju, so I'm considering vacationing in Gyeongju.
Lesson 18-2|-었다가/았다가/였다가|Used to state that an unintentional situation resulted from carrying out an action.|백화점에 갔다가 초등학교 동창을 만났어요.|I went to the department store and happened to meet my elementary school classmate.|가: 어떻게 리나 씨랑 같이 와요? 같은 하숙집에 살아요?|나: 아니요, 편의점에 들렀다가 리나 씨를 만났어요.|A: How are you two coming together? Do you live in the same boarding house as Lina?|B: No, I stopped by the convenience store and happened to meet Lina there.
Lesson 18-3|-었다면/았다면/였다면|Used when supposing something that didn't happen in the past happened, or vice versa.|존이 도와주지 않았다면 이 일을 다 끝내지 못했을 거예요.|If John hadn't helped us, we wouldn't have been able to finish this.|가: 오늘 경기 결과가 대단한데요. 한 말씀 부탁드립니다.|나: 저 혼자 했다면 이런 결과는 없었을 겁니다. 도와주신 분들께 감사드립니다.|A: Today's match results are amazing. May I ask for your remarks?|B: If I were playing alone, this kind of result could not have been achieve. I'd like to thank everyone for their help.
Lesson 18-4|-을/ㄹ 수도 있다|Used to express there is a slight possibility of something happening.|금요일로 약속을 정하면 노리코 씨가 못 올 수도 있잖아요.|If we set the date for Friday, Noriko may not be able to make it.|가: 에릭 씨, 7시쯤 회사 앞에서 기다릴까요?|나: 좀 늦을 수도 있으니까 제가 다시 연락드릴게요.|A: Eric, should I wait in front of the company around 7 p.m.?|B: I may be late, so let me give you a call.
Lesson 19-1|-을/를 가지고|Used to show the preceding content is the tool, means, method, ingredient, or object of the following clause.|버리는 종이를 가지고 옷을 만들었어요.|I made clothes out of paper scraps.|가: 한국말을 잘하니까 한국 회사에 지원해보세요.|나: 이 정도 실력을 가지고 한국 회사에서 일할 수 있을까요?|A: You should apply for a position at a Korean company since you're good at Korean.|B: Can I work at a Korean company with this level of Korean?
Lesson 19-2|-었었다/았었다/였었다|Used to express past contents different from present, or temporary past actions.|작년 여름에 제주도에 갔었어요.|I went to Jeju Island last summer.|가: 이번 주말에 여자친구와 놀이공원에 가려고 해요.|나: 저도 지난 주말에 갔었는데 날씨가 좋아서 놀기 좋았어요.|A: I'm planning to go to the amusement park with my girlfriend this weekend.|B: I went last weekend, and the weather was so nice and perfect for playing.
Lesson 19-3|-이나/나|Used to express a choice that is more of an alternative rather than fully satisfactory.|나는 집에 가서 숙제나 해야겠다.|I should just go home and do my homework.|가: 주디야, 시험도 끝났는데 넌 오늘 뭐 할 거야?|나: 집에 가서 잠이나 자려고. 시험 때문에 긴장해서 그런지 너무 피곤해.|A: Judy, what are you doing today, now that exams are over?|B: I'm just going to go home and take a nap. Maybe it's because I was so nervous about the tests, but I'm exhausted.
Lesson 19-4|-을수록/ㄹ수록|Used to show that with progressive advancement, the degree of the following clause also changes.|한국말은 배울수록 재미있어요.|The more I study Korean, the more fun it is.|가: 패티 씨, 기분은 어때요? 좀 괜찮아졌어요?|나: 아니요. 생각할수록 화가 나요.|A: Patty, how are you feeling? Are you better now?|B: No. The more I think about it, the angrier I feel.
Lesson 20-1|-어/아/여 버리다|Used to express that an action has been completed with nothing remaining, often with wistful or relieved feelings.|스타일을 바꾸고 싶어서 머리를 짧게 잘라버렸어요.|I wanted to change my style, so I ended up cutting my hair short.|가: 어제 미선 씨하고 영화를 본다고 했잖아요. 재미있었어요?|나: 아니요, 미선 씨가 갑자기 집에 가버려서 영화를 못 봤어요.|A: You said you were going to watch a movie with Miseon yesterday. Was it fun?|B: No, Miseon suddenly ended up going home, so we couldn't watch the movie.
Lesson 20-2|-는/은/을 모양이다|Used to speculate about something based on what's seen or heard.|실력이 점점 좋아지는 걸 보면 요즘 연습을 열심히 하는 모양이에요.|It seems like you're practicing very hard these days, seeing as though your skills are progressively improving.|가: 출발할 시간이 다 됐는데 왜 안 올까요? 연락해보세요.|나: 에디 씨가 좀 늦을 모양이에요.|A: It's time to leave. Why isn't he coming? Give him a call.|B: It seems Eddie is running a bit late.
Lesson 20-3|-었을/았을/였을 텐데요|Used when assuming something has been completed or considering opposite results for ongoing actions.|민수는 오늘 회사에서 회식이 있다고 했으니까 저녁을 먹었을 텐데요.|Minsu said he had a company dinner today, so he probably already ate dinner.|가: 우산이 없으면 미리 연락을 하지. 그랬으면 데리러 갔을 텐데.|나: 가까운 거리니까 괜찮을 거라고 생각했어.|A: You should've called sooner if you didn't have an umbrella. Then, I would've gone to pick you up.|B: I thought it would be all right since it's so close by.
Lesson 20-4|-만 하다|Used to express the size or degree of a person or product being compared.|우리 형은 키가 저만해요.|My older brother is as tall as me.|가: 제임스 씨 고향은 얼마나 커요?|나: 우리 고향은 서울만한 것 같아요. 그렇게 크지 않아요.|A: James, how big is your hometown?|B: My hometown is about as big as Seoul, I believe. It's not that big.
