Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
25|1|2|Expanded|사회생활|social life|社會生活|company, meeting, life, live|사회생활 시작|starting social life|사회생활 적응|adapting to social life
26|1|2|Expanded|생년월일|date of birth|生年月日|life, year, month, day|생년월일 입력|entering date of birth|생년월일을 적다|to write date of birth
27|1|2|Expanded|성별|gender|性別|nature, separate|성별 선택|gender selection|성별에 관계없이|regardless of gender
28|1|2|Expanded|이력서|resume|履歷書|履歷書|이력서 작성|resume writing|이력서를 내다|to submit resume
29|1|2|Expanded|자기소개|self-introduction|自己紹介|self, self, introduce, open|간단한 자기소개|brief self-introduction|자기소개 시간|self-introduction time
30|1|2|Expanded|특기|special ability|特技|special, skill|특기 사항|special skills section|특기를 살리다|to utilize one's specialty
31|1|2|Expanded|학력|level of education|學力|study, power|학력 사항|educational background|학력을 쓰다|to write educational history
32|1|2|Expanded|도전하다|to challenge|挑戰하다|challenge, war, do|새로운 것에 도전하다|to challenge new things|도전 정신|challenging spirit
33|1|2|Expanded|합격하다|to pass|合格하다|fit, qualify, do|시험에 합격하다|to pass an exam|합격 통보|passing notification
34|2|1|Dialogue|개인적|personal|個人的|individual, person, -like|개인적인 문제|personal problem|개인적으로 생각하면|personally thinking
35|2|1|Dialogue|상담|counseling|相談|mutual, talk|진로 상담|career counseling|상담 받다|to receive counseling
36|2|1|Dialogue|상담실|counseling office|相談室|mutual, talk, room|학교 상담실|school counseling office|상담실로 가다|to go to counseling office
37|2|1|Dialogue|일정표|schedule|日程表|day, journey, table|주간 일정표|weekly schedule|일정표를 만들다|to make a schedule
38|2|1|Dialogue|가능하다|to be possible|可能하다|able, ability, do|가능한 시간|available time|가능하면|if possible
39|2|1|Dialogue|선택하다|to choose|選擇하다|choose, select, do|과목을 선택하다|to choose subjects|선택의 기회|opportunity to choose
40|2|1|Dialogue|이용하다|to use|利用하다|benefit, use, do|도서관을 이용하다|to use the library|이용 방법|how to use
41|2|1|Dialogue|그렇지않아도|as a matter of fact||that, not, also|그렇지않아도요|as a matter of fact|그렇지않아도 갈 거예요|I was going anyway
42|2|1|Expanded|상담내용|content of counseling|相談內容|mutual, talk, inside, contain|상담내용 기록|counseling content record|상담내용을 정리하다|to organize counseling content
43|2|1|Expanded|온라인상담|online counseling|相談|mutual, talk|온라인상담 신청|online counseling application|온라인상담 이용|using online counseling
44|2|1|Expanded|전화상담|phone counseling|電話相談|electric, word, mutual, talk|전화상담 예약|phone counseling reservation|전화상담 받다|to receive phone counseling
45|2|1|Expanded|진학상담|academic counseling|進學相談|advance, study, mutual, talk|대학 진학상담|college entrance counseling|진학상담 받기|getting academic counseling
46|2|1|Expanded|취업상담|career counseling|就業相談|get, work, mutual, talk|취업상담 진행|career counseling session|취업상담 예약|career counseling appointment
47|2|1|Expanded|면담하다|to have an interview|面談하다|face, talk, do|선생님과 면담하다|to have interview with teacher|면담 시간|interview time
48|2|1|Expanded|의논하다|to discuss|議論하다|discuss, theory, do|문제를 의논하다|to discuss problems|의논이 필요하다|discussion is needed
49|2|2|Dialogue|각자|each|各自|each, self|각자 준비물|each person's preparation|각자 하는 일|everyone's own work
50|2|2|Dialogue|전시회|exhibition|展示會|spread, show, meeting|미술 전시회|art exhibition|전시회 관람|exhibition viewing
51|2|2|Dialogue|가입하다|to sign up for|加入하다|add, enter, do|동아리에 가입하다|to join a club|가입 신청|membership application
52|2|2|Dialogue|돌아다니다|to go around||turn, around|마을 돌아다니다|to wander around town|돌아다니며 보다|to look around while walking
53|2|2|Dialogue|친하다|to be close||intimate|친한 친구|close friend|우리 많이 친해졌어요|we became very close
54|2|2|Dialogue|활동하다|to do an activity|活動하다|live, move, do|봉사 활동하다|to do volunteer work|활동 중이다|currently active
55|2|2|Expanded|국악|Korean traditional music|國樂|country, music|국악 공연|Korean traditional music performance|국악을 배우다|to learn Korean traditional music
56|2|2|Expanded|발표회|presentation|發表會|emit, express, meeting|학생 발표회|student presentation|발표회 준비|preparing for presentation
57|2|2|Expanded|연주회|performance|演奏會|perform, play, meeting|피아노 연주회|piano performance|연주회 관람|attending a performance
58|2|2|Expanded|합창|chorus|合唱|combine, sing|학교 합창|school chorus|합창 연습|chorus practice
59|2|2|Expanded|회원|member|會員|meeting, member|클럽 회원|club member|회원 가입|member registration
60|2|2|Expanded|회장|president|會長|meeting, chief|학생회 회장|student council president|회장 선거|president election
61|2|2|Expanded|들다1|to join||enter|동아리에 들다|to join a club|들고 싶은 모임|group I want to join
62|3|1|Dialogue|공간|space|空間|empty, between|작은 공간|small space|공간 활용|space utilization
63|3|1|Dialogue|단독주택|house|單獨住宅|single, alone, live, house|단독주택 거주|living in a house|단독주택 마을|house neighborhood
64|3|1|Dialogue|정원|garden|庭園|courtyard, garden|아름다운 정원|beautiful garden|정원 가꾸기|gardening
65|3|1|Dialogue|가꾸다|to grow||make, arrange|정원을 가꾸다|to tend a garden|꽃을 가꾸다|to grow flowers
66|3|1|Dialogue|갖추다1|to be equipped with||have, prepare|시설을 갖추다|to be equipped with facilities|갖춰진 아파트|well-equipped apartment
67|3|1|Dialogue|관리하다|to maintain|管理하다|manage, reason, do|건물을 관리하다|to maintain a building|관리 비용|maintenance cost
68|3|1|Dialogue|상쾌하다|to be fresh|爽快하다|fresh, pleasant, do|상쾌한 공기|fresh air|기분이 상쾌하다|to feel refreshed
69|3|1|Expanded|고층|high-rise|高層|high, layer|고층 아파트|high-rise apartment|고층 건물|tall building
70|3|1|Expanded|교육환경|educational environment|教育環境|teach, educate, environment, boundary|좋은 교육환경|good educational environment|교육환경 조성|creating educational environment
71|3|1|Expanded|자연환경|natural environment|自然環境|self, natural, environment, boundary|아름다운 자연환경|beautiful natural environment|자연환경 보호|protecting natural environment
72|3|1|Expanded|저층|low-rise|低層|low, layer|저층 주택|low-rise housing|저층 건물|low building
73|3|1|Expanded|편의시설|convenience facility|便宜施設|convenient, appropriate,施設|다양한 편의시설|various convenience facilities|편의시설 이용|using convenience facilities
74|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do|편리한 위치|convenient location|사용하기 편리하다|convenient to use
75|3|1|Expanded|환하다|to be bright|煥하다|bright, do|환한 방|bright room|밝게 환하다|bright and cheerful
76|3|2|Dialogue|난방|heating|暖房|warm, room|겨울 난방|winter heating|난방 비용|heating cost
77|3|2|Dialogue|냉방|air-conditioning|冷房|cold, room|여름 냉방|summer air conditioning|냉방 설비|cooling equipment
78|3|2|Dialogue|부동산|real estate agency|不動産|not, move, property|부동산 중개|real estate brokerage|부동산에 문의하다|to inquire at real estate agency
79|3|2|Dialogue|수도|water|水道|water, way|수도 요금|water bill|수도 공사|waterworks construction
80|3|2|Dialogue|신혼부부|newlyweds|新婚夫婦|new, marriage, husband, wife|신혼부부 집|newlyweds' home|신혼부부를 위한|for newlyweds
81|3|2|Dialogue|통하다|to circulate|通하다|pass, do|공기가 통하다|air circulates|통하는 창문|ventilating window
82|3|2|Dialogue|확실하다|to be sure|確實하다|certain, real, do|확실한 정보|reliable information|확실하게 알다|to know for sure
83|3|2|Dialogue|당연히|certainly|當然히|proper, natural, -ly|당연히 가야지|of course I should go|당연한 일|natural thing
84|3|2|Expanded|걸리다|to take time||hang|시간이 걸리다|to take time|걸리는 작업|time-consuming task
85|3|2|Expanded|깨지다|to be broken||break|유리가 깨지다|glass breaks|깨진 컵|broken cup
86|3|2|Expanded|꺼지다|to be turned off||extinguish|불이 꺼지다|light turns off|꺼진 전등|turned off light
87|3|2|Expanded|꽂히다|to be stuck||stick|콘센트에 꽂히다|plugged into outlet|꽂힌 플러그|plugged plug
88|3|2|Expanded|끊기다|to be cut off||cut|전화가 끊기다|call gets disconnected|끊긴 통화|disconnected call
89|3|2|Expanded|놓이다|to be placed||place|책상에 놓이다|placed on desk|놓인 물건|placed object
90|3|2|Expanded|닫히다|to be closed||close|문이 닫히다|door closes|닫힌 문|closed door
91|3|2|Expanded|들리다|to be heard||hear|소리가 들리다|sound is heard|들리는 음악|audible music
92|3|2|Expanded|먹히다|to be eaten||eat|음식이 먹히다|food gets eaten|먹힌 밥|eaten rice
93|3|2|Expanded|바뀌다|to be changed||change|계획이 바뀌다|plan changes|바뀐 일정|changed schedule
94|3|2|Expanded|보이다1|to be seen||see|산이 보이다|mountain is visible|보이는 풍경|visible scenery
95|3|2|Expanded|쌓이다|to be accumulated||pile|눈이 쌓이다|snow accumulates|쌓인 먼지|accumulated dust
96|3|2|Expanded|쓰이다|to be used for||use|공부에 쓰이다|used for studying|쓰인 돈|money used
97|3|2|Expanded|씻기다1|to be washed||wash|옷이 씻기다|clothes get washed|씻긴 접시|washed dishes
98|3|2|Expanded|안기다|to be held||hold|아이가 안기다|child gets hugged|안긴 느낌|feeling of being held
99|3|2|Expanded|잡히다|to be caught||catch|도둑이 잡히다|thief gets caught|잡힌 물고기|caught fish
100|3|2|Expanded|쫓기다|to be chased||chase|개에게 쫓기다|chased by dog|쫓기는 꿈|dream of being chased
101|3|2|Expanded|찍히다|to be poked||poke|주사에 찍히다|get a shot|찍힌 자리|injection site
102|3|2|Expanded|찢어지다|to be torn||tear|종이가 찢어지다|paper tears|찢어진 책|torn book
103|3|2|Expanded|켜지다|to be turned on||light|TV가 켜지다|TV turns on|켜진 컴퓨터|turned on computer
104|3|2|Expanded|팔리다|to be sold||sell|책이 팔리다|book sells|팔린 상품|sold product
105|4|1|Dialogue|비용|cost|費用|expense, use|이사 비용|moving cost|비용이 들다|to cost money
106|4|1|Dialogue|예정|plan|豫定|advance, decide|다음 주 예정|planned for next week|예정대로|as planned
107|4|1|Dialogue|포장이사|packing and moving service|包裝移徙|wrap, dress, move, change|포장이사 업체|packing and moving company|포장이사 신청|applying for packing service
108|4|1|Dialogue|들다2|to cost||enter|돈이 들다|to cost money|드는 비용|incurring costs
109|4|1|Dialogue|챙기다|to pack or to take||prepare|짐을 챙기다|to pack luggage|챙길 물건|things to pack
110|4|1|Dialogue|혹시|perhaps|或是|perhaps, be|혹시 시간 되나요?|are you free by any chance?|혹시 모르니까|just in case
111|4|1|Expanded|싸다|to pack||wrap|짐을 싸다|to pack bags|싼 박스|packed box
112|4|1|Expanded|옮기다|to move||move|집을 옮기다|to move house|옮긴 가구|moved furniture
113|4|1|Expanded|잡다|to set||catch|일정을 잡다|to set a schedule|잡은 시간|set time
114|4|1|Expanded|정리하다|to organize|整理하다|arrange, reason, do|방을 정리하다|to clean room|정리된 상태|organized state
115|4|2|Dialogue|벌금|fine|罰金|punish, money|주차 벌금|parking fine|벌금 내다|to pay fine
116|4|2|Dialogue|비닐|plastic||vinyl|비닐 봉지|plastic bag|비닐 사용|plastic use
117|4|2|Dialogue|재활용품|recyclables|再活用品|again, live, use, product|재활용품 분리|recycling separation|재활용품 수거|recycling collection
118|4|2|Dialogue|두다|to leave||put|여기에 두다|to leave here|둔 자리|left spot
119|4|2|Dialogue|버리다|to throw away||throw|쓰레기를 버리다|to throw away trash|버린 물건|discarded item
120|4|2|Dialogue|따로따로|separately||separately|따로따로 준비|prepare separately|따로따로 두다|to keep separately
121|4|2|Dialogue|제대로|correctly|제대로|properly|제대로 하다|to do properly|제대로 된|properly done
122|4|2|Expanded|건전지|battery|乾電池|dry, electric, pond|건전지 교체|battery replacement|건전지가 다 됐다|battery died
123|4|2|Expanded|종량제봉투|standard plastic trash bag|從量制封套|follow, amount, system, seal, bag|종량제봉투 구매|buying standard bags|종량제봉투에 버리다|to throw in standard bag
124|4|2|Expanded|음식물쓰레기|food trash|飲食物쓰레기|drink, eat, thing, trash|음식물쓰레기 처리|food waste disposal|음식물쓰레기 봉투|food waste bag
125|4|2|Expanded|일반쓰레기|non-food trash|一般쓰레기|one, general, trash|일반쓰레기 수거|general waste collection|일반쓰레기통|general trash can
126|4|2|Expanded|형광등|fluorescent light|螢光燈|firefly, light, lamp|형광등 교체|fluorescent light replacement|형광등 불|fluorescent light
127|4|2|Expanded|가득하다|to be full||full|가득한 상자|full box|가득 채우다|to fill completely
128|4|2|Expanded|치우다|to clean||remove|방을 치우다|to clean room|치운 자리|cleaned spot
129|5|1|Dialogue|기본적|basic|基本的|foundation, main, -like|기본적인 규칙|basic rules|기본적으로|basically
130|5|1|Dialogue|첫인상|first impression|첫印象|first, seal, image|좋은 첫인상|good first impression|첫인상이 중요하다|first impression matters
131|5|1|Dialogue|놀라다|to be surprised||surprise|갑자기 놀라다|suddenly surprised|놀란 표정|surprised expression
132|5|1|Dialogue|당황스럽다|to be taken aback|當慌스럽다|proper, confused, -like|당황스러운 상황|embarrassing situation|당황스럽게 만들다|to make embarrassed
133|5|1|Dialogue|창피하다|to be embarrassed||shame|창피한 일|embarrassing thing|창피해하지 마|don't be embarrassed
134|5|1|Dialogue|찾아뵈다|to visit||find, see|선생님을 찾아뵈다|to visit teacher|찾아뵐 기회|opportunity to visit
135|5|1|Dialogue|쳐다보다|to look at||hit, look|똑바로 쳐다보다|to look straight at|쳐다보지 마|don't stare
136|5|1|Dialogue|깜짝|with surprise||surprise|깜짝 놀라다|to be startled|깜짝 선물|surprise gift
137|5|1|Expanded|겨우|only||barely|겨우 도착|barely arrived|겨우 맞췄다|barely made it
138|5|1|Expanded|결국|ultimately|結局|tie, situation|결국 실패|ultimately failed|결국에는|in the end
139|5|1|Expanded|괜히|uselessly||needlessly|괜히 왔나?|did I come for nothing?|괜히 한 말|unnecessary words
140|5|1|Expanded|되게|very||become|되게 어렵다|very difficult|되게 예쁘다|very pretty
141|5|1|Expanded|잔뜩|to the full||full|잔뜩 들었다|completely full|잔뜩 신났다|very excited
142|5|1|Expanded|차츰|little by little||gradually|차츰 나아지다|gradually improving|차츰차츰|little by little
143|5|1|Expanded|하도|so much||so|하도 바빠서|because so busy|하도 예뻐서|because so pretty
144|5|2|Dialogue|영양|nutrition|營養|manage, nourish|영양 섭취|nutrition intake|영양 문제|nutrition issues
145|5|2|Dialogue|간단하다|to be simple|簡單하다|simple, single, do|간단한 식사|simple meal|간단하게 해결|simply solved
146|5|2|Dialogue|서투르다|to not be good at||clumsy|서투른 솜씨|clumsy skill|한국어가 서툴러요|my Korean is clumsy
147|5|2|Dialogue|풍부하다|to be abundant|豐富하다|rich, wealthy, do|풍부한 경험|abundant experience|영양이 풍부하다|nutritiously rich
148|5|2|Dialogue|골고루|evenly||evenly|골고루 먹다|to eat evenly|골고루 배분|even distribution
149|5|2|Dialogue|한꺼번에|all at once||one, time|한꺼번에 하다|to do all at once|한꺼번에 오다|to come all together
150|5|2|Expanded|간식|snack|間食|between, eat|간식 시간|snack time|간식 먹다|to eat snack
151|5|2|Expanded|끼|number of meals||meal|하루 세 끼|three meals a day|끼니를 거르다|to skip meals
152|5|2|Expanded|야식|late night snack|夜食|night, eat|야식 먹기|eating late night snack|야식 자주 먹다|to often eat late snacks
153|5|2|Expanded|인스턴트식품|instant foods|食品|eat, product|인스턴트식품 섭취|instant food consumption|인스턴트식품 줄이기|reducing instant foods
154|5|2|Expanded|조리시간|cooking time|調理時間|adjust, reason, time, between|짧은 조리시간|short cooking time|조리시간 단축|reducing cooking time
155|5|2|Expanded|간편하다|to be convenient|簡便하다|simple, convenient, do|간편한 조리|convenient cooking|간편하게 먹다|to eat conveniently
156|5|2|Expanded|굶다|to starve||starve|밥을 굶다|to skip meals|굶은 상태|starving state
157|6|1|Dialogue|국제진료센터|International Health Care Center|國際診療센터|country, border, diagnose, treat, center|국제진료센터 방문|visiting int'l health center|국제진료센터 예약|appointment at int'l health center
158|6|1|Dialogue|기온|temperature|氣溫|air, warm|낮은 기온|low temperature|기온 변화|temperature change
159|6|1|Dialogue|당일|same-day|當日|correspond, day|당일 치기|same-day trip|당일 예약|same-day reservation
160|6|1|Dialogue|아침저녁|mornings and evenings||morning, evening|아침저녁으로|in mornings and evenings|아침저녁 쌀쌀하다|cool in morning/evening
161|6|1|Dialogue|진찰|medical examination|診察|diagnose, examine|진찰 받다|to get examined|진찰 결과|examination results
162|6|1|Dialogue|내려가다|to go down||down, go|계단 내려가다|to go down stairs|내려갈 때 조심|be careful going down
163|6|1|Dialogue|앓다|to be sick with||to be ill|감기를 앓다|to have a cold|앓고 난 후|after being sick
164|6|1|Expanded|수납|payment|收納|receive, pay|진료비 수납|medical fee payment|수납 창구|payment window
165|6|1|Expanded|식후|after meals|食後|eat, after|식후 30분|30 minutes after meal|식후 약|after-meal medicine
166|6|1|Expanded|접수|registration|接受|receive, accept|접수 마감|registration deadline|접수 완료|registration completed
167|6|1|Expanded|진찰실|treatment room|診察室|diagnose, examine, room|진찰실 대기|waiting in treatment room|진찰실 들어가다|to enter treatment room
168|6|1|Expanded|처방전|prescription|處方箋|handle, direction, slip|처방전 받다|to get prescription|처방전 지참|bringing prescription
169|6|1|Expanded|체온|body temperature|體溫|body, warm|체온 측정|body temperature measurement|체온이 높다|high body temperature
170|6|1|Expanded|체중|weight|體重|body, heavy|체중 감량|weight loss|체중 관리|weight management
171|6|1|Expanded|복용하다|to intake|服用하다|take, use, do|약을 복용하다|to take medicine|복용 시간|medication time
172|6|2|Dialogue|발목|ankle||foot, neck|발목 삐다|to sprain ankle|발목 부상|ankle injury
173|6|2|Dialogue|뼈|bone||bone|팔 뼈|arm bone|뼈가 아프다|bone hurts
174|6|2|Dialogue|엑스레이|x-ray||X-ray (loanword)|엑스레이 촬영|x-ray imaging|엑스레이 결과|x-ray results
175|6|2|Dialogue|진통제|painkiller|鎭痛劑|suppress, pain, medicine|진통제 복용|taking painkillers|진통제 효과|painkiller effect
176|6|2|Dialogue|회복|recovery|回復|return, restore|빠른 회복|quick recovery|회복 기간|recovery period
177|6|2|Dialogue|삐다|to sprain||to twist|발목을 삐다|to sprain ankle|삔 부위|sprained area
178|6|2|Dialogue|처방하다|to prescribe|處方하다|handle, direction, do|약을 처방하다|to prescribe medicine|처방받은 약|prescribed medicine
179|6|2|Dialogue|촬영하다|to take a photograph or to film|撮影하다|take, shadow, do|사진 촬영하다|to take photos|촬영한 영상|filmed video
180|6|2|Expanded|안과|ophthalmology|眼科|eye, subject|안과 진료|ophthalmology treatment|안과 예약|eye doctor appointment
181|6|2|Expanded|여드름|pimples||acne|여드름 치료|acne treatment|여드름 나다|to get pimples
182|6|2|Expanded|정형외과|orthopedics|整形外科|correct, form, outside, subject|정형외과 병원|orthopedic hospital|정형외과 상담|orthopedic consultation
183|6|2|Expanded|증상|symptoms|症狀|symptom, condition|감기 증상|cold symptoms|증상 호전|symptom improvement
184|6|2|Expanded|피부과|dermatology|皮膚科|skin, skin, subject|피부과 방문|dermatology visit|피부과 치료|skin treatment
185|6|2|Expanded|가렵다|to be itchy||to itch|피부가 가렵다|skin itches|가려운 곳|itchy spot
186|6|2|Expanded|쓰러지다|to collapse||to fall down|갑자기 쓰러지다|suddenly collapse|쓰러진 사람|collapsed person
187|6|2|Expanded|어지럽다|to be dizzy||to be confused|머리가 어지럽다|head feels dizzy|어지러운 느낌|dizzy feeling
188|7|1|Dialogue|일시|date and time|日時|day, time|공연 일시|performance date/time|일시 변경|date/time change
189|7|1|Dialogue|좌석|seats|座席|sit, seat|좌석 배치|seat arrangement|좌석 예매|seat reservation
190|7|1|Dialogue|대단하다|to be great|大端하다|big, end, do|대단한 사람|great person|대단하게 생각하다|to think highly of
191|7|1|Dialogue|매진되다|to be sold out|賣盡되다|sell, exhaust, become|티켓 매진되다|tickets sold out|매진된 공연|sold out performance
192|7|1|Dialogue|상영하다|to show or put on the screen|上映하다|up, reflect, do|영화 상영하다|to screen a movie|상영 중인 영화|currently screening movie
193|7|1|Dialogue|그리|not very||not so|그리 어렵지 않다|not that difficult|그리 많이|not that much
194|7|1|Expanded|경기장|stadium|競技場|compete, skill, place|야구 경기장|baseball stadium|경기장 입장|stadium entrance
195|7|1|Expanded|공연장|performance hall|公演場|public, perform, place|공연장 안내|performance hall guidance|공연장 찾기|finding performance hall
196|7|1|Expanded|관람객|audience|觀覽客|watch, view, guest|많은 관람객|many audience members|관람객 안내|audience guidance
197|7|1|Expanded|상영관|theater|上映館|up, reflect, building|영화 상영관|movie theater|상영관 번호|theater number
198|7|1|Expanded|경기하다|to play a match|競技하다|compete, skill, do|축구 경기하다|to play soccer match|경기하는 모습|playing the game
199|7|1|Expanded|공연하다|to perform|公演하다|public, perform, do|뮤지컬 공연하다|to perform musical|공연하는 예술가|performing artist
200|7|1|Expanded|관람하다|to watch|觀覽하다|watch, view, do|연극 관람하다|to watch play|관람 후기|viewing review
201|7|2|Dialogue|감동|inspiration|感動|feel, move|큰 감동|big inspiration|감동 주는 이야기|touching story
202|7|2|Dialogue|세계적|world-class|世界的|world, boundary, target|세계적 명성|worldwide fame|세계적으로 유명|world-famous
203|7|2|Dialogue|연기|acting|演技|perform, skill|훌륭한 연기|excellent acting|연기력이 좋다|good acting skills
204|7|2|Dialogue|주인공|protagonist|主人公|main, person, public|영화 주인공|movie protagonist|주인공 역할|main character role
205|7|2|Dialogue|알려지다|to become known||to be known|세계에 알려지다|become known worldwide|알려진 사실|known fact
206|7|2|Dialogue|표현하다|to express|表現하다|express, appear, do|감정을 표현하다|to express emotions|표현 방식|way of expression
207|7|2|Dialogue|훌륭하다|to be superb or excellent||to be excellent|훌륭한 성과|excellent results|훌륭하게 해내다|to accomplish excellently
208|7|2|Expanded|감동적|to be touching|感動的|feel, move, target|감동적인 영화|touching movie|감동적으로 표현|expressed touchingly
209|7|2|Expanded|대사|lines|臺詞|platform, words|연기 대사|acting lines|대사를 외우다|to memorize lines
210|7|2|Expanded|무대|stage|舞臺|dance, platform|공연 무대|performance stage|무대 위에서|on stage
211|7|2|Expanded|작품|work of art|作品|make, item|예술 작품|artwork|작품 감상|appreciating works
212|7|2|Expanded|주제|theme|主題|main, topic|주요 주제|main theme|주제 곡|theme song
213|7|2|Expanded|환상적|fantastic|幻想的|illusion, think, target|환상적인 경치|fantastic scenery|환상적으로 아름답다|fantastically beautiful
214|7|2|Expanded|신나다|to be excited||spirit, come out|여행이 신나다|excited about trip|신나는 음악|exciting music
215|7|2|Expanded|지루하다|to be boring||to drag on|지루한 수업|boring class|지루해하지 마|don't get bored
216|8|1|Dialogue|규칙적|routine|規則的|rule, then, target|규칙적인 생활|regular lifestyle|규칙적으로 운동|exercising regularly
217|8|1|Dialogue|기운|energy||energy, spirit|기운이 없다|no energy|기운을 내|cheer up
218|8|1|Dialogue|습관|habit|習慣|learn, accustom|좋은 습관|good habit|습관 들이다|to form habit
219|8|1|Dialogue|식욕|appetite|食慾|eat, desire|식욕 부진|loss of appetite|식욕이 없다|no appetite
220|8|1|Dialogue|불규칙하다|to be irregular|不規則하다|not, rule, then, do|불규칙한 생활|irregular lifestyle|불규칙하게 먹다|to eat irregularly
221|8|1|Dialogue|대충|haphazardly||roughly|대충 하다|to do roughly|대충 넘어가다|to skip over roughly
222|8|1|Dialogue|뜻대로|according to plan||meaning, according to|뜻대로 되다|to go as planned|뜻대로 안 된다|not going as planned
223|8|1|Expanded| 과식|overeating|過食|exceed, eat|과식 주의|caution against overeating|과식하지 마라|don't overeat
224|8|1|Expanded|과음|excessive drinking|過飮|exceed, drink|과음 금지|no excessive drinking|과음한 다음 날|day after heavy drinking
225|8|1|Expanded|금연|no smoking|禁煙|forbid, smoke|금연 구역|no smoking area|금연 실천|practicing no smoking
226|8|1|Expanded|금주|no drinking|禁酒|forbid, alcohol|금주 선언|declaration of no drinking|금주 기간|alcohol-free period
227|8|1|Expanded|소식|light eating|小食|small, eat|소식 생활|light eating lifestyle|소식 하다|to eat lightly
228|8|1|Expanded|음주|drinking|飮酒|drink, alcohol|음주 운전|drunk driving|음주 문제|drinking problems
229|8|1|Expanded|편식|be picky about food|偏食|lean, eat|편식 고치기|fixing picky eating|편식하는 아이|picky eater child
230|8|1|Expanded|흡연|smoking|吸煙|inhale, smoke|흡연 장소|smoking area|흡연 자제|refraining from smoking
231|8|1|Expanded|게으르다|to be lazy||to be lazy|게으른 사람|lazy person|게으르게 행동|acting lazily
232|8|1|Expanded|끊다|to quit||to cut off|담배 끊다|to quit smoking|끊은 지 오래|quit long ago
233|8|1|Expanded|부지런하다|to be hard-working||to be diligent|부지런한 학생|diligent student|부지런하게 일하다|to work diligently
234|8|2|Dialogue|안색|complexion|顔色|face, color|안색이 안 좋다|complexion looks bad|안색 회복|complexion recovery
235|8|2|Dialogue|영양제|nutritional supplements|營養劑|manage, nourish, medicine|영양제 복용|taking supplements|영양제 효과|supplement effects
236|8|2|Dialogue|헬스클럽|gym||health club (loanword)|헬스클럽 등록|gym registration|헬스클럽 이용|using the gym
237|8|2|Dialogue|내다|to make time||to take out|시간을 내다|to make time|내 준 시간|time made available
238|8|2|Dialogue|밤늦게|late at night||night, late|밤늦게까지|until late at night|밤늦게 일하다|working late at night
