Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Frequency
443|15|1|Dialogue|기르다|to cultivate||raise, grow|1643
54|2|2|Dialogue|활동하다|to do an activity|活動하다|live, move, do|1648
452|15|1|Dialogue|상상하다|to imagine|想像하다|think, image, do|1653
259|9|1|Expanded|갇히다|to get locked in||to be confined|1663
559|19|1|Dialogue|차다|to kick||kick|1665
64|3|1|Dialogue|정원|garden|庭園|courtyard, garden|1676
370|12|2|Dialogue|여유|leisure|餘裕|leftover, abundant|1684
128|4|2|Expanded|치우다|to clean||remove|1692
150|5|2|Expanded|간식|snack|間食|between, eat|1719
265|9|2|Dialogue|맡기다|to leave||to entrust|1724
90|3|2|Expanded|닫히다|to be closed||close|1785
101|3|2|Expanded|찍히다|to be poked||poke|1789
209|7|2|Expanded|대사|lines|臺詞|platform, words|1830
604|20|2|Dialogue|물가|price|物價|thing, price|1831
451|15|1|Dialogue|최고|best|最高|most, high|1835
183|6|2|Expanded|증상|symptoms|症狀|symptom, condition|1845
304|10|1|Expanded|나타내다|to show||to reveal|1868
217|8|1|Dialogue|기운|energy||energy, spirit|1874
67|3|1|Dialogue|관리하다|to maintain|管理하다|manage, reason, do|1898
363|12|1|Dialogue|코스|course||course|1909
201|7|2|Dialogue|감동|inspiration|感動|feel, move|1911
239|8|2|Dialogue|적당히|appropriately|適當히|fit, appropriate, adverb|1933
298|10|1|Dialogue|들키다|to be found out||to be caught|1988
376|12|2|Dialogue|굉장하다|to be great|宏壯하다|vast, magnificent, do|1999
296|10|1|Dialogue|감추다|to hide||to conceal|2024
270|9|2|Expanded|녹다|to melt||to melt|2046
66|3|1|Dialogue|갖추다1|to be equipped with||have, prepare|2061
436|14|2|Dialogue|갖추다|to possess||have, prepare|2061
85|3|2|Expanded|깨지다|to be broken||break|2109
3|1|1|Dialogue|동기|classmate|同期|same, period|2146
513|17|2|Dialogue|후회하다|to regret|後悔하다|after, regret, do|2222
411|13|2|Dialogue|판매하다|to sell|販賣하다|sell, sell, do|2228
357|12|1|Dialogue|기타|other|其他|other, other|2243
506|17|1|Dialogue|조심스럽다|to be careful|小心스럽다|small, heart, -like|2250
333|11|1|Dialogue|단점|demerits|短點|short, point|2255
532|18|2|Dialogue|과제|assignment|課題|lesson, matter|2261
467|15|2|Dialogue|일자리|job||work, place|2280
515|17|2|Dialogue|곤란하다|to be difficult or awkward|困難하다|difficult, hard, do|2290
35|2|1|Dialogue|상담|counseling|相談|mutual, talk|2294
269|9|2|Expanded|낮추다|to lower||day, make low|2311
430|14|2|Dialogue|주의하다|to be cautious about|注意하다|pour, meaning, do|2321
151|5|2|Expanded|끼|number of meals||meal|2341
289|9|2|Expanded|입히다|to make someone put on||to make wear|2351
514|17|2|Dialogue|거절하다|to refuse|拒絶하다|resist, cut, do|2403
313|10|2|Dialogue|놀리다|to make fun of||to tease|2466
598|20|1|Expanded|오토바이|motorcycle||auto, bike|2493
522|18|1|Dialogue|겹치다|to overlap with||overlap|2502
59|2|2|Expanded|회원|member|會員|meeting, member|2511
445|15|1|Dialogue|오디션|audition||audition|2534
484|16|2|Dialogue|발음|pronunciation|發音|emit, sound|2546
268|9|2|Expanded|깨우다|to wake up||to awaken|2549
606|20|2|Dialogue|주고받다|to give and take||give, receive|2551
413|14|1|Dialogue|우정|friendship|友情|friend, emotion|2569
176|6|2|Dialogue|회복|recovery|回復|return, restore|2633
149|5|2|Dialogue|한꺼번에|all at once||one, time|2636
592|20|1|Expanded|밴드|bandaid||band|2644
317|10|2|Expanded|까먹다|to forget||to forget|2656
579|20|1|Dialogue|필수|requirement; a must|必須|certain, need|2659
362|12|1|Dialogue|전용|for specific use only|專用|special, use|2693
255|9|1|Expanded|부상|injury|負傷|carry, wound|2694
102|3|2|Expanded|찢어지다|to be torn||tear|2709
9|1|1|Expanded|강의|lecture|講義|speak, meaning|2724
380|12|2|Dialogue|자랑스럽다|to be proud of||boast, -like|2728
383|13|1|Dialogue|가죽|leather||skin, hide|2759
189|7|1|Dialogue|좌석|seats|座席|sit, seat|2794
523|18|1|Dialogue|들르다|to stop by||stop by|2829
163|6|1|Dialogue|앓다|to be sick with||to be ill|2855
496|17|1|Dialogue|번역|translation|飜譯|turn over, translate|2860
172|6|2|Dialogue|발목|ankle||foot, neck|2870
87|3|2|Expanded|꽂히다|to be stuck||stick|2929
10|1|1|Expanded|과목|subject|科目|section, item|2941
251|9|1|Dialogue|큰일|big trouble||big, work|2955
371|12|2|Dialogue|역사적|historical|歷史的|history, record, -like|2965
321|10|2|Expanded|오해하다|to misunderstand|誤解하다|mistake, understand, do|2973
610|20|2|Dialogue|보험|insurance|保險|protect, risk|3004
512|17|2|Dialogue|실망하다|to be disappointed|失望하다|lose, hope, do|3011
147|5|2|Dialogue|풍부하다|to be abundant|豐富하다|rich, wealthy, do|3016
50|2|2|Dialogue|전시회|exhibition|展示會|spread, show, meeting|3032
342|11|2|Dialogue|휴식|rest|休息|rest, cease|3036
454|15|2|Dialogue|경력|work experience|經歷|pass, history|3073
456|15|2|Dialogue|면접|interview|面接|face, connect|3078
173|6|2|Dialogue|뼈|bone||bone|3085
346|11|2|Dialogue|체험하다|to experience|體驗하다|body, experience, do|3109
322|10|2|Expanded|착각하다|to mistakenly think|錯覺하다|mistake, feel, do|3175
194|7|1|Expanded|경기장|stadium|競技場|compete, skill, place|3185
133|5|1|Dialogue|창피하다|to be embarrassed||shame|3186
416|14|1|Dialogue|젊은이|young people||young, person|3233
75|3|1|Expanded|환하다|to be bright|煥하다|bright, do|3306
81|3|2|Dialogue|통하다|to circulate|通하다|pass, do|3330
500|17|1|Dialogue|갑작스럽다|to be sudden|突然스럽다|sudden, -like|3346
253|9|1|Dialogue|급히|rush|急히|urgent, adverb|3351
51|2|2|Dialogue|가입하다|to sign up for|加入하다|add, enter, do|3362
382|12|2|Dialogue|평화롭다|to be peaceful|平和롭다|flat, harmony, -like|3365
96|3|2|Expanded|쓰이다|to be used for||use|3423
187|6|2|Expanded|어지럽다|to be dizzy||to be confused|3450
398|13|2|Dialogue|게시판|bulletin board|揭示板|reveal, show, board|3472
490|16|2|Dialogue|조언|advice|助言|help, word|3662
432|14|2|Dialogue|길거리|street||road, place|3664
505|17|1|Dialogue|사랑스럽다|to be lovable|사랑스럽다|love, -like|3672
215|7|2|Expanded|지루하다|to be boring||to drag on|3755
330|11|1|Dialogue|알아듣다|to understand||know, hear|3763
78|3|2|Dialogue|부동산|real estate agency|不動産|not, move, property|3837
558|19|1|Dialogue|지다|to lose||lose|3838
278|9|2|Expanded|속다|to be fooled||to be deceived|3839
92|3|2|Expanded|먹히다|to be eaten||eat|3849
427|14|2|Dialogue|예의|etiquette|禮儀|courtesy, ceremony|3874
156|5|2|Expanded|굶다|to starve||starve|3891
453|15|1|Dialogue|존경하다|to respect|尊敬하다|respect, respect, do|3899
33|1|2|Expanded|합격하다|to pass|合格하다|fit, qualify, do|3912
115|4|2|Dialogue|벌금|fine|罰金|punish, money|3917
415|14|1|Dialogue|양국|two countries|兩國|both, country|3955
400|13|2|Dialogue|쇼핑몰|shopping mall||shopping, mall|3959
483|16|2|Dialogue|사실|actually|事實|thing, real|3965
79|3|2|Dialogue|수도|water|水道|water, way|4005
473|16|1|Dialogue|말없이|wordlessly||word, without|4081
356|12|1|Dialogue|경비|expenses|經費|pass, expenses|4111
472|16|1|Dialogue|까다롭다|to be picky||picky|4116
170|6|1|Expanded|체중|weight|體重|body, heavy|4178
258|9|1|Expanded|틈|gap||gap|4280
510|17|2|Dialogue|섭섭하다|to be upset||disappointed|4287
166|6|1|Expanded|접수|registration|接受|receive, accept|4299
385|13|1|Dialogue|안심|peace of mind|安心|peaceful, heart|4311
263|9|2|Dialogue|수리|repair|修理|fix, manage|4329
386|13|1|Dialogue|재킷|jacket||jacket|4378
387|13|1|Dialogue|고급스럽다|to be luxurious|高級스럽다|high, level, -like|4443
21|1|2|Dialogue|낯설다|to be unfamiliar||face, strange|4448
489|16|2|Dialogue|틀림없이|undoubtedly||error, without|4450
402|13|2|Dialogue|품질|quality|品質|product, quality|4475
199|7|1|Expanded|공연하다|to perform|公演하다|public, perform, do|4509
228|8|1|Expanded|음주|drinking|飮酒|drink, alcohol|4510
315|10|2|Dialogue|상하다|to be offended|傷하다|wound, do|4522
132|5|1|Dialogue|당황스럽다|to be taken aback|當慌스럽다|proper, confused, -like|4524
98|3|2|Expanded|안기다|to be held||hold|4540
337|11|1|Dialogue|수집하다|to gather|收集하다|collect, gather, do|4564
148|5|2|Dialogue|골고루|evenly||evenly|4593
316|10|2|Dialogue|알아주다|to understand someone's intention||to know, give|4625
437|14|2|Dialogue|양보하다|to give up one's seat|讓步하다|yield, step, do|4738
331|11|1|Dialogue|자세하다|to be specific|仔細하다|minute, careful, do|4740
29|1|2|Expanded|자기소개|self-introduction|自己紹介|self, self, introduce, open|4762
74|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do|4780
364|12|1|Dialogue|넉넉하다|to be plentiful||ample|4841
284|9|2|Expanded|앉히다|to sit someone down||to make sit|4844
327|11|1|Dialogue|봉사|community service|奉仕|offer, serve|4855
343|11|2|Dialogue|불교|Buddhism|佛敎|Buddha, teach|4858
88|3|2|Expanded|끊기다|to be cut off||cut|4867
300|10|1|Dialogue|그만|to happen to||just, only|4888
575|20|1|Dialogue|메모리|memory||memory|4891
8|1|1|Dialogue|입학하다|to enroll|入學하다|enter, study, do|4930
169|6|1|Expanded|체온|body temperature|體溫|body, warm|5003
341|11|2|Dialogue|일상생활|daily life|日常生活|day, usual, life, live|5036
457|15|2|Dialogue|용돈|spending money|用돈|use, money|5058
213|7|2|Expanded|환상적|fantastic|幻想的|illusion, think, target|5087
275|9|2|Expanded|먹이다|to feed||to make eat|5119
373|12|2|Dialogue|묵다|to stay the night||stay|5163
208|7|2|Expanded|감동적|to be touching|感動的|feel, move, target|5222
486|16|2|Dialogue|걱정스럽다|to be worrisome| 걱정스럽다|worry, -like|5259
195|7|1|Expanded|공연장|performance hall|公演場|public, perform, place|5307
181|6|2|Expanded|여드름|pimples||acne|5318
248|9|1|Dialogue|선반|top shelf|線盤|line, plate|5368
196|7|1|Expanded|관람객|audience|觀覽客|watch, view, guest|5379
608|20|2|Dialogue|유익하다|to be beneficial|有益하다|have, benefit, do|5392
319|10|2|Expanded|사이좋다|to have a good relationship||between, good|5461
375|12|2|Dialogue|찾아다니다|to look for||find, around|5543
65|3|1|Dialogue|가꾸다|to grow||make, arrange|5584
408|13|2|Dialogue|질|quality|質|quality|5628
596|20|1|Expanded|알레르기|allergy||allergy|5645
442|15|1|Dialogue|자부심|pride|自負心|self, carry, heart|5686
379|12|2|Dialogue|반하다|to fall in love with|反하다|against, do|5739
142|5|1|Expanded|차츰|little by little||gradually|5767
602|20|1|Expanded|휠체어|wheelchair||wheel, chair|5800
159|6|1|Dialogue|당일|same-day|當日|correspond, day|5803
27|1|2|Expanded|성별|gender|性別|nature, separate|5812
466|15|2|Dialogue|생활비|living expenses|生活費|life, live, expenses|5852
130|5|1|Dialogue|첫인상|first impression|첫印象|first, seal, image|5915
392|13|1|Dialogue|신형|new model|新型|new, model|5920
200|7|1|Expanded|관람하다|to watch|觀覽하다|watch, view, do|5925
68|3|1|Dialogue|상쾌하다|to be fresh|爽快하다|fresh, pleasant, do|5927
104|3|2|Expanded|팔리다|to be sold||sell|5952
240|8|2|Dialogue|정신없이|busily|精神없이|spirit, soul, without, adverb|5982
264|9|2|Dialogue|화면|screen|畫面|picture, surface|6046
5|1|1|Dialogue|전문가|specialist|專門家|special, gate, person|6071
116|4|2|Dialogue|비닐|plastic||vinyl|6147
272|9|2|Expanded|눕히다|to lay down||to make lie down|6159
155|5|2|Expanded|간편하다|to be convenient|簡便하다|simple, convenient, do|6165
4|1|1|Dialogue|신입생|new student|新入生|new, enter, student|6272
279|9|2|Expanded|속이다|to fool||to deceive|6287
290|9|2|Expanded|재우다|to make someone go to sleep||to make sleep|6295
294|10|1|Dialogue|속마음|inner feelings||inside, heart|6328
288|9|2|Expanded|읽히다|to make someone read||to make read|6349
184|6|2|Expanded|피부과|dermatology|皮膚科|skin, skin, subject|6425
14|1|1|Expanded|장학금|scholarship|獎學金|reward, study, money|6470
30|1|2|Expanded|특기|special ability|特技|special, skill|6473
471|16|1|Dialogue|괴로워하다|to be tormented||suffer, do|6520
502|17|1|Dialogue|수입하다|to import|輸入하다|transport, enter, do|6549
488|16|2|Dialogue|쓸데없이|needlessly||use, place, without|6609
526|18|1|Dialogue|술자리|meeting with drinks||alcohol, place|6623
231|8|1|Expanded|게으르다|to be lazy||to be lazy|6783
273|9|2|Expanded|늦추다|to delay||to make late|6795
266|9|2|Dialogue|번거롭다|troublesome||to be bothersome|6805
395|13|1|Dialogue|신제품|new product|新製品|new, make, product|6845
48|2|1|Expanded|의논하다|to discuss|議論하다|discuss, theory, do|6886
367|12|1|Dialogue|입장료|entrance fee|入場料|enter, place, fee|6970
588|20|1|Expanded|핸들|steering wheel||handle|7065
424|14|1|Dialogue|초청하다|to invite|招請하다|call, invite, do|7080
384|13|1|Dialogue|의류|clothing|衣類|clothes, category|7133
501|17|1|Dialogue|귀하다|to be precious|貴重하다|precious, heavy, do|7152
235|8|2|Dialogue|영양제|nutritional supplements|營養劑|manage, nourish, medicine|7183
164|6|1|Expanded|수납|payment|收納|receive, pay|7300
16|1|1|Expanded|졸업생|graduate|卒業生|finish, work, student|7375
219|8|1|Dialogue|식욕|appetite|食慾|eat, desire|7513
491|16|2|Dialogue|충고|warning|忠告|loyal, tell|7685
234|8|2|Dialogue|안색|complexion|顔色|face, color|7693
299|10|1|Dialogue|부끄러워하다|to be embarrassed||to feel ashamed|7794
325|10|2|Expanded|화해하다|to make amends|和解하다|harmony, understand, do|7799
152|5|2|Expanded|야식|late night snack|夜食|night, eat|7874
410|13|2|Dialogue|소비하다|to consume|消費하다|use, spend, do|7911
31|1|2|Expanded|학력|level of education|學力|study, power|7924
531|18|1|Dialogue|친분|acquaintance|親分|intimate, portion|8057
499|17|1|Dialogue|통역|interpretation|通譯|pass, translate|8133
23|1|2|Dialogue|입사하다|to join a company|入社하다|enter, company, do|8164
459|15|2|Dialogue|관계없이|without|關係없이|relation, connection, without|8221
25|1|2|Expanded|사회생활|social life|社會生活|company, meeting, life, live|8265
216|8|1|Dialogue|규칙적|routine|規則的|rule, then, target|8276
403|13|2|Dialogue|환불|refund|還拂|return, wipe|8297
601|20|1|Expanded|캠퍼스|campus||campus|8353
56|2|2|Expanded|발표회|presentation|發表會|emit, express, meeting|8491
69|3|1|Expanded|고층|high-rise|高層|high, layer|8598
334|11|1|Dialogue|사용법|usage manual|使用法|use, use, method|8639
464|15|2|Dialogue|초보자|beginner|初步者|begin, step, person|8642
100|3|2|Expanded|쫓기다|to be chased||chase|8668
76|3|2|Dialogue|난방|heating|暖房|warm, room|8692
462|15|2|Dialogue|등록금|tuition|登錄金|climb, record, money|8722
332|11|1|Dialogue|대강|roughly|大綱|big, outline|8935
540|18|2|Dialogue|부자연스럽다|to be unnatural|不自然스럽다|not, self, natural, -like|8956
425|14|2|Dialogue|빈손|empty-handed|빈손|empty, hand|8962
233|8|1|Expanded|부지런하다|to be hard-working||to be diligent|8995
469|16|1|Dialogue|사고방식|way of thinking|思考方式|think, consider, method, style|9083
171|6|1|Expanded|복용하다|to intake|服用하다|take, use, do|9182
80|3|2|Dialogue|신혼부부|newlyweds|新婚夫婦|new, marriage, husband, wife|9522
271|9|2|Expanded|녹이다|to melt something||to make melt|9541
426|14|2|Dialogue|실용적|practical|實用的|real, use, -like|9627
97|3|2|Expanded|씻기다1|to be washed||wash|9632
283|9|2|Expanded|씻기다2|to wash something||to make wash|9632
389|13|1|Dialogue|절약하다|to save|節約하다|save, promise, do|9714
535|18|2|Dialogue|별일|special plans|別事|separate, matter|9727
55|2|2|Expanded|국악|Korean traditional music|國樂|country, music|9792
329|11|1|Dialogue|문의하다|to inquire|問議하다|ask, discuss, do|9793
409|13|2|Dialogue|판매자|seller|販賣者|sell, sell, person|10089
545|18|2|Dialogue|불확실하다|to be uncertain|不確實하다|not, certain, real, do|10186
175|6|2|Dialogue|진통제|painkiller|鎭痛劑|suppress, pain, medicine|10191
121|4|2|Dialogue|제대로|correctly|제대로|properly|10401
120|4|2|Dialogue|따로따로|separately||separately|10491
122|4|2|Expanded|건전지|battery|乾電池|dry, electric, pond|10782
585|20|1|Expanded|플러그|plug||plug|10841
58|2|2|Expanded|합창|chorus|合唱|combine, sing|10858
320|10|2|Expanded|어기다|to break a promise||to violate|10869
185|6|2|Expanded|가렵다|to be itchy||to itch|10940
548|19|1|Dialogue|민속놀이|traditional folk games|民俗놀이|people, custom, play|11088
174|6|2|Dialogue|엑스레이|x-ray||X-ray (loanword)|11095
503|17|1|Dialogue|다행스럽다|to be fortunate|多幸스럽다|many, fortunate, -like|11142
352|11|2|Expanded|판소리|pansori||pan, sound|11181
594|20|1|Expanded|쇼핑백|shopping bag||shopping, bag|11211
126|4|2|Expanded|형광등|fluorescent light|螢光燈|firefly, light, lamp|11239
57|2|2|Expanded|연주회|performance|演奏會|perform, play, meeting|11278
13|1|1|Expanded|입학식|enrollment ceremony|入學式|enter, study, ceremony|11295
463|15|2|Dialogue|시급|hourly wage|時給|time, give|11425
520|18|1|Dialogue|별미|delicacy|別味|separate, taste|11611
549|19|1|Dialogue|윷놀이|Yunnori||yut, play|11888
