Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation
66|3|1|Dialogue|갖추다1|to be equipped with||have, prepare
67|3|1|Dialogue|관리하다|to maintain|管理하다|manage, reason, do
68|3|1|Dialogue|상쾌하다|to be fresh|爽快하다|fresh, pleasant, do
69|3|1|Expanded|고층|high-rise|高層|high, layer
70|3|1|Expanded|교육환경|educational environment|教育環境|teach, educate, environment, boundary
71|3|1|Expanded|자연환경|natural environment|自然環境|self, natural, environment, boundary
72|3|1|Expanded|저층|low-rise|低層|low, layer
73|3|1|Expanded|편의시설|convenience facility|便宜施設|convenient, appropriate,施設
74|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do
75|3|1|Expanded|환하다|to be bright|煥하다|bright, do
76|3|2|Dialogue|난방|heating|暖房|warm, room
77|3|2|Dialogue|냉방|air-conditioning|冷房|cold, room
78|3|2|Dialogue|부동산|real estate agency|不動産|not, move, property
79|3|2|Dialogue|수도|water|水道|water, way
80|3|2|Dialogue|신혼부부|newlyweds|新婚夫婦|new, marriage, husband, wife
81|3|2|Dialogue|통하다|to circulate|通하다|pass, do
82|3|2|Dialogue|확실하다|to be sure|確實하다|certain, real, do
83|3|2|Dialogue|당연히|certainly|當然히|proper, natural, -ly
84|3|2|Expanded|걸리다|to take time||hang
85|3|2|Expanded|깨지다|to be broken||break
86|3|2|Expanded|꺼지다|to be turned off||extinguish
87|3|2|Expanded|꽂히다|to be stuck||stick
88|3|2|Expanded|끊기다|to be cut off||cut
89|3|2|Expanded|놓이다|to be placed||place
90|3|2|Expanded|닫히다|to be closed||close
91|3|2|Expanded|들리다|to be heard||hear
92|3|2|Expanded|먹히다|to be eaten||eat
93|3|2|Expanded|바뀌다|to be changed||change
94|3|2|Expanded|보이다1|to be seen||see
95|3|2|Expanded|쌓이다|to be accumulated||pile
96|3|2|Expanded|쓰이다|to be used for||use
97|3|2|Expanded|씻기다1|to be washed||wash
98|3|2|Expanded|안기다|to be held||hold
99|3|2|Expanded|잡히다|to be caught||catch
100|3|2|Expanded|쫓기다|to be chased||chase
101|3|2|Expanded|찍히다|to be poked||poke
102|3|2|Expanded|찢어지다|to be torn||tear
103|3|2|Expanded|켜지다|to be turned on||light
104|3|2|Expanded|팔리다|to be sold||sell
105|4|1|Dialogue|비용|cost|費用|expense, use
106|4|1|Dialogue|예정|plan|豫定|advance, decide
107|4|1|Dialogue|포장이사|packing and moving service|包裝移徙|wrap, dress, move, change
108|4|1|Dialogue|들다2|to cost||enter
109|4|1|Dialogue|챙기다|to pack or to take||prepare
110|4|1|Dialogue|혹시|perhaps|或是|perhaps, be
111|4|1|Expanded|싸다|to pack||wrap
112|4|1|Expanded|옮기다|to move||move
113|4|1|Expanded|잡다|to set||catch
114|4|1|Expanded|정리하다|to organize|整理하다|arrange, reason, do
115|4|2|Dialogue|벌금|fine|罰金|punish, money
116|4|2|Dialogue|비닐|plastic||vinyl
117|4|2|Dialogue|재활용품|recyclables|再活用品|again, live, use, product
118|4|2|Dialogue|두다|to leave||put
119|4|2|Dialogue|버리다|to throw away||throw
120|4|2|Dialogue|따로따로|separately||separately
121|4|2|Dialogue|제대로|correctly|제대로|properly
122|4|2|Expanded|건전지|battery|乾電池|dry, electric, pond
123|4|2|Expanded|종량제봉투|standard plastic trash bag|從量制封套|follow, amount, system, seal, bag
124|4|2|Expanded|음식물쓰레기|food trash|飲食物쓰레기|drink, eat, thing, trash
125|4|2|Expanded|일반쓰레기|non-food trash|一般쓰레기|one, general, trash
126|4|2|Expanded|형광등|fluorescent light|螢光燈|firefly, light, lamp
127|4|2|Expanded|가득하다|to be full||full
128|4|2|Expanded|치우다|to clean||remove
129|5|1|Dialogue|기본적|basic|基本的|foundation, main, -like
130|5|1|Dialogue|첫인상|first impression|첫印象|first, seal, image
131|5|1|Dialogue|놀라다|to be surprised||surprise
132|5|1|Dialogue|당황스럽다|to be taken aback|當慌스럽다|proper, confused, -like
133|5|1|Dialogue|창피하다|to be embarrassed||shame
134|5|1|Dialogue|찾아뵈다|to visit||find, see
135|5|1|Dialogue|쳐다보다|to look at||hit, look
136|5|1|Dialogue|깜짝|with surprise||surprise
137|5|1|Expanded|겨우|only||barely
138|5|1|Expanded|결국|ultimately|結局|tie, situation
139|5|1|Expanded|괜히|uselessly||needlessly
140|5|1|Expanded|되게|very||become
141|5|1|Expanded|잔뜩|to the full||full
142|5|1|Expanded|차츰|little by little||gradually
143|5|1|Expanded|하도|so much||so
144|5|2|Dialogue|영양|nutrition|營養|manage, nourish
145|5|2|Dialogue|간단하다|to be simple|簡單하다|simple, single, do
146|5|2|Dialogue|서투르다|to not be good at||clumsy
147|5|2|Dialogue|풍부하다|to be abundant|豐富하다|rich, wealthy, do
148|5|2|Dialogue|골고루|evenly||evenly
149|5|2|Dialogue|한꺼번에|all at once||one, time
150|5|2|Expanded|간식|snack|間食|between, eat
151|5|2|Expanded|끼|number of meals||meal
152|5|2|Expanded|야식|late night snack|夜食|night, eat
153|5|2|Expanded|인스턴트식품|instant foods|食品|eat, product
154|5|2|Expanded|조리시간|cooking time|調理時間|adjust, reason, time, between
155|5|2|Expanded|간편하다|to be convenient|簡便하다|simple, convenient, do
156|5|2|Expanded|굶다|to starve||starve
157|6|1|Dialogue|국제진료센터|International Health Care Center|國際診療센터|country, border, diagnose, treat, center
158|6|1|Dialogue|기온|temperature|氣溫|air, warm
159|6|1|Dialogue|당일|same-day|當日|correspond, day
160|6|1|Dialogue|아침저녁|mornings and evenings||morning, evening
161|6|1|Dialogue|진찰|medical examination|診察|diagnose, examine
162|6|1|Dialogue|내려가다|to go down||down, go
163|6|1|Dialogue|앓다|to be sick with||to be ill
164|6|1|Expanded|수납|payment|收納|receive, pay
165|6|1|Expanded|식후|after meals|食後|eat, after
166|6|1|Expanded|접수|registration|接受|receive, accept
167|6|1|Expanded|진찰실|treatment room|診察室|diagnose, examine, room
168|6|1|Expanded|처방전|prescription|處方箋|handle, direction, slip
169|6|1|Expanded|체온|body temperature|體溫|body, warm
170|6|1|Expanded|체중|weight|體重|body, heavy
171|6|1|Expanded|복용하다|to intake|服用하다|take, use, do
172|6|2|Dialogue|발목|ankle||foot, neck
173|6|2|Dialogue|뼈|bone||bone
174|6|2|Dialogue|엑스레이|x-ray||X-ray (loanword)
175|6|2|Dialogue|진통제|painkiller|鎭痛劑|suppress, pain, medicine
176|6|2|Dialogue|회복|recovery|回復|return, restore
177|6|2|Dialogue|삐다|to sprain||to twist
178|6|2|Dialogue|처방하다|to prescribe|處方하다|handle, direction, do
179|6|2|Dialogue|촬영하다|to take a photograph or to film|撮影하다|take, shadow, do
180|6|2|Expanded|안과|ophthalmology|眼科|eye, subject
181|6|2|Expanded|여드름|pimples||acne
182|6|2|Expanded|정형외과|orthopedics|整形外科|correct, form, outside, subject
183|6|2|Expanded|증상|symptoms|症狀|symptom, condition
184|6|2|Expanded|피부과|dermatology|皮膚科|skin, skin, subject
185|6|2|Expanded|가렵다|to be itchy||to itch
186|6|2|Expanded|쓰러지다|to collapse||to fall down
187|6|2|Expanded|어지럽다|to be dizzy||to be confused
188|7|1|Dialogue|일시|date and time|日時|day, time
189|7|1|Dialogue|좌석|seats|座席|sit, seat
190|7|1|Dialogue|대단하다|to be great|大端하다|big, end, do
191|7|1|Dialogue|매진되다|to be sold out|賣盡되다|sell, exhaust, become
192|7|1|Dialogue|상영하다|to show or put on the screen|上映하다|up, reflect, do
193|7|1|Dialogue|그리|not very||not so
194|7|1|Expanded|경기장|stadium|競技場|compete, skill, place
195|7|1|Expanded|공연장|performance hall|公演場|public, perform, place
196|7|1|Expanded|관람객|audience|觀覽客|watch, view, guest
197|7|1|Expanded|상영관|theater|上映館|up, reflect, building
198|7|1|Expanded|경기하다|to play a match|競技하다|compete, skill, do
199|7|1|Expanded|공연하다|to perform|公演하다|public, perform, do
200|7|1|Expanded|관람하다|to watch|觀覽하다|watch, view, do
201|7|2|Dialogue|감동|inspiration|感動|feel, move
202|7|2|Dialogue|세계적|world-class|世界的|world, boundary, target
203|7|2|Dialogue|연기|acting|演技|perform, skill
204|7|2|Dialogue|주인공|protagonist|主人公|main, person, public
205|7|2|Dialogue|알려지다|to become known||to be known
206|7|2|Dialogue|표현하다|to express|表現하다|express, appear, do
207|7|2|Dialogue|훌륭하다|to be superb or excellent||to be excellent
208|7|2|Expanded|감동적|to be touching|感動的|feel, move, target
209|7|2|Expanded|대사|lines|臺詞|platform, words
210|7|2|Expanded|무대|stage|舞臺|dance, platform
211|7|2|Expanded|작품|work of art|作品|make, item
212|7|2|Expanded|주제|theme|主題|main, topic
213|7|2|Expanded|환상적|fantastic|幻想的|illusion, think, target
214|7|2|Expanded|신나다|to be excited||spirit, come out
215|7|2|Expanded|지루하다|to be boring||to drag on
216|8|1|Dialogue|규칙적|routine|規則的|rule, then, target
217|8|1|Dialogue|기운|energy||energy, spirit
218|8|1|Dialogue|습관|habit|習慣|learn, accustom
219|8|1|Dialogue|식욕|appetite|食慾|eat, desire
220|8|1|Dialogue|불규칙하다|to be irregular|不規則하다|not, rule, then, do
221|8|1|Dialogue|대충|haphazardly||roughly
222|8|1|Dialogue|뜻대로|according to plan||meaning, according to
223|8|1|Expanded|과식|overeating|過食|exceed, eat
224|8|1|Expanded|과음|excessive drinking|過飮|exceed, drink
225|8|1|Expanded|금연|no smoking|禁煙|forbid, smoke
226|8|1|Expanded|금주|no drinking|禁酒|forbid, alcohol
227|8|1|Expanded|소식|light eating|小食|small, eat
228|8|1|Expanded|음주|drinking|飮酒|drink, alcohol
229|8|1|Expanded|편식|be picky about food|偏食|lean, eat
230|8|1|Expanded|흡연|smoking|吸煙|inhale, smoke
231|8|1|Expanded|게으르다|to be lazy||to be lazy
232|8|1|Expanded|끊다|to quit||to cut off
233|8|1|Expanded|부지런하다|to be hard-working||to be diligent
234|8|2|Dialogue|안색|complexion|顔色|face, color
235|8|2|Dialogue|영양제|nutritional supplements|營養劑|manage, nourish, medicine
236|8|2|Dialogue|헬스클럽|gym||health club (loanword)
237|8|2|Dialogue|내다|to make time||to take out
238|8|2|Dialogue|밤늦게|late at night||night, late
239|8|2|Dialogue|적당히|appropriately|適當히|fit, appropriate, adverb
240|8|2|Dialogue|정신없이|busily|精神없이|spirit, soul, without, adverb
241|8|2|Expanded|운동부족|lack of exercise|運動不足|move, action, not, sufficient
242|8|2|Expanded|근육이생기다|to develop muscles|筋肉이生기다|muscle, flesh, subject, arise, do
243|8|2|Expanded|살이빠지다|to lose weight||flesh, subject, fall out, do
244|8|2|Expanded|살이찌다|to gain weight||flesh, subject, become fat, do
245|8|2|Expanded|운동량이늘다|to have an increase in exercise amount|運動量이늘다|move, action, amount, subject, increase, do
246|8|2|Expanded|피로가쌓이다|to have an increase in fatigue|疲勞가쌓이다|tired, labor, subject, accumulate, do
247|8|2|Expanded|피로가풀리다|to have less fatigue|疲勞가풀리다|tired, labor, subject, be released, do
248|9|1|Dialogue|선반|top shelf|線盤|line, plate
249|9|1|Dialogue|역무실|Station Office|驛務室|station, duty, room
250|9|1|Dialogue|유실물센터|lost-and-found center|遺失物센터|leave behind, lose, thing, center
251|9|1|Dialogue|큰일|big trouble||big, work
252|9|1|Dialogue|어떡하다|what to do||how, do
253|9|1|Dialogue|급히|rush|急히|urgent, adverb
254|9|1|Dialogue|다행히|fortunately|多幸히|much, luck, adverb
255|9|1|Expanded|부상|injury|負傷|carry, wound
256|9|1|Expanded|비상벨|emergency bell|非常벨|not, normal, bell
257|9|1|Expanded|안전띠|safety belt|安全띠|safe, complete, belt
258|9|1|Expanded|틈|gap||gap
259|9|1|Expanded|갇히다|to get locked in||to be confined
260|9|1|Expanded|끼이다|to be jammed between||to be caught between
261|9|1|Expanded|당하다|to suffer|當하다|correspond, do
262|9|1|Expanded|빠지다1|to get (injured)||to fall into
263|9|2|Dialogue|수리|repair|修理|fix, manage
264|9|2|Dialogue|화면|screen|畫面|picture, surface
265|9|2|Dialogue|맡기다|to leave||to entrust
266|9|2|Dialogue|번거롭다|troublesome||to be bothersome
267|9|2|Dialogue|보이다2|to show||to be visible
268|9|2|Expanded|깨우다|to wake up||to awaken
269|9|2|Expanded|낮추다|to lower||day, make low
270|9|2|Expanded|녹다|to melt||to melt
271|9|2|Expanded|녹이다|to melt something||to make melt
272|9|2|Expanded|눕히다|to lay down||to make lie down
273|9|2|Expanded|늦추다|to delay||to make late
274|9|2|Expanded|맡다|to receive||to take charge
275|9|2|Expanded|먹이다|to feed||to make eat
276|9|2|Expanded|살리다|to save||to make live
277|9|2|Expanded|세우다|to raise||to make stand
278|9|2|Expanded|속다|to be fooled||to be deceived
279|9|2|Expanded|속이다|to fool||to deceive
280|9|2|Expanded|숨기다|to hide something||to conceal
281|9|2|Expanded|숨다|to hide||to hide oneself
282|9|2|Expanded|신기다|to put on||to wear
283|9|2|Expanded|씻기다2|to wash something||to make wash
284|9|2|Expanded|앉히다|to sit someone down||to make sit
285|9|2|Expanded|알리다|to let someone know||to inform
286|9|2|Expanded|울리다|to make someone cry||to make cry
287|9|2|Expanded|웃기다|to make someone laugh||to make laugh
288|9|2|Expanded|읽히다|to make someone read||to make read
289|9|2|Expanded|입히다|to make someone put on||to make wear
290|9|2|Expanded|재우다|to make someone go to sleep||to make sleep
291|9|2|Expanded|죽이다|to kill||to make die
292|9|2|Expanded|채우다|to fill||to fill up
293|9|2|Expanded|태우다|to make someone ride||to make ride
294|10|1|Dialogue|속마음|inner feelings||inside, heart
295|10|1|Dialogue|표정|expression|表情|express, emotion
296|10|1|Dialogue|감추다|to hide||to conceal
297|10|1|Dialogue|나타나다|to reveal||to appear
298|10|1|Dialogue|들키다|to be found out||to be caught
299|10|1|Dialogue|부끄러워하다|to be embarrassed||to feel ashamed
300|10|1|Dialogue|그만|to happen to||just, only
301|10|1|Dialogue|하긴|in fact||to do, indeed
302|10|1|Expanded|겁을내다|to be afraid of||fear, object, take out, do
303|10|1|Expanded|겁이나다|to be scared||fear, subject, come out, do
304|10|1|Expanded|나타내다|to show||to reveal
305|10|1|Expanded|시간이나다|to have time|時間이나다|time, interval, subject, come out, do
306|10|1|Expanded|혼을내다|to scold||soul, object, take out, do
307|10|1|Expanded|혼이나다|to be scolded||soul, subject, come out, do
308|10|1|Expanded|화가나다|to be angry|火가나다|fire, subject, come out, do
309|10|1|Expanded|화를내다|to show one's anger|火를내다|fire, object, take out, do
310|10|2|Dialogue|장난|joke||play, mischief
311|10|2|Dialogue|진심|true heart|眞心|true, heart
312|10|2|Dialogue|걸다|to talk to||to hang
313|10|2|Dialogue|놀리다|to make fun of||to tease
314|10|2|Dialogue|사과하다|to apologize|謝過하다|thank, fault, do
315|10|2|Dialogue|상하다|to be offended|傷하다|wound, do
316|10|2|Dialogue|알아주다|to understand someone's intention||to know, give
317|10|2|Expanded|까먹다|to forget||to forget
318|10|2|Expanded|깜박하다|to slip one's mind||to blink
319|10|2|Expanded|사이좋다|to have a good relationship||between, good
320|10|2|Expanded|어기다|to break a promise||to violate
321|10|2|Expanded|오해하다|to misunderstand|誤解하다|mistake, understand, do
322|10|2|Expanded|착각하다|to mistakenly think|錯覺하다|mistake, feel, do
323|10|2|Expanded|풀다1|to solve||to untie
324|10|2|Expanded|풀리다|to become solved||to be untied
325|10|2|Expanded|화해하다|to make amends|和解하다|harmony, understand, do
326|11|1|Dialogue|교육|education|教育|teach, educate
327|11|1|Dialogue|봉사|community service|奉仕|offer, serve
328|11|1|Dialogue|다행이다|to be a relief|多幸이다|many, fortunate, be
329|11|1|Dialogue|문의하다|to inquire|問議하다|ask, discuss, do
330|11|1|Dialogue|알아듣다|to understand||know, hear
331|11|1|Dialogue|자세하다|to be specific|仔細하다|minute, careful, do
332|11|1|Dialogue|대강|roughly|大綱|big, outline
333|11|1|Dialogue|단점|demerits|短點|short, point
334|11|1|Dialogue|사용법|usage manual|使用法|use, use, method
335|11|1|Dialogue|원인|cause|原因|origin, cause
336|11|1|Dialogue|장점|merits|長點|long, point
337|11|1|Dialogue|수집하다|to gather|收集하다|collect, gather, do
338|11|1|Dialogue|조사하다|to investigate|調査하다|investigate, examine, do
339|11|1|Dialogue|지원하다|to apply|志願하다|will, wish, do
340|11|2|Dialogue|기회|opportunity|機會|opportunity, meeting
341|11|2|Dialogue|일상생활|daily life|日常生活|day, usual, life, live
342|11|2|Dialogue|휴식|rest|休息|rest, cease
343|11|2|Dialogue|불교|Buddhism|佛敎|Buddha, teach
344|11|2|Dialogue|템플스테이|temple stay||temple, stay
345|11|2|Dialogue|믿다|to believe||trust
346|11|2|Dialogue|체험하다|to experience|體驗하다|body, experience, do
347|11|2|Dialogue|추천하다|to recommend|推薦하다|push, recommend, do
348|11|2|Expanded|문화차이|cultural difference|文化差異|culture, change, difference
349|11|2|Expanded|문화체험|cultural experience|文化體驗|culture, change, body, experience
350|11|2|Expanded|생활방식|way of life|生活方式|life, live, method, style
351|11|2|Expanded|전통문화|traditional culture|傳統文化|pass, continue, culture, change
352|11|2|Expanded|판소리|pansori||pan, sound
353|11|2|Expanded|홈스테이|homestay||home, stay
354|12|1|Dialogue|군데|a place||place
355|12|1|Dialogue|안내서|brochure|案內書|plan, inside, book
356|12|1|Dialogue|경비|expenses|經費|pass, expenses
357|12|1|Dialogue|기타|other|其他|other, other
358|12|1|Dialogue|식비|meal fee|食費|eat, expenses
359|12|1|Dialogue|정하다|to decide|定하다|decide, do
360|12|1|Dialogue|등|etcetera|等|equal
361|12|1|Dialogue|안내원|guide|案內員|plan, inside, person
362|12|1|Dialogue|전용|for specific use only|專用|special, use
363|12|1|Dialogue|코스|course||course
364|12|1|Dialogue|넉넉하다|to be plentiful||ample
365|12|1|Dialogue|교통비|transportation fee|交通費|exchange, pass, expenses
366|12|1|Dialogue|숙박비|lodging fee|宿泊費|stay, lodge, expenses
367|12|1|Dialogue|입장료|entrance fee|入場料|enter, place, fee
368|12|1|Dialogue|짜다|to set||make, weave
369|12|2|Dialogue|대표적|representative|代表的|represent, mark, -like
370|12|2|Dialogue|여유|leisure|餘裕|leftover, abundant
371|12|2|Dialogue|역사적|historical|歷史的|history, record, -like
372|12|2|Dialogue|갖다|to have||have
373|12|2|Dialogue|묵다|to stay the night||stay
374|12|2|Dialogue|자유롭다|to be free|自由롭다|self, from, -like
375|12|2|Dialogue|찾아다니다|to look for||find, around
376|12|2|Dialogue|굉장하다|to be great|宏壯하다|vast, magnificent, do
377|12|2|Dialogue|놀랍다|to be amazing||surprise
378|12|2|Dialogue|멋지다|to be fabulous||stylish
379|12|2|Dialogue|반하다|to fall in love with|反하다|against, do
380|12|2|Dialogue|자랑스럽다|to be proud of||boast, -like
381|12|2|Dialogue|평범하다|to be ordinary|平凡하다|flat, ordinary, do
382|12|2|Dialogue|평화롭다|to be peaceful|平和롭다|flat, harmony, -like
383|13|1|Dialogue|가죽|leather||skin, hide
384|13|1|Dialogue|의류|clothing|衣類|clothes, category
385|13|1|Dialogue|안심|peace of mind|安心|peaceful, heart
386|13|1|Dialogue|재킷|jacket||jacket
387|13|1|Dialogue|고급스럽다|to be luxurious|高級스럽다|high, level, -like
388|13|1|Dialogue|귀찮다|to be bothersome||annoying
389|13|1|Dialogue|절약하다|to save|節約하다|save, promise, do
390|13|1|Dialogue|그다지|not very||that, much
391|13|1|Dialogue|반값|half price|半價|half, price
392|13|1|Dialogue|신형|new model|新型|new, model
393|13|1|Dialogue|최신|the newest|最新|most, new
394|13|1|Dialogue|가격|price|價格|price, standard
395|13|1|Dialogue|신제품|new product|新製品|new, make, product
396|13|1|Dialogue|최대|the biggest|最大|most, big
397|13|1|Dialogue|특가|special price|特價|special, price
398|13|2|Dialogue|게시판|bulletin board|揭示板|reveal, show, board
399|13|2|Dialogue|반팔|short sleeve|半팔|half, sleeve
400|13|2|Dialogue|쇼핑몰|shopping mall||shopping, mall
401|13|2|Dialogue|택배비|delivery fee|宅配費|house, deliver, fee
402|13|2|Dialogue|품질|quality|品質|product, quality
403|13|2|Dialogue|환불|refund|還拂|return, wipe
404|13|2|Dialogue|아깝다|to be a waste of||regrettable
405|13|2|Dialogue|고객|customer|顧客|look, customer
406|13|2|Dialogue|소비자|consumer|消費者|use, spend, person
407|13|2|Dialogue|치수|size|尺寸|foot, inch
408|13|2|Dialogue|질|quality|質|quality
409|13|2|Dialogue|판매자|seller|販賣者|sell, sell, person
410|13|2|Dialogue|소비하다|to consume|消費하다|use, spend, do
411|13|2|Dialogue|판매하다|to sell|販賣하다|sell, sell, do
412|14|1|Dialogue|밤새|all night||night, throughout
413|14|1|Dialogue|우정|friendship|友情|friend, emotion
414|14|1|Dialogue|행사|event|行事|perform, matter
415|14|1|Dialogue|양국|two countries|兩國|both, country
416|14|1|Dialogue|젊은이|young people||young, person
417|14|1|Dialogue|나누다|to share||divide
418|14|1|Dialogue|데리다|to bring with||accompany
419|14|1|Dialogue|국제교류|international exchange|國際交流|country, boundary, exchange, flow
420|14|1|Dialogue|문화교류|cultural exchange|文化交流|culture, change, exchange, flow
421|14|1|Dialogue|벼룩시장|flea market||flea, market
422|14|1|Dialogue|초청장|invitation|招請狀|call, invite, document
423|14|1|Dialogue|축제|festival|祝祭|celebrate, ceremony
424|14|1|Dialogue|초청하다|to invite|招請하다|call, invite, do
425|14|2|Dialogue|빈손|empty-handed|빈손|empty, hand
426|14|2|Dialogue|실용적|practical|實用的|real, use, -like
427|14|2|Dialogue|예의|etiquette|禮儀|courtesy, ceremony
428|14|2|Dialogue|가져가다|to take||take, go
429|14|2|Dialogue|가져오다|to bring||take, come
430|14|2|Dialogue|주의하다|to be cautious about|注意하다|pour, meaning, do
431|14|2|Dialogue|근데|but||but
432|14|2|Dialogue|길거리|street||road, place
433|14|2|Dialogue|웃어른|elder||upper, person
434|14|2|Dialogue|공공장소|public place|公共場所|public, public, place, place
435|14|2|Dialogue|노약자|the old and weak|老弱者|old, weak, person
436|14|2|Dialogue|갖추다|to possess||have, prepare
437|14|2|Dialogue|양보하다|to give up one's seat|讓步하다|yield, step, do
438|14|2|Dialogue|지키다|to mind (one's manners)||keep, guard
439|15|1|Dialogue|그동안|until now||that, during
440|15|1|Dialogue|그만두다|to quit||stop, quit
441|15|1|Dialogue|가능성|possibility|可能性|able, ability, nature
442|15|1|Dialogue|자부심|pride|自負心|self, carry, heart
443|15|1|Dialogue|기르다|to cultivate||raise, grow
444|15|1|Dialogue|이루다|to achieve||achieve
445|15|1|Dialogue|오디션|audition||audition
446|15|1|Dialogue|노력하다|to try|努力하다|effort, power, do
447|15|1|Dialogue|앞두다|to have something coming up||front, place
448|15|1|Dialogue|응원하다|to cheer|應援하다|respond, help, do
449|15|1|Dialogue|포기하다|to give up|抛棄하다|throw, abandon, do
450|15|1|Dialogue|목표|goal|目標|eye, mark
451|15|1|Dialogue|최고|best|最高|most, high
452|15|1|Dialogue|상상하다|to imagine|想像하다|think, image, do
453|15|1|Dialogue|존경하다|to respect|尊敬하다|respect, respect, do
454|15|2|Dialogue|경력|work experience|經歷|pass, history
455|15|2|Dialogue|구인광고|job opening advertisement|求人廣告|seek, person, wide, announce
456|15|2|Dialogue|면접|interview|面接|face, connect
457|15|2|Dialogue|용돈|spending money|用돈|use, money
458|15|2|Dialogue|또는|or|또는|or
459|15|2|Dialogue|관계없이|without|關係없이|relation, connection, without
460|15|2|Dialogue|경력자|experienced individual|經歷者|pass, history, person
461|15|2|Dialogue|근무조건|employment conditions|勤務條件|diligent, work, condition, item
462|15|2|Dialogue|등록금|tuition|登錄金|climb, record, money
463|15|2|Dialogue|시급|hourly wage|時給|time, give
464|15|2|Dialogue|초보자|beginner|初步者|begin, step, person
465|15|2|Dialogue|내내|throughout||throughout
466|15|2|Dialogue|생활비|living expenses|生活費|life, live, expenses
