Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2|Frequency
465|15|2|Dialogue|내내|throughout||throughout|하루 내내|all day long|여름 내내|throughout the summer|1439
214|7|2|Expanded|신나다|to be excited||spirit, come out|정말 신나다|really exciting|신나는 음악|exciting music|1454
22|1|2|Dialogue|뛰어나다|to be excellent||jump, out|실력이 뛰어나다|skills are excellent|뛰어난 인재|outstanding talent|1463
12|1|1|Expanded|성적|grades|成績|achieve, record|이번 학기 성적|this semester's grades|성적이 좋다|grades are good|1464
293|9|2|Expanded|태우다|to make someone ride||to make ride|차에 태우다|to give someone a ride|태워 주세요|please give me a ride|1492
20|1|2|Dialogue|긴장되다|to be nervous|緊張되다|tight, stretch, become|많이 긴장되다|to be very nervous|긴장돼서 떨려요|I'm nervous and shaking|1527
32|1|2|Expanded|도전하다|to challenge|挑戰하다|challenge, war, do|새로운 일에 도전하다|to challenge new things|도전해 볼게요|I'll give it a try|1531
406|13|2|Dialogue|소비자|consumer|消費者|use, spend, person|소비자 보호|consumer protection|소비자 입장에서|from the consumer's perspective|1538
287|9|2|Expanded|웃기다|to make someone laugh||to make laugh|사람을 웃기다|to make someone laugh|웃기지 마세요|don't make me laugh|1551
511|17|2|Dialogue|솔직하다|to be honest|率直하다|lead, straight, do|솔직한 사람|an honest person|솔직하게 말해요|I speak honestly|1554
141|5|1|Expanded|잔뜩|to the full||full|잔뜩 먹다|to eat a lot|잔뜩 화났어요|very angry|1567
202|7|2|Dialogue|세계적|world-class|世界的|world, boundary, target|세계적인 배우|world-class actor|세계적으로 유명하다|world-famous|1569
369|12|2|Dialogue|대표적|representative|代表的|represent, mark, -like|대표적인 음식|representative food|대표적으로 말하다|to speak representatively|1575
218|8|1|Dialogue|습관|habit|習慣|learn, accustom|나쁜 습관|bad habit|습관을 고치다|to fix a habit|1590
314|10|2|Dialogue|사과하다|to apologize|謝過하다|thank, fault, do|진심으로 사과하다|to sincerely apologize|사과할게요|I'll apologize|1602
388|13|1|Dialogue|귀찮다|to be bothersome||annoying|귀찮은 일|bothersome task|귀찮아서 안 해요|I won't do it because it's bothersome|1616
448|15|1|Dialogue|응원하다|to cheer|應援하다|respond, help, do|친구를 응원하다|to cheer for a friend|응원해 줄게요|I'll cheer for you|1632
404|13|2|Dialogue|아깝다|to be a waste of||regrettable|시간이 아깝다|it's a waste of time|아깝게 졌어요|we lost narrowly|1638
443|15|1|Dialogue|기르다|to cultivate||raise, grow|실력을 기르다|to cultivate skills|아이를 기르다|to raise a child|1643
54|2|2|Dialogue|활동하다|to do an activity|活動하다|live, move, do|동아리 활동하다|to do club activities|활동하고 있어요|I'm active|1648
452|15|1|Dialogue|상상하다|to imagine|想像하다|think, image, do|미래를 상상하다|to imagine the future|상상도 못 했어요|I couldn't even imagine|1653
259|9|1|Expanded|갇히다|to get locked in||to be confined|엘리베이터에 갇히다|to be trapped in an elevator|갇혀 있어요|I'm locked in|1663
559|19|1|Dialogue|차다|to kick||kick|공을 차다|to kick a ball|제기를 차다|to kick the shuttlecock|1665
64|3|1|Dialogue|정원|garden|庭園|courtyard, garden|집 정원|house garden|정원을 꾸미다|to decorate the garden|1676
370|12|2|Dialogue|여유|leisure|餘裕|leftover, abundant|시간 여유|time to spare|여유가 있다|to have leisure|1684
128|4|2|Expanded|치우다|to clean||remove|방을 치우다|to clean the room|치워 놓다|to clean up|1692
150|5|2|Expanded|간식|snack|間食|between, eat|오후 간식|afternoon snack|간식을 먹다|to eat a snack|1719
265|9|2|Dialogue|맡기다|to leave||to entrust|짐을 맡기다|to leave luggage|맡겨 주세요|please leave it with me|1724
90|3|2|Expanded|닫히다|to be closed||close|문이 닫히다|the door closes|닫혀 있어요|it's closed|1785
101|3|2|Expanded|찍히다|to be poked||poke|사진에 찍히다|to be photographed|찍혀 있어요|it's captured|1789
209|7|2|Expanded|대사|lines|臺詞|platform, words|영화 대사|movie lines|대사를 외우다|to memorize lines|1830
604|20|2|Dialogue|물가|price|物價|thing, price|물가가 오르다|prices rise|물가가 비싸요|prices are high|1831
451|15|1|Dialogue|최고|best|最高|most, high|최고의 선수|the best player|최고예요!|it's the best!|1835
183|6|2|Expanded|증상|symptoms|症狀|symptom, condition|감기 증상|cold symptoms|증상이 심하다|symptoms are severe|1845
304|10|1|Expanded|나타내다|to show||to reveal|감정을 나타내다|to show emotions|나타내 주세요|please show it|1868
217|8|1|Dialogue|기운|energy||energy, spirit|기운이 없다|to have no energy|기운 내세요|cheer up|1874
67|3|1|Dialogue|관리하다|to maintain|管理하다|manage, reason, do|건물을 관리하다|to maintain a building|관리가 잘 돼요|it's well maintained|1898
363|12|1|Dialogue|코스|course||course|여행 코스|travel course|코스를 돌다|to go around a course|1909
201|7|2|Dialogue|감동|inspiration|感動|feel, move|큰 감동|great inspiration|감동을 받다|to be moved|1911
239|8|2|Dialogue|적당히|appropriately|適當히|fit, appropriate, adverb|적당히 먹다|to eat moderately|적당히 하세요|do it moderately|1933
298|10|1|Dialogue|들키다|to be found out||to be caught|비밀이 들키다|secret is found out|들켰어요|I got caught|1988
376|12|2|Dialogue|굉장하다|to be great|宏壯하다|vast, magnificent, do|굉장한 경치|magnificent scenery|굉장히 좋아요|it's really great|1999
296|10|1|Dialogue|감추다|to hide||to conceal|감정을 감추다|to hide emotions|감추지 마세요|don't hide it|2024
270|9|2|Expanded|녹다|to melt||to melt|얼음이 녹다|ice melts|다 녹았어요|it all melted|2046
66|3|1|Dialogue|갖추다1|to be equipped with||have, prepare|시설을 갖추다|to be equipped with facilities|잘 갖춰져 있어요|it's well equipped|2061
436|14|2|Dialogue|갖추다|to possess||have, prepare|예의를 갖추다|to have proper manners|준비를 갖췄어요|I'm fully prepared|2061
85|3|2|Expanded|깨지다|to be broken||break|유리가 깨지다|glass is broken|깨진 그릇|broken dish|2109
3|1|1|Dialogue|동기|classmate|同期|same, period|대학교 동기|college classmate|동기들과 만나다|to meet with classmates|2146
513|17|2|Dialogue|후회하다|to regret|後悔하다|after, regret, do|선택을 후회하다|to regret a choice|후회하지 마세요|don't regret it|2222
411|13|2|Dialogue|판매하다|to sell|販賣하다|sell, sell, do|제품을 판매하다|to sell products|온라인으로 판매해요|I sell online|2228
357|12|1|Dialogue|기타|other|其他|other, other|기타 비용|other expenses|기타 등등|and so on|2243
506|17|1|Dialogue|조심스럽다|to be careful|小心스럽다|small, heart, -like|조심스러운 태도|careful attitude|조심스럽게 말해요|I speak carefully|2250
333|11|1|Dialogue|단점|demerits|短點|short, point|큰 단점|major disadvantage|단점을 보완하다|to complement weaknesses|2255
532|18|2|Dialogue|과제|assignment|課題|lesson, matter|과제를 하다|to do an assignment|과제가 많아요|there are many assignments|2261
467|15|2|Dialogue|일자리|job||work, place|일자리를 찾다|to look for a job|일자리가 없어요|there are no jobs|2280
515|17|2|Dialogue|곤란하다|to be difficult or awkward|困難하다|difficult, hard, do|곤란한 상황|difficult situation|곤란해요|I'm in trouble|2290
35|2|1|Dialogue|상담|counseling|相談|mutual, talk|진로 상담|career counseling|상담을 받다|to receive counseling|2294
269|9|2|Expanded|낮추다|to lower||day, make low|목소리를 낮추다|to lower one's voice|낮춰 주세요|please lower it|2311
430|14|2|Dialogue|주의하다|to be cautious about|注意하다|pour, meaning, do|안전에 주의하다|to be cautious about safety|주의해야 해요|you need to be careful|2321
151|5|2|Expanded|끼|number of meals||meal|하루 세 끼|three meals a day|한 끼 먹다|to eat one meal|2341
289|9|2|Expanded|입히다|to make someone put on||to make wear|옷을 입히다|to dress someone|입혀 주세요|please dress them|2351
514|17|2|Dialogue|거절하다|to refuse|拒絶하다|resist, cut, do|제안을 거절하다|to refuse an offer|거절했어요|I refused|2403
313|10|2|Dialogue|놀리다|to make fun of||to tease|친구를 놀리다|to tease a friend|놀리지 마세요|don't tease me|2466
598|20|1|Expanded|오토바이|motorcycle||auto, bike|오토바이를 타다|to ride a motorcycle|오토바이 배달|motorcycle delivery|2493
522|18|1|Dialogue|겹치다|to overlap with||overlap|일정이 겹치다|schedules overlap|시간이 겹쳐요|the times overlap|2502
59|2|2|Expanded|회원|member|會員|meeting, member|동아리 회원|club member|회원 가입|member registration|2511
445|15|1|Dialogue|오디션|audition||audition|오디션에 참가하다|to participate in an audition|오디션을 보다|to audition|2534
484|16|2|Dialogue|발음|pronunciation|發音|emit, sound|발음이 좋다|the pronunciation is good|발음을 연습하다|to practice pronunciation|2546
268|9|2|Expanded|깨우다|to wake up||to awaken|아침에 깨우다|to wake up in the morning|깨워 주세요|please wake me up|2549
606|20|2|Dialogue|주고받다|to give and take||give, receive|의견을 주고받다|to exchange opinions|주고받았어요|we exchanged|2551
413|14|1|Dialogue|우정|friendship|友情|friend, emotion|우정을 나누다|to share friendship|우정이 깊어요|the friendship is deep|2569
176|6|2|Dialogue|회복|recovery|回復|return, restore|빠른 회복|quick recovery|회복이 빠르다|recovery is fast|2633
149|5|2|Dialogue|한꺼번에|all at once||one, time|한꺼번에 하다|to do all at once|한꺼번에 주세요|give me all at once|2636
592|20|1|Expanded|밴드|bandaid||band|밴드를 붙이다|to put on a bandaid|밴드 있어요?|do you have a bandaid?|2644
317|10|2|Expanded|까먹다|to forget||to forget|깜빡 까먹다|to completely forget|까먹었어요|I forgot|2656
579|20|1|Dialogue|필수|requirement; a must|必須|certain, need|필수 항목|required item|필수예요|it's a must|2659
362|12|1|Dialogue|전용|for specific use only|專用|special, use|회원 전용|for members only|전용 공간|exclusive space|2693
255|9|1|Expanded|부상|injury|負傷|carry, wound|심한 부상|serious injury|부상을 입다|to get injured|2694
