Korean|English|Korean Chunk 1|English Chunk 1|Korean Chunk 2|English Chunk 2
창피하다|to be embarrassed|너무 창피하다|to be very embarrassed|창피해서 못 하겠어요|I'm too embarrassed to do it
입학식|enrollment ceremony|대학교 입학식|university entrance ceremony|입학식에 참석하다|to attend the entrance ceremony
놀리다|to make fun of|친구를 놀리다|to tease a friend|놀리지 마세요|don't tease me
과제|assignment|과제를 하다|to do an assignment|과제가 많아요|there are many assignments
문화교류|cultural exchange|문화교류 프로그램|cultural exchange program|문화교류가 활발해요|cultural exchange is active
일석이조|killing two birds with one stone|일석이조의 효과|the effect of killing two birds with one stone|일석이조예요|it's killing two birds with one stone
기술|technology|정보 기술|information technology|기술이 발전하다|technology develops
통역|interpretation|통역 서비스|interpretation service|통역을 하다|to interpret
정신없이|busily|정신없이 바쁘다|to be crazily busy|정신없이 살았어요|I lived busily
형광등|fluorescent light|형광등 교체|fluorescent light replacement|형광등을 갈다|to change fluorescent lights
겹치다|to overlap with|일정이 겹치다|schedules overlap|시간이 겹쳐요|the times overlap
처방전|prescription|처방전 발급|prescription issuance|처방전을 받다|to receive a prescription
찢어지다|to be torn|종이가 찢어지다|paper is torn|찢어진 옷|torn clothes
걸리다|to take time|시간이 걸리다|to take time|30분 걸려요|it takes 30 minutes
귀찮다|to be bothersome|귀찮은 일|bothersome task|귀찮아서 안 해요|I won't do it because it's bothersome
대사|lines|영화 대사|movie lines|대사를 외우다|to memorize lines
따로따로|separately|따로따로 버리다|to throw away separately|따로따로 보관하다|to store separately
양|portion|양이 많다|the portion is large|양을 조절하다|to adjust the portion
빠지다|to get addicted to|게임에 빠지다|to get addicted to games|빠져 있어요|I'm into it
웃기다|to make someone laugh|사람을 웃기다|to make someone laugh|웃기지 마세요|don't make me laugh
상담|counseling|진로 상담|career counseling|상담을 받다|to receive counseling
제기차기|Jegichagi|제기차기 놀이|Jegichagi game|제기차기를 하다|to play Jegichagi
살이빠지다|to lose weight|다이어트해서 살이 빠지다|to lose weight from dieting|살이 많이 빠졌어요|I lost a lot of weight
깜짝|with surprise|깜짝 놀라다|to be startled|깜짝이야!|what a surprise!
앱|app|앱을 다운받다|to download an app|유용한 앱|useful app
풀다1|to solve|문제를 풀다|to solve a problem|풀어 보세요|try solving it
헬스클럽|gym|헬스클럽 등록|gym registration|헬스클럽에 다니다|to go to the gym
이력서|resume|이력서 작성|resume writing|이력서를 제출하다|to submit a resume
편식|be picky about food|편식하지 마세요|don't be picky about food|편식이 심하다|very picky about food
살이찌다|to gain weight|요즘 살이 찌다|to gain weight these days|살이 많이 쪘어요|I gained a lot of weight
다행히|fortunately|다행히 찾았다|fortunately found it|다행히 괜찮아요|fortunately it's okay
충고|warning|충고를 듣다|to listen to a warning|충고해 줬어요|I gave advice
편의시설|convenience facility|주변 편의시설|nearby convenience facilities|편의시설이 많다|there are many convenience facilities
봉사|community service|자원 봉사|volunteer service|봉사활동을 하다|to do volunteer work
수도|water|수도 요금|water bill|수도가 안 나와요|water doesn't come out
뼈|bone|뼈가 부러지다|bone is broken|뼈에 금이 가다|to have a crack in the bone
혼을내다|to scold|아이를 혼내다|to scold a child|혼내지 마세요|don't scold
이심전심|tacit understanding|이심전심으로 통하다|to understand through tacit understanding|이심전심이에요|it's a tacit understanding
굶다|to starve|밥을 굶다|to skip a meal|굶고 있어요|I'm starving
횡설수설|gibberish|횡설수설하다|to talk gibberish|횡설수설하네요|you're talking gibberish
등록금|tuition|등록금을 내다|to pay tuition|등록금이 비싸요|tuition is expensive
일자리|job|일자리를 찾다|to look for a job|일자리가 없어요|there are no jobs
착각하다|to mistakenly think|완전히 착각하다|to completely mistake|착각했어요|I was mistaken
체험하다|to experience|직접 체험하다|to experience directly|체험해 보세요|please try experiencing
깔끔하다|to be clean|방이 깔끔하다|the room is clean|깔끔한 스타일|clean style
별미|delicacy|지역 별미|local delicacy|별미를 맛보다|to taste a delicacy
발목|ankle|발목 부상|ankle injury|발목을 삐다|to sprain one's ankle
오디션|audition|오디션에 참가하다|to participate in an audition|오디션을 보다|to audition
날리다|to fly|연을 날리다|to fly a kite|바람에 날렸어요|it flew in the wind
알아주다|to understand someone's intention|마음을 알아주다|to understand one's heart|알아줘서 고마워요|thank you for understanding
처방하다|to prescribe|약을 처방하다|to prescribe medicine|처방해 드릴게요|I'll prescribe for you
갇히다|to get locked in|엘리베이터에 갇히다|to be trapped in an elevator|갇혀 있어요|I'm locked in
술자리|meeting with drinks|술자리에 가다|to go to a drinking gathering|술자리가 많아요|there are many drinking gatherings
추천하다|to recommend|친구에게 추천하다|to recommend to a friend|추천해 주세요|please recommend
면담하다|to have an interview|교수님과 면담하다|to have an interview with professor|면담 시간을 잡다|to set an interview time
금주|no drinking|금주 중이에요|I'm abstaining from alcohol|금주를 시작하다|to start abstaining from alcohol
정기모임|regular meeting|정기모임 날짜|regular meeting date|정기모임을 갖다|to have a regular meeting
안색|complexion|안색이 안 좋다|complexion is not good|안색이 밝다|complexion is bright
표정|expression|밝은 표정|bright expression|표정이 어둡다|expression is dark
보이다1|to be seen|멀리 보이다|to be seen from afar|잘 안 보여요|I can't see well
면접|interview|면접을 보다|to have an interview|면접 준비|interview preparation
축제|festival|음악 축제|music festival|축제가 열려요|a festival is held
오픈카|convertible|오픈카를 타다|to ride in a convertible|오픈카 드라이브|convertible drive
비용|cost|이사 비용|moving cost|비용이 들다|cost is incurred
입히다|to make someone put on|옷을 입히다|to dress someone|입혀 주세요|please dress them
가격|price|가격이 비싸다|the price is expensive|가격을 확인하다|to check the price
잡히다|to be caught|범인이 잡히다|the culprit is caught|잡혔어요|got caught
공간|space|넓은 공간|spacious space|공간이 부족하다|space is insufficient
생활비|living expenses|생활비를 벌다|to earn living expenses|생활비가 부족해요|living expenses are insufficient
최고|best|최고의 선수|the best player|최고예요!|it's the best!
원인|cause|사고 원인|accident cause|원인을 찾다|to find the cause
습관|habit|나쁜 습관|bad habit|습관을 고치다|to fix a habit
비기다|to be tied|경기가 비기다|the game is tied|비겼어요|it's a tie
관계없이|without|나이 관계없이|regardless of age|경력 관계없이|regardless of experience
솔직하다|to be honest|솔직한 사람|an honest person|솔직하게 말해요|I speak honestly
기온|temperature|오늘 기온|today's temperature|기온이 떨어지다|temperature drops
길거리|street|길거리 음식|street food|길거리에서 만났어요|I met on the street
상하다|to be offended|기분이 상하다|feelings are hurt|상했어요|I'm offended
온라인상담|online counseling|온라인상담 신청|online counseling application|온라인상담을 받다|to receive online counseling
경비|expenses|여행 경비|travel expenses|경비가 들다|expenses are incurred
자기소개|self-introduction|간단한 자기소개|brief self-introduction|자기소개를 하다|to introduce oneself
별일|special plans|별일 없어요|nothing special|별일 있어요?|is there anything special?
상영하다|to show or put on the screen|영화를 상영하다|to screen a movie|상영 중이에요|it's being screened
귀하다|to be precious|귀한 시간|precious time|귀한 손님|precious guest
들다1|to join|동아리에 들다|to join a club|들어오세요|please come in
큰일|big trouble|큰일 났다|big trouble happened|큰일이에요|it's a big problem
과음|excessive drinking|과음하지 마세요|don't drink excessively|과음했어요|I drank too much
이루다|to achieve|꿈을 이루다|to achieve a dream|목표를 이뤘어요|I achieved my goal
불교|Buddhism|한국 불교|Korean Buddhism|불교 문화|Buddhist culture
초보자|beginner|초보자 환영|beginners welcome|초보자도 가능해요|beginners are also possible
문화차이|cultural difference|문화차이를 느끼다|to feel cultural differences|문화차이가 크다|cultural differences are big
쇼핑몰|shopping mall|온라인 쇼핑몰|online shopping mall|쇼핑몰에서 사다|to buy at a shopping mall
해결책을찾다|to find a solution|문제의 해결책을 찾다|to find a solution to the problem|해결책을 찾았어요|I found a solution
제대로|correctly|제대로 하다|to do properly|제대로 안 돼요|it's not done properly
어지럽다|to be dizzy|머리가 어지럽다|head is dizzy|어지러워요|I'm dizzy
빠지다1|to get (injured)|물에 빠지다|to fall into water|빠졌어요|I fell in
내내|throughout|하루 내내|all day long|여름 내내|throughout the summer
신세대|new generation|신세대 문화|new generation culture|신세대 젊은이|young people of the new generation
막차|final bus|막차를 타다|to catch the last bus|막차 시간|last bus time
게시판|bulletin board|온라인 게시판|online bulletin board|게시판에 올리다|to post on the bulletin board
맞다|to greet|손님을 맞다|to greet guests|아침을 맞다|to greet the morning
실력|skills|한국어 실력|Korean language skills|실력이 늘다|skills improve
웃어른|elder|웃어른께 인사하다|to greet elders|웃어른을 공경하다|to respect elders
취업상담|career counseling|취업상담 센터|career counseling center|취업상담을 신청하다|to apply for career counseling
사고방식|way of thinking|사고방식이 다르다|the way of thinking is different|사고방식을 바꾸다|to change one's way of thinking
영양제|nutritional supplements|영양제 복용|taking nutritional supplements|영양제를 먹다|to take supplements
속다|to be fooled|사기에 속다|to be fooled by fraud|속았어요|I was deceived
기회|opportunity|좋은 기회|good opportunity|기회를 놓치다|to miss an opportunity
시간이나다|to have time|시간이 좀 나다|to have some time|시간 나면 연락해요|contact me when you have time
용돈|spending money|용돈을 받다|to receive allowance|용돈이 부족해요|I don't have enough spending money
실망하다|to be disappointed|결과에 실망하다|to be disappointed with the result|실망했어요|I'm disappointed
급히|rush|급히 가다|to go in a hurry|급히 나왔어요|I came out in a hurry
켜지다|to be turned on|불이 켜지다|the light turns on|켜져 있어요|it's turned on
학력|level of education|최종 학력|final education level|학력을 기재하다|to record education level
근무조건|employment conditions|근무조건이 좋다|the employment conditions are good|근무조건을 확인하다|to check employment conditions
몰래|secretly|몰래 보다|to look secretly|몰래 나갔어요|I went out secretly
커닝|cheating|커닝하다|to cheat|커닝하지 마세요|don't cheat
알레르기|allergy|알레르기가 있다|to have an allergy|알레르기 반응|allergic reaction
잡다|to set|날짜를 잡다|to set a date|예약을 잡다|to make a reservation
앓다|to be sick with|감기를 앓다|to be sick with a cold|오래 앓았어요|I was sick for a long time
치우다|to clean|방을 치우다|to clean the room|치워 놓다|to clean up
뛰어놀다|to run and play|아이들이 뛰어놀다|children run and play|밖에서 뛰어놀아요|playing outside
식욕|appetite|식욕이 없다|to have no appetite|식욕이 생기다|appetite develops
까다롭다|to be picky|입맛이 까다롭다|to be picky about food|까다로운 사람|a picky person
부지런하다|to be hard-working|정말 부지런하다|really diligent|부지런한 사람|diligent person
입장료|entrance fee|입장료 할인|entrance fee discount|입장료가 비싸다|entrance fee is expensive
다행스럽다|to be fortunate|다행스러운 일|fortunate thing|다행스럽게도|fortunately
민속놀이|traditional folk games|민속놀이 체험|traditional folk games experience|민속놀이를 하다|to play traditional folk games
서투르다|to not be good at|요리가 서투르다|not good at cooking|아직 서툴러요|I'm still clumsy
과식|overeating|과식하지 마세요|don't overeat|과식이 문제예요|overeating is the problem
재우다|to make someone go to sleep|아기를 재우다|to put a baby to sleep|재워 주세요|please put them to sleep
복사기|copy machine|복사기를 사용하다|to use a copy machine|복사기가 고장났어요|the copy machine is broken
뛰어나다|to be excellent|실력이 뛰어나다|skills are excellent|뛰어난 인재|outstanding talent
가져가다|to take|책을 가져가다|to take a book|집에 가져갔어요|I took it home
첫인상|first impression|첫인상이 좋다|first impression is good|첫인상을 주다|to give a first impression
그다지|not very|그다지 좋지 않아요|not very good|그다지 비싸지 않아요|not very expensive
갚다|to pay back|빚을 갚다|to pay back a debt|갚을게요|I'll pay you back
씻기다1|to be washed|깨끗이 씻기다|to be washed clean|잘 안 씻겨요|it doesn't wash off well
전통문화|traditional culture|한국 전통문화|Korean traditional culture|전통문화를 배우다|to learn traditional culture
반팔|short sleeve|반팔 티셔츠|short-sleeve T-shirt|반팔을 입다|to wear short sleeves
믿다|to believe|사람을 믿다|to trust someone|믿어 주세요|please believe me
활동하다|to do an activity|동아리 활동하다|to do club activities|활동하고 있어요|I'm active
음식물쓰레기|food trash|음식물쓰레기 처리|food trash disposal|음식물쓰레기를 버리다|to throw away food trash
운동부족|lack of exercise|운동부족이 문제다|lack of exercise is a problem|운동부족으로 살이 쪘어요|I gained weight from lack of exercise
대충|haphazardly|대충 하다|to do roughly|대충 먹었어요|I ate roughly
문화체험|cultural experience|전통 문화체험|traditional cultural experience|문화체험을 하다|to have a cultural experience
화를내다|to show one's anger|친구에게 화를 내다|to get angry at a friend|화내지 마세요|don't get angry
유실물센터|lost-and-found center|유실물센터 문의|lost-and-found center inquiry|유실물센터에 신고하다|to report to the lost-and-found
초청하다|to invite|친구를 초청하다|to invite a friend|초청받았어요|I was invited
적당히|appropriately|적당히 먹다|to eat moderately|적당히 하세요|do it moderately
조언|advice|조언을 구하다|to ask for advice|조언해 주세요|please give me advice
노력하다|to try|열심히 노력하다|to try hard|노력하고 있어요|I'm trying
겁이나다|to be scared|갑자기 겁이 나다|to suddenly become scared|겁이 나요|I'm scared
교육|education|대학 교육|university education|교육을 받다|to receive education
감동|inspiration|큰 감동|great inspiration|감동을 받다|to be moved
특가|special price|특가 세일|special price sale|특가로 팔아요|selling at a special price
이용하다|to use|시설을 이용하다|to use facilities|이용해 보세요|please try using it
문의하다|to inquire|전화로 문의하다|to inquire by phone|문의해 주세요|please inquire
치수|size|치수가 안 맞다|the size doesn't fit|치수를 재다|to measure the size
돌아다니다|to go around|여기저기 돌아다니다|to go around here and there|돌아다니면서 구경하다|to look around while going around
그동안|until now|그동안 잘 지냈어요?|have you been well until now?|그동안 고마웠어요|thank you for everything until now
흡연|smoking|흡연 구역|smoking area|흡연을 금지하다|to prohibit smoking
주인공|protagonist|영화 주인공|movie protagonist|주인공 역할|protagonist role
블루투스|Bluetooth|블루투스로 연결하다|to connect via Bluetooth|블루투스 켜다|to turn on Bluetooth
끼|number of meals|하루 세 끼|three meals a day|한 끼 먹다|to eat one meal
들르다|to stop by|집에 들르다|to stop by home|들러 주세요|please stop by
쇼핑백|shopping bag|쇼핑백에 담다|to put in a shopping bag|쇼핑백 주세요|please give me a shopping bag
역사적|historical|역사적인 장소|historical place|역사적으로 중요하다|historically important
피로가풀리다|to have less fatigue|쉬면 피로가 풀리다|fatigue is relieved when you rest|피로가 다 풀렸어요|all my fatigue is gone
매니큐어|nail polish|매니큐어를 바르다|to apply nail polish|매니큐어 색깔|nail polish color
수집하다|to gather|자료를 수집하다|to collect materials|수집하고 있어요|I'm collecting
관리하다|to maintain|건물을 관리하다|to maintain a building|관리가 잘 돼요|it's well maintained
도전하다|to challenge|새로운 일에 도전하다|to challenge new things|도전해 볼게요|I'll give it a try
기르다|to cultivate|실력을 기르다|to cultivate skills|아이를 기르다|to raise a child
양국|two countries|양국 관계|relations between two countries|양국 간의 교류|exchange between two countries
환하다|to be bright|방이 환하다|the room is bright|환하게 웃다|to smile brightly
직접적으로말하다|to say something directly|직접적으로 말하는 게 좋아요|it's better to speak directly|직접적으로 말했어요|I said it directly
부족하다|to lack|시간이 부족하다|time is lacking|부족한 점|lacking points
가입하다|to sign up for|동아리에 가입하다|to join a club|가입했어요|I signed up
쫓기다|to be chased|시간에 쫓기다|to be pressed for time|쫓기듯 살다|to live being chased
경기하다|to play a match|축구 경기하다|to play a soccer match|내일 경기해요|we have a match tomorrow
아침저녁|mornings and evenings|아침저녁으로|in the mornings and evenings|아침저녁이 춥다|mornings and evenings are cold
읽히다|to make someone read|책을 읽히다|to make someone read a book|읽혀 주세요|please make them read
정형외과|orthopedics|정형외과 진료|orthopedic treatment|정형외과에 가다|to go to orthopedics
수납|payment|수납 창구|payment counter|수납하러 가다|to go pay
양보하다|to give up one's seat|자리를 양보하다|to give up one's seat|양보해 주세요|please yield
세우다|to raise|차를 세우다|to stop a car|세워 주세요|please stop it
하도|so much|하도 바빠서|because I'm so busy|하도 많아서|because there's so much
엠티|MT|엠티 가다|to go on MT|엠티 언제예요?|when is the MT?
생년월일|date of birth|본인 생년월일|one's date of birth|생년월일을 적다|to write down date of birth
신입생|new student|올해 신입생|this year's freshmen|신입생 환영회|freshman welcome party
번개모임|unplanned get-together|번개모임을 하다|to have an unplanned meeting|번개모임 어때요?|how about an impromptu meeting?
진찰|medical examination|진찰 시간|examination time|진찰을 받다|to receive an examination
의류|clothing|의류 매장|clothing store|의류를 정리하다|to organize clothes
사랑스럽다|to be lovable|사랑스러운 아기|lovable baby|사랑스러워요|you're lovable
안기다|to be held|엄마 품에 안기다|to be held in mom's arms|안겨 있어요|being held
주의하다|to be cautious about|안전에 주의하다|to be cautious about safety|주의해야 해요|you need to be careful
하긴|in fact|하긴 그렇지|that's true indeed|하긴 그래요|indeed it is
국악|Korean traditional music|국악 공연|Korean traditional music performance|국악을 배우다|to learn Korean traditional music
풍부하다|to be abundant|영양이 풍부하다|rich in nutrition|풍부한 경험|abundant experience
신나다|to be excited|정말 신나다|really exciting|신나는 음악|exciting music
지키다|to mind (one's manners)|약속을 지키다|to keep a promise|규칙을 지켜요|I follow the rules
파이팅|way to go|파이팅 해요!|let's go!|파이팅!|fighting!
안전띠|safety belt|안전띠 착용|wearing a safety belt|안전띠를 매다|to fasten a safety belt
세계적|world-class|세계적인 배우|world-class actor|세계적으로 유명하다|world-famous
되게|very|되게 좋다|very good|되게 예뻐요|very pretty
불확실하다|to be uncertain|불확실한 미래|uncertain future|불확실해요|it's uncertain
메모리|memory|메모리가 부족하다|memory is insufficient|메모리를 늘리다|to increase memory
갑작스럽다|to be sudden|갑작스러운 변화|sudden change|갑작스럽게 왔어요|it came suddenly
꾸다|to borrow|돈을 꾸다|to borrow money|친구한테 꿨어요|I borrowed from a friend
아끼다|to save|돈을 아끼다|to save money|아껴 쓰세요|use it sparingly
가능성|possibility|가능성이 있다|there's a possibility|가능성이 높아요|the possibility is high
피부과|dermatology|피부과 진료|dermatology treatment|피부과에 가다|to go to the dermatologist
장점|merits|큰 장점|major advantage|장점을 살리다|to utilize strengths
평범하다|to be ordinary|평범한 사람|ordinary person|평범하게 살다|to live ordinarily
안심|peace of mind|안심하고|with peace of mind|안심이 돼요|I feel relieved
당연히|certainly|당연히 그래야죠|of course it should be|당연한 일|natural thing
비닐|plastic|비닐봉투|plastic bag|비닐에 싸다|to wrap in plastic
