Lesson and Index|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2A|Korean Sentence 2B|English Sentence 2A|English Sentence 2B
Lesson 3-3|피동 (Passive Voice)|The passive voice, where the subject is acted upon.|도둑이 경찰에게 잡혔어요.|The thieves were caught by the police.|가: 제 이야기가 잘 들리세요?|나: 잘 안 들려요. 좀 더 크게 말씀해 주세요.|A: Can you hear me?|B: Your voice can't be heard clearly. Please speak louder.
Lesson 3-4|-어/아/여 있다|To indicate the state that remains after an action has been completed.|책상 위에 교과서가 놓여 있었어요.|The textbook was on the desk.|가: 윤아야, 내 모자가 어디에 있지?|나: 저기 옷걸이에 걸려 있어.|A: Yuna, where's my hat?|B: It's hanging on the coat rack over there.
Lesson 4-1|-을지/ㄹ지|To express thoughts about choosing between options ("whether to... or...").|저는 친구 결혼식 때 원피스를 입을지 바지를 입을지 생각 중이에요.|I'm still deciding whether to wear a dress or slacks to my friend's wedding.|가: 링링 씨, 졸업 후에 뭘 할 거예요?|나: 대학원에 갈지 일을 할지 아직 결정하지 못했어요.|A: Ling Ling, what are you going to do after you graduate?|B: I haven't decided yet whether to go to graduate school or get a job.
Lesson 4-2|-어/아/여 놓다|To indicate an action is completed and its result is being maintained for later use.|시원하게 마시려고 냉장고에 음료수를 넣어 놓았어요.|I've put the beverage in the refrigerator so I can drink it cold.|가: 내일이 노라 씨 생일인데 케이크는 준비했어요?|나: 네, 제가 만들어 놓았어요.|A: Tomorrow is Nora's birthday. Have you prepared the cake?|B: Yes, I've baked it.
Lesson 4-3|-는대요/ㄴ대요/대요|The shortened form for reported speech ("He/she said...").|에릭 씨가 다음 달에 고향에 돌아간대요.|Eric says he's going to return to his hometown next month.|가: 유키 씨가 왜 아직 안 오지요?|나: 아까 연락이 왔는데 조금 늦는대요.|A: Why isn't Yuki here yet?|B: She called a little while ago and said she was going to be a bit late.
Lesson 4-4|아무|Used with ~나/나 to mean "anyone," "anything," "anytime," etc.|목이 마르니까 마실 것이 있으면 아무거나 주세요.|I'm so thirsty. If you have anything to drink, please give it to me.|가: 내일 파티에 무슨 옷을 입고 가야 돼요?|나: 중요한 자리가 아니니까 아무 옷이나 입어도 돼요.|A: What do I need to wear to tomorrow's party?|B: It's not an important event, so just wear anything.
Lesson 5-1|-었더니/았더니/였더니|To state a realization or outcome resulting from a past action.|제가 오랜만에 고향에 갔더니 친구들이 모두 떠나고 없었어요.|Because I visited my hometown for the first time in a long time, all my friends had all left.|가: 에릭 씨, 어디 아프세요?|나: 며칠 과로했더니 병이 났어요.|A: Eric, are you feeling sick?|B: I got sick because I overworked myself for a few days.
Lesson 5-2|-잖아요|To remind or confirm something the listener already knows ("As you know...").|레오 씨가 요리를 잘하잖아요.|(As you know) Leo is a good cook.|가: 왜 이렇게 열심히 공부해요?|나: 다음 주에 시험이 있잖아요.|A: Why are you studying so diligently?|B: (As you know) There's a test next week.
Lesson 5-3|-고 나서|To indicate that one action happens "after" another is completed.|저는 어제 영화를 보고 나서 늦게 저녁을 먹었어요.|After watching a movie yesterday, I ate a late dinner.|가: 엄마, 저 한 시간만 게임해도 돼요?|나: 숙제 먼저 다 하고 나서 게임해라.|A: Mom, can I play games for just one hour?|B: Play your game after you finish your homework.
Lesson 5-4|-는다면서요/ㄴ다면서요/다면서요?|To ask for confirmation about something you heard ("Is it true that...?").|요즘 이튼 씨 회사에서 드라마를 찍는다면서요?|Is it true that a drama series is being filmed at your company these days, Ethan?|가: 우리 학교에 '남자친구들'이 공연하러 온다면서요?|나: 네, 저도 아까 들었어요. 정말 기대가 돼요.|A: Is it true that "Boyfriends" is coming to perform at our school?|B: Yes, I heard that, too. I'm so excited.
Lesson 6-1|-는데도/은데도/ㄴ데도|To express "even though" or "despite" something.|저는 날마다 운동을 하는데도 건강이 별로 좋아지지 않아요.|Even though I exercise every day, my health is not improving.|가: 오늘은 날씨가 정말 춥지요?|나: 네, 두꺼운 코트를 입고 있는데도 추워서 몸이 떨려요.|A: It's really cold today, isn't it?|B: Yes. Even though I'm wearing a thick coat, it's still cold so I'm shivering.
Lesson 6-2|-기가 쉽다|Attached to a verb to mean "it is easy to..."|계절이 바뀌는 때에는 감기에 걸리기가 쉬워요.|It's easy to catch a cold when the seasons change.|가: 요즘 회사 일 때문에 너무 바빠서 동창회 날짜를 잊어버렸어.|나: 바빠서 기억을 못했구나. 잊어버리기가 쉬운 날짜는 메모해 놓는 게 좋아.|A: I've been so busy at work lately that I forgot the date of our reunion.|B: Oh I see. You forgot because you were so busy. You should write down dates that are easy to forget.
Lesson 6-3|-을지도/ㄹ지도 모르다|To express uncertainty or possibility ("might" or "may").|날씨가 추운데 친구가 밖에서 기다릴지도 몰라서 서둘러서 나왔어요.|I rushed just in case my friend might be waiting outside in the cold.|가: 올리비아 씨가 계속 전화를 안 받아요.|나: 자고 있을지도 몰라요.|A: Olivia isn't picking up her phone.|B: She might be sleeping.
Lesson 6-4|-으려면/려면²|Used with verbs of change to plan for a future point in time ("In order for it to be...").|밥이 다 되려면 10분 남았다.|There are 10 minutes left until the rice is ready.|가: 저기요, 저희가 주문한 음식은 언제 나오나요?|나: 죄송합니다. 오늘 손님이 많아서 음식이 나오려면 좀 더 기다리셔야 합니다.|A: Excuse me, when will our food be ready?|B: I'm sorry. We have a lot of customers today, so you'll have to wait a little longer for your food to come out.
Lesson 7-1|이라든가/라든가|Used when listing examples ("... or something like that").|비빔밥이라든가 삼계탕 같은 한국 음식이 건강에 좋아요.|Korean foods like bibimbap or samgyetang are good for the health.|가: 일요일 오후에는 보통 뭘 하세요?|나: 빨래라든가 청소 같은 집안일을 해요.|A: What do you usually do on Sunday afternoon?|B: I usually do household chores like the laundry or cleaning.
Lesson 7-2|-었을/았을/였을 것이다|To make a speculation about a past event ("must have," "probably").|지금 3시니까 영화가 끝났을 거예요.|It's 3 p.m, so the movie is probably over already.|가: 메리 씨가 소포를 받았겠지요?|나: 보통 미국까지 나흘 정도 걸리잖아요. 아직 못 받았을 거예요.|A: Mary probably received the package, right?|B: It usually takes four days for a delivery to be made to the U.S. I don't think she received it yet.
Lesson 7-3|-나/은가/ㄴ가 보다|To make an assumption based on visual evidence ("It looks like...", "I guess...").|노라 씨에게 연락했는데 전화를 안 받아요. 벌써 자나 봐요.|I called Nora, but she wouldn't pick up. Maybe she's already sleeping.|가: 식당 앞에 사람들이 길게 줄을 서 있어요.|나: 이 식당 음식이 정말 맛있나 봐요.|A: There's a long line in front of that restaurant.|B: The food there must be really delicious.
Lesson 7-4|-는다고/ㄴ다고/다고 생각하다|To formally state one's opinion ("I think that...").|저는 리에 씨가 잘못했으니까 리에 씨가 먼저 사과해야 한다고 생각해요.|I think that Rie needs to apologize first because she's the one who made the mistake.|가: 열심히 공부하는데도 한국어 실력이 늘지 않아서 걱정이야.|나: 혼자 공부하는 것도 좋지만 한국 사람들과 많이 이야기하는 게 중요하다고 생각해.|A: I'm worried because my Korean isn't improving, even though I'm studying hard.|B: I think it's good to study alone, but it's more important that you talk to a lot of Korean people.
Lesson 8-1|-는 대신에|To indicate doing one thing "instead of" another, or "in return for" something.|시간이 없어서 극장에 가는 대신에 집에서 영화를 봤어요.|I didn't have time, so instead of going to the theater, I watched a movie at home.|가: 우리 언어 교환을 할까요?|나: 좋아요, 리에 씨가 저에게 일본말을 가르쳐 주는 대신에 저는 리에 씨에게 한국말을 가르쳐 드릴게요.|A: Should we do a language exchange?|B: Sounds good. In return for you teaching me Japanese, Rie, I'll teach you Korean.
Lesson 8-2|-게 하다|The causative form, meaning "to make/let someone do something."|친구가 저를 화나게 했어요.|My friend made me angry.|가: 우리 아이가 게을러서 걱정이에요.|나: 아이가 스스로 방을 청소하게 하세요. 그럼 부지런해질 거예요.|A: I'm worried because my child is so lazy.|B: Make him clean his own room. Then, he will become more industrious.
Lesson 8-3|-으면서도/면서도|To express a contrast between two actions or states by the same subject ("even while...").|저는 과식이 건강에 안 좋은 줄 알면서도 항상 많이 먹어요.|I know that overeating is bad for the health, but I always eat a lot.|가: 노라 씨, 언니하고 또 싸웠어요?|나: 싸우면 안 되는 줄 알면서도 화가 나서 참지 못했어요.|A: Nora, did you fight with your sister again?|B: I know I shouldn't, but I just can't keep my anger in.
Lesson 8-4|-던데|To provide background information based on personal experience before giving advice, making a suggestion, or asking a question.|미선 씨, 민주 백화점에서 세일을 하던데 같이 갈래요?|Miseon, I saw Minju Department Store is having a sale. Would you like to go?|가: 오랜만에 친구를 보기로 했는데 어디에서 만나면 좋을까?|나: 지하철 역 앞에 커피숍이 새로 생겼던데 거기에 가 봐.|A: I decided to see my friend for the first time in a long time. Where should I meet him?|B: There's a new coffee shop in front of the subway station. Give it a try.
Lesson 9-1|-고서|To indicate a sequence of actions, emphasizing the first action is done before the second ("and then").|카드를 넣고서 비밀번호를 누르세요.|Put in your card and then input your PIN.|가: 미선 씨, 왜 그래요? 발이 아파요?|나: 네, 어제 구두를 신고서 오래 걸었더니 발이 아파요.|A: Miseon, what's the matter? Does your foot hurt?|B: Yes, I wore heels and walked for a long time yesterday, so my foot hurts.
Lesson 9-2|-을/ㄹ 뻔하다|To express that something almost happened ("nearly," "almost").|길이 막혀서 약속 시간에 늦을 뻔했어요.|There was so much traffic that I was almost late to my appointment.|가: 웨이 씨가 사고가 나서 병원에 입원했다면서요?|나: 네, 조금만 늦게 병원에 갔으면 큰일 날 뻔했대요.|A: I heard that Wei got into an accident and is in the hospital.|B: Yes, they say that if she had arrived at the hospital a few minutes late, it would have been dangerous.
Lesson 9-3|사동 (Causative)|The causative form, where the subject makes someone else perform an action.|올리비아 씨가 차를 마시려고 물을 끓였어요.|Olivia boiled the water to drink tea.|가: 내일 아침에 일찍 일어나야 한다고 했지?|나: 네, 혹시 제가 못 일어나면 깨워 주세요.|A: You said you need to wake up early in the morning tomorrow, right?|B: Yes. If I don't wake up, please wake me up.
Lesson 9-4|-으니까/니까²|To state that the second clause was discovered or realized as a result of the action in the first clause.|떡볶이를 먹어 보니까 생각보다 안 매웠어요.|After eating tteokbokki, I realized it wasn't as spicy as I had thought it would be.|가: 한국 생활이 어때요?|나: 혼자 살아 보니까 생각보다 재미있어요.|A: How is life in Korea?|B: After living alone, I've realized it's more fun than I had expected.
Lesson 10-1|-는다는/ㄴ다는 것이|To express that something contrary to one's intention happened ("I was trying to... but...").|커피에 설탕을 넣는다는 것이 소금을 넣었어요.|I was trying to put sugar in my coffee but happened to put salt in.|가: 소희야, 이게 누구 옷이니?|나: 어머, 제 옷을 챙긴다는 것이 미나 옷을 가지고 왔나 봐요.|A: Sohee, whose clothes are these?|B: Oh my. I was planning on bringing my clothes but brought Mina's clothes instead.
Lesson 10-2|-고 말다|To express that something ended up happening, often regrettably or unintentionally ("ended up V-ing").|화가 나도 참아야 하는데 그만 화를 내고 말았어요.|I should have kept in my anger, but I happened to get angry.|가: 노라 씨가 왜 저렇게 화가 났어요?|나: 제가 친구들과 이야기하다가 실수로 노라 씨의 비밀을 말하고 말았어요.|A: Why is Nora so angry?|B: I was talking with my friends and happened to share Nora's secret.
Lesson 10-3|-거든요|Used at the end of a sentence to provide a reason or explanation for a previous statement.|누리 씨는 학교에서 인기가 많아요. 노래를 아주 잘하거든요.|Nuri is very popular at school because she is a good singer.|가: 케빈 씨, 무슨 일이 있어요?|나: 여자친구가 화가 많이 났어요. 제가 약속을 어겼거든요.|A: Is something the matter, Kevin?|B: My girlfriend is really mad because I broke a promise.
Lesson 10-4|-을까/ㄹ까 봐|To express worry or concern that something might happen ("I'm afraid that...").|비가 올까 봐 우산을 가지고 왔어요.|Just in case it rains, I brought an umbrella.|가: 줄리 씨, 왜 이렇게 일찍 왔어요?|나: 길이 막힐까 봐 오늘은 집에서 일찍 출발했어요.|A: Why did you come so early, Julie?|B: I was afraid there would be traffic, so I left early from home today.
