Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
20059|2|2|Expanded|큰어머니|aunt (wife of one's father's older brother)||big, mother|큰어머니가 맛있는 음식을 해주셨어요.|My aunt made delicious food for us.
20060|2|2|Expanded|외삼촌|uncle (brother of one's mother)||outside, three, uncle|외삼촌이 결혼하셨어요.|My uncle got married.
20061|2|2|Expanded|외숙모|aunt (wife of one's mother's brother)||outside, uncle, mother|외숙모께서 생일선물을 주셨어요.|My aunt gave me a birthday present.
20062|2|2|Expanded|외할아버지|grandfather of one's mother's side||outside, grandfather|외할아버지께서 건강하세요.|My maternal grandfather is healthy.
20063|2|2|Expanded|외할머니|grandmother of one's mother's side||outside, grandmother|외할머니가 만든 김치가 맛있어요.|The kimchi my maternal grandmother made is delicious.
20064|2|2|Expanded|이모부|uncle (husband of one's mother's sister)||aunt, husband|이모부는 의사예요.|My uncle is a doctor.
20065|2|2|Expanded|어리다|to be young||young, small|우리 동생은 아직 어려요.|My younger sibling is still young.
20066|3|1|Dialogue|구경거리|tourist attraction||look, around, thing|제주도에는 구경거리가 많아요.|There are many tourist attractions in Jeju Island.
20067|3|1|Dialogue|남해|Southern Sea|南海|south, sea|남해의 바다가 아름다워요.|The sea of the Southern Sea is beautiful.
20068|3|1|Dialogue|섬|island||island|작은 섬에서 휴가를 보냈어요.|I spent my vacation on a small island.
20069|3|1|Dialogue|다녀오다|to go and return||attend, come|부산에 다녀올 예정이에요.|I plan to go to Busan and return.
20070|3|1|Dialogue|푸르다|to be blue||blue, green|하늘이 정말 푸르네요.|The sky is really blue.
20071|3|1|Expanded|거리|road or street||distance, street|이 거리에 맛집이 많아요.|There are many good restaurants on this street.
20072|3|1|Expanded|도시|city|都市|capital, city|큰 도시에서 살고 싶어요.|I want to live in a big city.
20073|3|1|Expanded|동해|East Sea|東海|east, sea|동해에서 해돋이를 봤어요.|I watched the sunrise at the East Sea.
20074|3|1|Expanded|롤러코스터|roller coaster||roller coaster|롤러코스터를 처음 타봤어요.|I rode a roller coaster for the first time.
20075|3|1|Expanded|빌딩|building||building|높은 빌딩에서 일해요.|I work in a tall building.
20076|3|1|Expanded|서해|West Sea|西海|west, sea|서해에서 낚시를 했어요.|I went fishing at the West Sea.
20077|3|1|Expanded|숲|forest||forest|숲에서 캠핑을 했어요.|We went camping in the forest.
20078|3|1|Expanded|시골|countryside||city, corner|시골에서 자랐어요.|I grew up in the countryside.
20079|3|1|Expanded|온천|hot spring or spa|溫泉|warm, spring|온천에서 휴식을 취했어요.|I relaxed at the hot spring.
20080|3|1|Expanded|한라산|Halla Mountain||Han, pull, mountain|한라산에 등반하러 갔어요.|I went to climb Halla Mountain.
20081|3|1|Expanded|해변|seashore or beach||sea, side|해변에서 일광욕을 했어요.|I sunbathed at the beach.
20082|3|1|Expanded|해산물|seafood|海産物|sea, produce, thing|부산에서 신선한 해산물을 먹었어요.|I ate fresh seafood in Busan.
20083|3|1|Expanded|신선하다|to be fresh|新鮮하다|new, fresh, do|이 과일은 정말 신선해요.|This fruit is really fresh.
20084|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do|지하철이 정말 편리해요.|The subway is really convenient.
20085|3|2|Dialogue|관광지|tourist attraction|觀光地|look, light, place|이곳은 유명한 관광지예요.|This place is a famous tourist attraction.
20086|3|2|Dialogue|그립다|to miss or long for||miss, yearn|고향이 그리워요.|I miss my hometown.
20087|3|2|Dialogue|오래되다|to be a long time||long, become|이 건물은 오래됐어요.|This building is old.
20088|3|2|Dialogue|유명하다|to be famous|有名하다|have, name, do|이 식당은 유명해요.|This restaurant is famous.
20089|3|2|Dialogue|별로|not really||special, so|그 영화는 별로였어요.|That movie wasn't really good.
20090|3|2|Expanded|기쁘다|to be joyful||happy, glad|좋은 소식을 들어서 기뻐요.|I'm happy because I heard good news.
20091|3|2|Expanded|부끄럽다|to feel shameful or embarrassed||shame, shy|실수해서 부끄러워요.|I'm embarrassed because I made a mistake.
20092|3|2|Expanded|부럽다|to be envious||envy, jealous|친구가 부러워요.|I'm envious of my friend.
20093|3|2|Expanded|불안하다|to be anxious|不安하다|not, peace, do|시험 결과가 불안해요.|I'm anxious about the exam results.
20094|3|2|Expanded|외롭다|to be lonely||lonely, alone|혼자 있으면 외로워요.|I feel lonely when I'm alone.
20095|3|2|Expanded|행복하다|to be happy|幸福하다|fortune, blessing, do|가족과 함께 있으면 행복해요.|I'm happy when I'm with my family.
20096|3|2|Expanded|화가나다|to be angry||anger, come out|친구가 약속을 어겨서 화가 났어요.|I got angry because my friend broke the promise.
20097|4|1|Dialogue|동네|neighborhood||same, area|우리 동네에 공원이 새로 생겼어요.|A new park was built in our neighborhood.
20098|4|1|Dialogue|룸메이트|roommate||room mate|룸메이트와 잘 지내고 있어요.|I'm getting along well with my roommate.
20099|4|1|Dialogue|알아보다|to search or look into||know, see|집을 알아보고 있어요.|I'm looking into houses.
20100|4|1|Dialogue|이사하다|to move|移徙하다|move, house, do|다음 달에 이사할 예정이에요.|I plan to move next month.
20101|4|1|Dialogue|불편하다|to be inconvenient or uncomfortable|不便하다|not, convenient, do|교통이 불편해서 힘들어요.|It's difficult because transportation is inconvenient.
20102|4|1|Expanded|미용실|hair salon|美容室|beauty, contain, room|미용실에서 머리를 잘랐어요.|I got my hair cut at the hair salon.
20103|4|1|Expanded|분식집|snack shop|粉食집|powder, food, house|분식집에서 떡볶이를 먹었어요.|I ate tteokbokki at the snack shop.
20104|4|1|Expanded|약도|map|略圖|brief, diagram|약도를 보고 찾아왔어요.|I came here following the map.
20105|4|1|Expanded|이삿짐|goods to be moved||move, luggage|이삿짐을 정리하고 있어요.|I'm organizing the moving goods.
20106|4|1|Expanded|이삿짐센터|moving company||move, luggage, center|이삿짐센터에 전화했어요.|I called the moving company.
20107|4|1|Expanded|주유소|gas station|注油所|pour, oil, place|주유소에서 기름을 넣었어요.|I filled up with gas at the gas station.
20108|4|1|Expanded|짐|goods or luggage||luggage, stuff|짐이 너무 많아요.|I have too much luggage.
20109|4|1|Expanded|찜질방|jjimjilbang||steam, quality, room|찜질방에서 하룻밤 잤어요.|I spent the night at the jjimjilbang.
20110|4|1|Expanded|계약하다|to make a contract|契約하다|contract, promise, do|집 계약을 했어요.|I made a contract for the house.
20111|4|1|Expanded|싸다|to be cheap||cheap, low|이 옷이 정말 싸네요.|These clothes are really cheap.
20112|4|1|Expanded|정리하다|to organize|整理하다|organize, arrange, do|방을 정리해야 해요.|I need to organize the room.
20113|4|2|Dialogue|베란다|veranda||veranda|베란다에서 빨래를 말려요.|I dry laundry on the veranda.
20114|4|2|Dialogue|세탁기|washing machine|洗濯機|wash, wash, machine|세탁기가 고장났어요.|The washing machine broke down.
20115|4|2|Dialogue|욕실|bathroom|浴室|bath, room|욕실을 청소했어요.|I cleaned the bathroom.
20116|4|2|Dialogue|주변|the surroundings|周邊|around, side|학교 주변에 식당이 많아요.|There are many restaurants around the school.
20117|4|2|Dialogue|놓다|to put or place||put, place|책상 위에 책을 놓았어요.|I put books on the desk.
20118|4|2|Dialogue|거의|almost or mostly||almost, nearly|숙제를 거의 다 했어요.|I've almost finished my homework.
20119|4|2|Dialogue|새로|newly||new, way|새로 이사한 집이 좋아요.|I like the newly moved house.
20120|4|2|Expanded|거실|living room|居室|live, room|거실에서 TV를 봐요.|I watch TV in the living room.
20121|4|2|Expanded|벽|wall|壁|wall|벽에 그림을 걸었어요.|I hung a picture on the wall.
20122|4|2|Expanded|부엌|kitchen||kitchen|부엌에서 요리를 해요.|I cook in the kitchen.
20123|4|2|Expanded|서재|a study or library|書齋|book, study|서재에서 공부해요.|I study in the study room.
20124|4|2|Expanded|소파|sofa||sofa|소파에 앉아서 쉬어요.|I sit on the sofa and rest.
20125|4|2|Expanded|수건|towel||water, dry|수건으로 몸을 닦았어요.|I dried my body with a towel.
20126|4|2|Expanded|식탁|table|食卓|food, table|식탁에서 밥을 먹어요.|I eat at the dining table.
20127|4|2|Expanded|옷장|closet||clothes, storage|옷장에 옷을 넣었어요.|I put clothes in the closet.
20128|4|2|Expanded|현관|entrance or front door|玄關|dark, gate|현관에서 신발을 벗어요.|I take off my shoes at the entrance.
20129|4|2|Expanded|걸다|to hang||hang, place|벽에 시계를 걸었어요.|I hung a clock on the wall.
20130|5|1|Dialogue|갈비찜|braised short ribs|갈비찜|rib, steam|명절에 갈비찜을 만들어요.|We make braised short ribs for holidays.
20131|5|1|Dialogue|명절|holiday|名節|name, season|추석은 중요한 명절이에요.|Chuseok is an important holiday.
20132|5|1|Dialogue|소고기|beef|소고기|cow, meat|이 소고기가 정말 맛있어요.|This beef is really delicious.
20133|5|1|Dialogue|접시|plate|접시|receive, dish|큰 접시에 음식을 담았어요.|I put the food on a large plate.
20134|5|1|Dialogue|덜다|to put|덜다|less|밥을 조금 덜어 주세요.|Please give me a little less rice.
20135|5|1|Dialogue|양념하다|to season|養念하다|raise, thought, do|고기를 양념해서 구웠어요.|I seasoned the meat and grilled it.
20136|5|1|Expanded|고추장|red pepper paste|고추장|pepper, sauce|고추장을 넣어서 매워졌어요.|It became spicy after adding red pepper paste.
20137|5|1|Expanded|된장|fermented soybean paste|된장|become, sauce|된장찌개를 끓이고 있어요.|I'm making soybean paste stew.
20138|5|1|Expanded|방법|method|方法|direction, law|요리하는 방법을 배웠어요.|I learned how to cook.
20139|5|1|Expanded|설탕|sugar|설탕|snow, sugar|커피에 설탕을 넣지 마세요.|Don't put sugar in the coffee.
20140|5|1|Expanded|소금|salt||salt|음식이 짜니까 소금을 적게 넣으세요.|The food is salty, so add less salt.
20141|5|1|Expanded|스트레스|stress||stress|요즘 스트레스를 많이 받아요.|I'm under a lot of stress these days.
20142|5|1|Expanded|식초|vinegar|食醋|food, vinegar|샐러드에 식초를 뿌렸어요.|I sprinkled vinegar on the salad.
20143|5|1|Expanded|양념|seasoning|養念|raise, thought|양념이 잘 배어 있어요.|The seasoning is well absorbed.
20144|5|1|Expanded|후추|black pepper|胡椒|foreign, pepper|후추를 조금만 넣어 주세요.|Please add just a little black pepper.
20145|5|1|Expanded|넣다|to put in||put|재료를 냄비에 넣었어요.|I put the ingredients in the pot.
20146|5|1|Expanded|비비다|to mix||mix|비빔밥을 잘 비비세요.|Mix the bibimbap well.
20147|5|1|Expanded|뿌리다|to sprinkle||sprinkle|참깨를 뿌려서 먹어요.|I eat it with sesame seeds sprinkled on top.
20148|5|1|Expanded|섞다|to blend||mix|재료를 잘 섞어 주세요.|Please mix the ingredients well.
20149|5|1|Expanded|찍다|to dip||dip|소스에 찍어서 드세요.|Dip it in the sauce and eat.
20150|5|2|Dialogue|간|saltiness||liver|간이 적당해요.|The saltiness is just right.
20151|5|2|Dialogue|고기|meat||meat|고기를 구워서 먹어요.|I grill meat and eat it.
20152|5|2|Dialogue|기름|oil||oil|기름이 너무 많아요.|There's too much oil.
20153|5|2|Dialogue|참기름|sesame oil|참기름|true, oil|참기름 냄새가 좋아요.|The sesame oil smells good.
20154|5|2|Dialogue|채소|vegetables|菜蔬|vegetable, vegetable|신선한 채소를 샀어요.|I bought fresh vegetables.
20155|5|2|Dialogue|프라이팬|fry pan||fry, pan|프라이팬에 계란을 구웠어요.|I fried eggs in the fry pan.
20156|5|2|Dialogue|보다|to see||see|요리하는 것을 봤어요.|I watched cooking.
20157|5|2|Dialogue|볶다|to fry||fry|야채를 볶고 있어요.|I'm stir-frying vegetables.
20158|5|2|Expanded|감자|potato||potato|감자를 삶아서 먹었어요.|I boiled potatoes and ate them.
20159|5|2|Expanded|닭고기|chicken|닭고기|chicken, meat|닭고기 요리를 좋아해요.|I like chicken dishes.
20160|5|2|Expanded|냄비|pot||pot|큰 냄비가 필요해요.|I need a big pot.
20161|5|2|Expanded|당근|carrot|당근|party, root|당근을 썰어서 넣었어요.|I cut carrots and added them.
20162|5|2|Expanded|면|noodles|麵|noodle|면을 삶고 있어요.|I'm boiling noodles.
20163|5|2|Expanded|돼지고기|pork|돼지고기|pig, meat|돼지고기가 익었어요.|The pork is cooked.
20164|5|2|Expanded|버섯|mushroom||mushroom|버섯을 많이 넣었어요.|I added a lot of mushrooms.
20165|5|2|Expanded|설렁탕|beef and rice soup|설렁탕|snow, bone, soup|설렁탕을 주문했어요.|I ordered beef and rice soup.
20166|5|2|Expanded|소스|sauce||sauce|매운 소스를 좋아해요.|I like spicy sauce.
20167|5|2|Expanded|쓰레기|trash||trash|쓰레기를 버려 주세요.|Please throw away the trash.
20168|5|2|Expanded|쓰레기통|trash can||trash, container|쓰레기통이 어디에 있어요?|Where is the trash can?
20169|5|2|Expanded|양파|onion|양파|foreign, green|양파를 썰면 눈물이 나요.|I cry when I cut onions.
20170|5|2|Expanded|요리법|recipe|料理法|material, reason, law|새로운 요리법을 배웠어요.|I learned a new recipe.
20171|5|2|Expanded|재료|ingredient|材料|material, material|재료를 미리 준비했어요.|I prepared the ingredients in advance.
20172|5|2|Expanded|파|green onion||green onion|파를 잘게 썰었어요.|I finely chopped the green onions.
20173|5|2|Expanded|굽다|to bake||bake|빵을 굽고 있어요.|I'm baking bread.
20174|5|2|Expanded|끓이다|to boil||boil|물을 끓여 주세요.|Please boil the water.
20175|5|2|Expanded|다지다|to mince||mince|마늘을 다져 주세요.|Please mince the garlic.
20176|5|2|Expanded|두다|to put||put|냉장고에 두었어요.|I put it in the refrigerator.
20177|5|2|Expanded|버리다|to throw away||throw|상한 음식을 버렸어요.|I threw away the spoiled food.
20178|5|2|Expanded|삶다|to boil||boil|계란을 삶았어요.|I boiled eggs.
20179|5|2|Expanded|썰다|to cut||cut|고기를 얇게 썰었어요.|I cut the meat thinly.
20180|5|2|Expanded|찌다|to steam||steam|만두를 찌고 있어요.|I'm steaming dumplings.
20181|5|2|Expanded|튀기다|to deep fry||fry|닭을 튀겨서 먹었어요.|I deep-fried chicken and ate it.
20182|6|1|Dialogue|마트|market||market|큰 마트에 갔어요.|I went to a big market.
20183|6|1|Dialogue|방석|sitting cushion|방석|room, stone|방석을 깔고 앉았어요.|I sat on a sitting cushion.
20184|6|1|Dialogue|비누|soap||soap|손을 비누로 씻었어요.|I washed my hands with soap.
20185|6|1|Dialogue|생수|spring water|生水|life, water|생수를 한 병 주세요.|Please give me a bottle of spring water.
20186|6|1|Dialogue|이불|blanket||blanket|따뜻한 이불을 덮었어요.|I covered myself with a warm blanket.
20187|6|1|Dialogue|팔다|to sell||sell|과일을 팔고 있어요.|I'm selling fruit.
20188|6|1|Expanded|감|persimmon||persimmon|달콤한 감을 먹었어요.|I ate a sweet persimmon.
20189|6|1|Expanded|냉동식품|frozen food|冷凍食品|cold, freeze, food, item|냉동식품 코너에 갔어요.|I went to the frozen food section.
20190|6|1|Expanded|대회|conference|大會|big, meeting|요리 대회에 참가했어요.|I participated in a cooking competition.
20191|6|1|Expanded|배추|Chinese cabbage|배추|pear, vegetable|배추로 김치를 담그세요.|Make kimchi with Chinese cabbage.
20192|6|1|Expanded|소리|sound||sound|큰 소리로 말하지 마세요.|Don't speak loudly.
20193|6|1|Expanded|생활용품|living products|生活用品|life, live, use, item|생활용품을 사러 갔어요.|I went to buy living products.
20194|6|1|Expanded|식료품|groceries|食料品|food, material, item|식료품점에서 쇼핑했어요.|I shopped at the grocery store.
20195|6|1|Expanded|음료|beverage|飮料|drink, material|시원한 음료를 마셨어요.|I drank a cool beverage.
20196|6|1|Expanded|참외|Korean melon|참외|true, melon|참외가 달고 맛있어요.|The Korean melon is sweet and delicious.
20197|6|1|Expanded|치약|toothpaste|齒藥|tooth, medicine|새 치약을 샀어요.|I bought new toothpaste.
20198|6|1|Expanded|칫솔|toothbrush|齒솔|tooth, brush|칫솔을 바꿔야 해요.|I need to change my toothbrush.
20199|6|1|Expanded|토마토|tomato||tomato|빨간 토마토를 좋아해요.|I like red tomatoes.
20200|6|1|Expanded|포도|grapes|포도|grape, grape|포도가 달아요.|The grapes are sweet.
20201|6|1|Expanded|포스터|poster||poster|벽에 포스터를 붙였어요.|I put a poster on the wall.
20202|6|1|Expanded|햄|ham||ham|햄을 얇게 썰었어요.|I sliced the ham thinly.
20203|6|2|Dialogue|매장|store|賣場|sell, place|새로운 매장이 문을 열었어요.|A new store opened.
20204|6|2|Dialogue|상품|products|商品|business, item|좋은 상품을 찾고 있어요.|I'm looking for good products.
20205|6|2|Dialogue|할인|discount|割引|cut, pull|할인된 가격으로 샀어요.|I bought it at a discounted price.
20206|6|2|Dialogue|세일하다|to have a sale||sale, do|이번 주에 세일해요.|We're having a sale this week.
20207|6|2|Dialogue|항상|always|恒常|constant, always|항상 감사해요.|I'm always grateful.
20208|6|2|Expanded|가전제품|electric home appliance|家電製品|house, electric, make, item|새 가전제품을 샀어요.|I bought new electric appliances.
20209|6|2|Expanded|귀걸이|earring|귀걸이|ear, hang|예쁜 귀걸이를 했어요.|I wore pretty earrings.
20210|6|2|Expanded|남성복|men's clothing|男性服|man, nature, clothes|남성복 매장에 갔어요.|I went to the men's clothing store.
20211|6|2|Expanded|목걸이|necklace|목걸이|neck, hang|금 목걸이를 선물받았어요.|I received a gold necklace as a gift.
20212|6|2|Expanded|반지|ring|반지|half, finger|결혼반지를 끼고 있어요.|I'm wearing a wedding ring.
20213|6|2|Expanded|배낭|backpack|배낭|back, bag|무거운 배낭을 메고 있어요.|I'm carrying a heavy backpack.
20214|6|2|Expanded|수영복|swimsuit|水泳服|water, swim, clothes|새 수영복을 입었어요.|I wore a new swimsuit.
20215|6|2|Expanded|스포츠용품|sporting goods||sports, use, item|스포츠용품점에서 운동화를 샀어요.|I bought sneakers at the sporting goods store.
20216|6|2|Expanded|여성복|women's clothing|女性服|woman, nature, clothes|여성복이 예뻐요.|The women's clothing is pretty.
20217|6|2|Expanded|장갑|gloves|장갑|hand, cover|추워서 장갑을 꼈어요.|I wore gloves because it was cold.
20218|6|2|Expanded|패션잡화|fashion goods||fashion, miscellaneous, goods|패션잡화를 구경했어요.|I looked at fashion goods.
20219|6|2|Expanded|핸드백|handbag||hand, bag|새 핸드백을 샀어요.|I bought a new handbag.
20220|6|2|Expanded|들다|to hold||hold|가방을 들고 있어요.|I'm holding a bag.
20221|6|2|Expanded|메다|to carry||carry|배낭을 메고 등산했어요.|I hiked carrying a backpack.
20222|6|2|Expanded|쓰다|to use||use|모자를 쓰고 나갔어요.|I went out wearing a hat.
20223|6|2|Expanded|차다|to wear||wear|시계를 차고 있어요.|I'm wearing a watch.
20224|7|1|Dialogue|반바지|shorts|반바지|half, pants|여름에 반바지를 입어요.|I wear shorts in summer.
20225|7|1|Dialogue|흰색|white|흰색|white, color|흰색 셔츠를 좋아해요.|I like white shirts.
20226|7|1|Dialogue|갈아입다|to change clothes||change, wear|젖은 옷을 갈아입었어요.|I changed out of wet clothes.
20227|7|1|Dialogue|유행이다|to be in fashion|流行이다|flow, go, be|이 스타일이 유행이에요.|This style is in fashion.
20228|7|1|Dialogue|특별히|especially|特別히|special, separate, -ly|특별히 좋아하는 색이 있어요?|Do you have a color you especially like?
20229|7|1|Expanded|보라색|purple|보라색|purple, color|보라색 꽃이 예뻐요.|Purple flowers are pretty.
20230|7|1|Expanded|분홍색|pink|분홍색|powder, red, color|분홍색 드레스를 입었어요.|I wore a pink dress.
20231|7|1|Expanded|색깔|color|색깔|color, color|무슨 색깔을 좋아해요?|What color do you like?
20232|7|1|Expanded|양복|suit|洋服|western, clothes|양복을 입고 회사에 갔어요.|I wore a suit to the company.
20233|7|1|Expanded|운동복|sportswear|運動服|exercise, move, clothes|운동복으로 갈아입었어요.|I changed into sportswear.
20234|7|1|Expanded|원피스|one-piece dress||one, piece|예쁜 원피스를 샀어요.|I bought a pretty one-piece dress.
20235|7|1|Expanded|점퍼|jacket||jumper|추우니까 점퍼를 입으세요.|It's cold, so wear a jacket.
20236|7|1|Expanded|조끼|vest|조끼|bird, vest|조끼를 입으면 따뜻해요.|It's warm when you wear a vest.
20237|7|1|Expanded|청바지|blue jeans|청바지|blue, pants|편한 청바지를 입었어요.|I wore comfortable blue jeans.
20238|7|1|Expanded|하늘색|sky blue|하늘색|sky, color|하늘색이 시원해 보여요.|Sky blue looks cool.
20239|7|1|Expanded|회색|gray|회색|ash, color|회색 코트를 입었어요.|I wore a gray coat.
20240|7|1|Expanded|떠들다|to chatter||chatter|시끄럽게 떠들지 마세요.|Don't chatter loudly.
20241|7|1|Expanded|뛰다|to run||run|아이들이 공원에서 뛰어요.|Children run in the park.
20242|7|1|Expanded|만지다|to touch||touch|더러운 것을 만지지 마세요.|Don't touch dirty things.
20243|7|1|Expanded|목이 마르다|to be thirsty|목이 마르다|neck, be, dry|목이 말라서 물을 마셨어요.|I was thirsty so I drank water.
